"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","96.37","97.49","96.25","96.79","96.79","3,271,000","AXP"
"2","Feb 15, 2018","97.06","97.21","95.44","96.56","96.56","3,057,400","AXP"
"3","Feb 14, 2018","93.97","96.56","93.67","96.23","96.23","3,446,800","AXP"
"4","Feb 13, 2018","94.03","94.81","92.82","94.56","94.56","3,366,700","AXP"
"5","Feb 12, 2018","92.58","95.68","92.42","94.70","94.70","7,419,200","AXP"
"6","Feb 09, 2018","89.47","92.52","87.54","91.72","91.72","8,017,600","AXP"
"7","Feb 08, 2018","93.75","93.97","88.28","88.34","88.34","5,814,900","AXP"
"8","Feb 07, 2018","93.53","94.85","93.41","93.61","93.61","3,796,800","AXP"
"9","Feb 06, 2018","89.75","94.22","88.51","94.18","94.18","7,244,000","AXP"
"10","Feb 05, 2018","95.83","96.72","88.61","92.01","92.01","6,421,900","AXP"
"11","Feb 02, 2018","99.53","99.69","96.64","96.68","96.68","4,663,300","AXP"
"12","Feb 01, 2018","98.95","100.04","98.40","100.00","100.00","2,952,100","AXP"
"13","Jan 31, 2018","98.74","99.71","98.50","99.40","99.40","3,202,900","AXP"
"14","Jan 30, 2018","99.45","100.10","98.69","98.71","98.71","3,466,500","AXP"
"15","Jan 29, 2018","99.75","100.18","99.23","99.41","99.41","3,472,100","AXP"
"16","Jan 26, 2018","99.85","99.95","98.95","99.63","99.63","3,668,700","AXP"
"17","Jan 25, 2018","99.43","100.11","99.20","99.69","99.69","3,375,200","AXP"
"18","Jan 24, 2018","98.25","99.51","98.16","99.30","99.30","4,949,500","AXP"
"19","Jan 23, 2018","98.16","98.40","97.44","97.98","97.98","4,375,200","AXP"
"20","Jan 22, 2018","97.26","98.34","96.84","98.32","98.32","4,983,600","AXP"
"21","Jan 19, 2018","97.01","98.94","96.35","98.03","98.03","12,306,000","AXP"
"22","Jan 18, 2018","100.84","100.84","99.58","99.86","99.86","5,290,700","AXP"
"23","Jan 17, 2018","100.99","101.00","99.24","100.76","100.76","4,469,700","AXP"
"24","Jan 16, 2018","102.01","102.39","100.15","100.34","100.34","3,814,000","AXP"
"25","Jan 12, 2018","100.86","101.03","99.93","100.97","100.97","3,231,500","AXP"
"26","Jan 11, 2018","101.44","101.44","100.20","100.73","100.73","2,745,400","AXP"
"27","Jan 10, 2018","100.39","101.59","100.33","101.22","101.22","2,279,200","AXP"
"28","Jan 09, 2018","100.36","100.80","100.27","100.52","100.52","2,978,500","AXP"
"29","Jan 08, 2018","101.00","101.20","100.12","100.15","100.15","1,896,500","AXP"
"30","Jan 05, 2018","100.85","101.08","100.27","101.08","101.08","2,550,300","AXP"
"31","Jan 04, 2018","100.03","101.65","99.91","100.85","100.85","3,122,000","AXP"
"32","Jan 04, 2018","0.35 Dividend","0.35 Dividend","0.35 Dividend","0.35 Dividend","0.35 Dividend","0.35 Dividend","AXP"
"33","Jan 03, 2018","99.24","99.76","99.02","99.55","99.20","2,976,400","AXP"
"34","Jan 02, 2018","99.73","99.73","98.22","98.94","98.59","2,746,700","AXP"
"35","Dec 29, 2017","100.00","100.25","99.26","99.31","98.96","2,056,800","AXP"
"36","Dec 28, 2017","99.64","99.91","99.36","99.70","99.35","1,914,900","AXP"
"37","Dec 27, 2017","98.90","99.25","98.57","99.13","98.78","2,569,900","AXP"
"38","Dec 26, 2017","98.80","98.92","98.13","98.57","98.22","1,575,200","AXP"
"39","Dec 22, 2017","98.47","99.04","98.21","98.74","98.39","1,980,300","AXP"
"40","Dec 21, 2017","99.05","99.19","98.37","98.50","98.15","2,339,500","AXP"
"41","Dec 20, 2017","99.71","99.94","98.46","98.51","98.16","3,091,000","AXP"
"42","Dec 19, 2017","100.21","100.39","99.12","99.15","98.80","3,282,600","AXP"
"43","Dec 18, 2017","99.19","100.53","98.99","99.68","99.33","3,485,400","AXP"
"44","Dec 15, 2017","97.78","98.84","97.44","98.52","98.17","7,891,800","AXP"
"45","Dec 14, 2017","98.31","98.65","97.15","97.15","96.81","3,464,600","AXP"
"46","Dec 13, 2017","99.12","99.31","97.76","97.78","97.44","3,463,900","AXP"
"47","Dec 12, 2017","98.88","99.66","98.85","99.37","99.02","3,455,500","AXP"
