"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","356.59","359.50","353.51","355.04","355.04","5,205,500","BA"
"2","Feb 15, 2018","348.47","356.55","348.05","356.46","356.46","5,827,500","BA"
"3","Feb 14, 2018","341.34","347.43","341.17","344.85","344.85","4,340,200","BA"
"4","Feb 13, 2018","340.45","347.88","340.29","343.16","343.16","4,030,200","BA"
"5","Feb 12, 2018","336.57","347.75","335.13","343.80","343.80","6,885,000","BA"
"6","Feb 09, 2018","333.55","337.81","319.25","332.83","332.83","8,833,000","BA"
"7","Feb 08, 2018","348.00","349.00","329.40","329.66","329.66","8,295,900","BA"
"8","Feb 08, 2018","1.71 Dividend","1.71 Dividend","1.71 Dividend","1.71 Dividend","1.71 Dividend","1.71 Dividend","BA"
"9","Feb 07, 2018","340.52","353.59","339.87","348.12","346.41","7,946,700","BA"
"10","Feb 06, 2018","320.00","341.67","317.65","340.91","339.24","11,935,100","BA"
"11","Feb 05, 2018","342.67","350.00","317.39","328.88","327.26","10,511,300","BA"
"12","Feb 02, 2018","354.00","355.20","348.70","348.91","347.20","5,486,100","BA"
"13","Feb 01, 2018","352.95","361.45","352.04","356.94","355.19","6,067,600","BA"
"14","Jan 31, 2018","360.50","360.97","351.62","354.37","352.63","11,409,600","BA"
"15","Jan 30, 2018","339.17","339.98","334.16","337.71","336.05","4,983,100","BA"
"16","Jan 29, 2018","341.23","344.48","340.10","340.82","339.15","3,324,900","BA"
"17","Jan 26, 2018","344.33","345.98","341.25","343.22","341.53","5,236,300","BA"
"18","Jan 25, 2018","336.21","343.62","335.30","343.11","341.42","4,747,500","BA"
"19","Jan 24, 2018","336.20","338.99","334.14","334.69","333.05","4,205,400","BA"
"20","Jan 23, 2018","338.34","338.94","334.81","335.59","333.94","4,537,800","BA"
"21","Jan 22, 2018","335.29","341.38","332.04","338.00","336.34","6,792,900","BA"
"22","Jan 19, 2018","341.67","344.00","335.75","337.73","336.07","7,264,400","BA"
"23","Jan 18, 2018","350.70","350.83","339.15","340.16","338.49","9,458,600","BA"
"24","Jan 17, 2018","337.73","352.23","336.41","351.01","349.29","9,699,900","BA"
"25","Jan 16, 2018","339.90","347.73","331.33","335.16","333.51","12,305,500","BA"
"26","Jan 12, 2018","330.38","336.88","330.38","336.21","334.56","6,559,300","BA"
"27","Jan 11, 2018","322.13","328.40","321.19","328.12","326.51","4,635,300","BA"
"28","Jan 10, 2018","317.49","322.15","315.50","320.26","318.69","4,479,300","BA"
"29","Jan 09, 2018","310.59","319.91","310.49","318.43","316.87","5,641,300","BA"
"30","Jan 08, 2018","308.66","310.86","305.75","310.15","308.63","4,124,900","BA"
"31","Jan 05, 2018","296.77","308.89","296.72","308.84","307.32","6,177,700","BA"
"32","Jan 04, 2018","297.94","298.42","295.47","296.67","295.21","4,171,700","BA"
"33","Jan 03, 2018","295.94","298.50","295.47","297.80","296.34","3,211,200","BA"
"34","Jan 02, 2018","295.75","296.99","295.40","296.84","295.38","2,978,900","BA"
"35","Dec 29, 2017","296.94","297.30","294.83","294.91","293.46","1,824,600","BA"
"36","Dec 28, 2017","295.81","296.99","294.74","296.35","294.89","1,436,800","BA"
"37","Dec 27, 2017","296.41","296.80","294.80","295.62","294.17","1,447,800","BA"
"38","Dec 26, 2017","295.54","297.44","294.65","295.36","293.91","1,394,700","BA"
"39","Dec 22, 2017","296.33","296.52","293.01","295.10","293.65","2,257,400","BA"
"40","Dec 21, 2017","298.05","298.39","294.13","295.03","293.58","5,398,300","BA"
"41","Dec 20, 2017","298.70","299.33","297.11","297.90","296.44","2,533,700","BA"
"42","Dec 19, 2017","296.50","297.58","294.18","297.25","295.79","2,728,400","BA"
"43","Dec 18, 2017","296.00","297.14","294.52","296.14","294.69","2,901,600","BA"
"44","Dec 15, 2017","295.87","297.37","293.02","293.94","292.50","6,933,500","BA"
"45","Dec 14, 2017","293.35","296.82","292.60","293.88","292.44","3,913,400","BA"
"46","Dec 13, 2017","290.50","295.85","289.70","291.84","290.41","5,003,300","BA"
"47","Dec 12, 2017","291.34","292.80","287.72","289.94","288.52","5,517,600","BA"
"48","Dec 11, 2017","286.21","286.49","279.90","283.16","281.77","4,065,200","BA"
"49","Dec 08, 2017","285.01","287.32","283.56","285.90","284.50","4,440,500","BA"
"50","Dec 07, 2017","282.81","284.79","277.80","281.97","280.58","4,264,400","BA"
"51","Dec 06, 2017","276.58","279.14","274.00","278.27","276.90","2,538,100","BA"
"52","Dec 05, 2017","279.01","279.44","274.86","275.54","274.19","2,806,100","BA"
"53","Dec 04, 2017","276.16","281.83","276.00","277.97","276.60","5,523,000","BA"
"54","Dec 01, 2017","277.51","278.73","270.60","271.38","270.05","4,592,500","BA"
"55","Nov 30, 2017","269.91","277.04","269.43","276.80","275.44","4,820,300","BA"
"56","Nov 29, 2017","269.48","269.68","266.15","269.30","267.98","3,029,100","BA"
"57","Nov 28, 2017","267.00","268.01","265.23","267.99","266.67","2,262,100","BA"
"58","Nov 27, 2017","265.38","266.84","264.72","265.58","264.28","1,772,200","BA"
"59","Nov 24, 2017","265.26","266.57","264.53","265.88","264.57","788,900","BA"
"60","Nov 22, 2017","267.00","267.48","264.53","265.15","263.85","1,471,400","BA"
"61","Nov 21, 2017","266.24","267.00","264.71","266.99","265.68","2,267,100","BA"
"62","Nov 20, 2017","263.00","265.62","262.76","264.63","263.33","2,447,400","BA"
"63","Nov 17, 2017","262.82","263.74","262.03","262.26","260.97","1,724,800","BA"
"64","Nov 16, 2017","263.76","265.04","263.34","263.70","262.40","2,710,200","BA"
"65","Nov 15, 2017","261.42","264.77","260.15","262.86","261.57","2,510,500","BA"
"66","Nov 14, 2017","262.00","262.40","260.20","261.76","260.47","2,358,200","BA"
