"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","32.00","32.26","31.92","31.97","31.97","61,805,700","BAC"
"2","Feb 15, 2018","32.39","32.47","31.87","32.21","32.21","68,117,400","BAC"
"3","Feb 14, 2018","31.17","32.03","31.06","32.00","32.00","97,251,500","BAC"
"4","Feb 13, 2018","31.04","31.40","30.76","31.18","31.18","76,727,300","BAC"
"5","Feb 12, 2018","30.62","31.44","30.54","31.12","31.12","95,055,100","BAC"
"6","Feb 09, 2018","30.17","30.61","29.13","30.33","30.33","143,071,100","BAC"
"7","Feb 08, 2018","31.31","31.38","29.73","29.74","29.74","128,981,300","BAC"
"8","Feb 07, 2018","31.12","31.74","30.86","31.25","31.25","101,180,500","BAC"
"9","Feb 06, 2018","29.41","31.29","29.30","31.20","31.20","165,878,400","BAC"
"10","Feb 05, 2018","31.12","31.98","29.15","30.26","30.26","155,908,300","BAC"
"11","Feb 02, 2018","32.44","32.67","31.86","31.95","31.95","96,971,900","BAC"
"12","Feb 01, 2018","32.00","32.50","31.96","32.50","32.50","62,367,400","BAC"
"13","Jan 31, 2018","32.05","32.29","31.95","32.00","32.00","65,734,100","BAC"
"14","Jan 30, 2018","31.95","32.20","31.85","31.88","31.88","60,555,800","BAC"
"15","Jan 29, 2018","32.25","32.45","32.18","32.28","32.28","59,126,500","BAC"
"16","Jan 26, 2018","32.11","32.20","31.95","32.20","32.20","52,699,900","BAC"
"17","Jan 25, 2018","32.24","32.25","31.93","32.09","32.09","62,265,800","BAC"
"18","Jan 24, 2018","32.01","32.21","31.82","32.09","32.09","81,585,000","BAC"
"19","Jan 23, 2018","31.86","32.13","31.79","31.92","31.92","56,531,400","BAC"
"20","Jan 22, 2018","31.67","31.94","31.58","31.94","31.94","53,848,800","BAC"
"21","Jan 19, 2018","31.58","31.74","31.46","31.72","31.72","66,491,000","BAC"
"22","Jan 18, 2018","31.33","31.71","31.21","31.48","31.48","76,463,800","BAC"
"23","Jan 17, 2018","31.00","31.29","30.34","31.18","31.18","124,382,900","BAC"
"24","Jan 16, 2018","31.74","31.79","31.03","31.24","31.24","104,467,900","BAC"
"25","Jan 12, 2018","30.88","31.20","30.77","31.19","31.19","66,371,600","BAC"
"26","Jan 11, 2018","30.66","30.69","30.45","30.66","30.66","59,318,300","BAC"
"27","Jan 10, 2018","30.37","30.73","30.31","30.55","30.55","63,532,800","BAC"
"28","Jan 09, 2018","30.20","30.54","30.13","30.27","30.27","69,479,100","BAC"
"29","Jan 08, 2018","30.23","30.27","30.05","30.12","30.12","42,914,800","BAC"
"30","Jan 05, 2018","30.37","30.42","30.05","30.33","30.33","56,445,200","BAC"
"31","Jan 04, 2018","29.97","30.44","29.88","30.19","30.19","76,512,500","BAC"
"32","Jan 03, 2018","29.90","29.94","29.69","29.80","29.80","57,865,700","BAC"
"33","Jan 02, 2018","29.75","29.90","29.61","29.90","29.90","57,121,600","BAC"
"34","Dec 29, 2017","29.85","29.88","29.52","29.52","29.52","40,672,000","BAC"
"35","Dec 28, 2017","29.73","29.82","29.66","29.80","29.80","37,914,900","BAC"
"36","Dec 27, 2017","29.66","29.73","29.60","29.73","29.73","35,111,800","BAC"
"37","Dec 26, 2017","29.74","29.94","29.58","29.78","29.78","42,371,200","BAC"
"38","Dec 22, 2017","29.98","30.03","29.62","29.88","29.88","54,203,000","BAC"
"39","Dec 21, 2017","29.59","29.98","29.58","29.82","29.82","72,953,200","BAC"
"40","Dec 20, 2017","29.76","29.84","29.45","29.48","29.48","81,271,200","BAC"
"41","Dec 19, 2017","29.60","29.64","29.37","29.45","29.45","67,984,100","BAC"
"42","Dec 18, 2017","29.29","29.50","29.27","29.48","29.48","70,548,600","BAC"
"43","Dec 15, 2017","28.91","29.18","28.74","29.04","29.04","129,859,400","BAC"
"44","Dec 14, 2017","29.06","29.18","28.71","28.73","28.73","60,615,800","BAC"
"45","Dec 13, 2017","29.31","29.44","28.83","28.84","28.84","79,980,600","BAC"
"46","Dec 12, 2017","29.32","29.50","28.91","29.32","29.32","76,017,200","BAC"
"47","Dec 11, 2017","29.03","29.17","28.90","28.94","28.94","54,001,900","BAC"
"48","Dec 08, 2017","29.02","29.09","28.76","29.05","29.05","60,991,300","BAC"
"49","Dec 07, 2017","28.89","28.97","28.37","28.78","28.78","80,706,100","BAC"
"50","Dec 06, 2017","28.73","28.97","28.57","28.64","28.64","74,593,800","BAC"
"51","Dec 05, 2017","29.10","29.30","28.85","28.93","28.93","91,349,800","BAC"
"52","Dec 04, 2017","28.85","29.31","28.82","29.06","29.06","145,661,700","BAC"
"53","Dec 01, 2017","28.25","28.51","27.50","28.10","28.10","137,774,800","BAC"
"54","Nov 30, 2017","28.62","28.72","28.08","28.17","28.17","122,131,900","BAC"
"55","Nov 30, 2017","0.12 Dividend","0.12 Dividend","0.12 Dividend","0.12 Dividend","0.12 Dividend","0.12 Dividend","BAC"
"56","Nov 29, 2017","28.02","28.49","27.84","28.28","28.16","119,728,400","BAC"
"57","Nov 28, 2017","26.62","27.70","26.57","27.64","27.52","99,765,000","BAC"
"58","Nov 27, 2017","26.52","26.92","26.51","26.59","26.48","44,828,600","BAC"
"59","Nov 24, 2017","26.72","26.74","26.57","26.59","26.48","14,273,600","BAC"
"60","Nov 22, 2017","26.77","26.90","26.59","26.66","26.55","38,103,200","BAC"
"61","Nov 21, 2017","26.80","26.86","26.69","26.73","26.62","57,749,100","BAC"
