"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","297.75","298.50","290.88","291.87","291.87","2,928,000","BIIB"
"2","Feb 15, 2018","298.85","300.75","289.27","299.38","299.38","3,040,900","BIIB"
"3","Feb 14, 2018","315.36","316.45","288.00","296.08","296.08","5,426,400","BIIB"
"4","Feb 13, 2018","315.01","319.00","312.35","316.99","316.99","732,900","BIIB"
"5","Feb 12, 2018","319.25","323.18","315.50","316.63","316.63","1,331,000","BIIB"
"6","Feb 09, 2018","313.27","319.93","302.28","316.78","316.78","2,180,400","BIIB"
"7","Feb 08, 2018","326.67","328.70","311.50","311.79","311.79","1,414,600","BIIB"
"8","Feb 07, 2018","329.90","333.59","326.25","326.89","326.89","1,237,300","BIIB"
"9","Feb 06, 2018","322.52","332.95","321.11","332.86","332.86","1,768,200","BIIB"
"10","Feb 05, 2018","344.58","348.34","328.31","328.31","328.31","1,541,300","BIIB"
"11","Feb 02, 2018","343.98","348.69","342.31","343.83","343.83","1,095,000","BIIB"
"12","Feb 01, 2018","348.18","352.38","344.58","346.00","346.00","1,372,900","BIIB"
"13","Jan 31, 2018","357.34","359.61","345.72","347.81","347.81","1,398,000","BIIB"
"14","Jan 30, 2018","355.47","357.75","351.13","352.59","352.59","1,127,800","BIIB"
"15","Jan 29, 2018","365.15","367.90","357.47","358.48","358.48","1,317,200","BIIB"
"16","Jan 26, 2018","356.17","370.57","356.05","367.91","367.91","2,232,700","BIIB"
"17","Jan 25, 2018","358.00","358.00","341.21","353.74","353.74","1,863,000","BIIB"
"18","Jan 24, 2018","348.89","350.12","342.30","346.50","346.50","1,512,600","BIIB"
"19","Jan 23, 2018","348.00","354.28","345.74","346.75","346.75","1,186,200","BIIB"
"20","Jan 22, 2018","343.59","347.82","342.03","347.64","347.64","1,195,200","BIIB"
"21","Jan 19, 2018","347.57","347.57","341.82","342.41","342.41","1,232,200","BIIB"
"22","Jan 18, 2018","343.99","345.00","337.50","344.44","344.44","1,302,500","BIIB"
"23","Jan 17, 2018","339.72","347.78","337.28","344.87","344.87","1,429,000","BIIB"
"24","Jan 16, 2018","337.63","344.87","336.56","338.85","338.85","1,256,800","BIIB"
"25","Jan 12, 2018","333.31","336.61","331.51","335.95","335.95","885,500","BIIB"
"26","Jan 11, 2018","338.01","338.54","329.34","333.07","333.07","1,002,000","BIIB"
"27","Jan 10, 2018","334.59","339.94","331.84","336.72","336.72","973,400","BIIB"
"28","Jan 09, 2018","329.65","339.49","329.06","336.36","336.36","1,326,400","BIIB"
"29","Jan 08, 2018","341.45","341.94","327.26","329.65","329.65","1,438,800","BIIB"
"30","Jan 05, 2018","342.00","344.12","339.06","342.49","342.49","1,486,400","BIIB"
"31","Jan 04, 2018","339.73","341.40","335.46","339.99","339.99","967,100","BIIB"
"32","Jan 03, 2018","333.46","340.45","332.71","339.85","339.85","1,121,700","BIIB"
"33","Jan 02, 2018","321.15","335.43","318.33","334.17","334.17","1,422,500","BIIB"
"34","Dec 29, 2017","320.55","322.75","318.24","318.57","318.57","619,500","BIIB"
"35","Dec 28, 2017","320.60","322.38","319.26","320.33","320.33","660,000","BIIB"
"36","Dec 27, 2017","319.93","322.25","318.87","320.07","320.07","600,900","BIIB"
"37","Dec 26, 2017","319.45","320.14","316.25","319.78","319.78","653,600","BIIB"
"38","Dec 22, 2017","323.16","323.50","318.77","319.50","319.50","887,000","BIIB"
"39","Dec 21, 2017","319.75","328.60","319.05","322.52","322.52","2,212,900","BIIB"
"40","Dec 20, 2017","330.75","335.80","329.30","333.47","333.47","1,276,500","BIIB"
"41","Dec 19, 2017","326.13","328.39","324.00","327.02","327.02","866,700","BIIB"
"42","Dec 18, 2017","329.67","330.42","324.54","325.95","325.95","990,800","BIIB"
"43","Dec 15, 2017","328.61","330.12","321.73","327.94","327.94","2,023,500","BIIB"
"44","Dec 14, 2017","332.00","332.00","321.11","323.55","323.55","1,173,900","BIIB"
"45","Dec 13, 2017","328.21","332.85","327.25","330.71","330.71","1,129,200","BIIB"
"46","Dec 12, 2017","325.20","327.90","323.84","327.75","327.75","747,400","BIIB"
"47","Dec 11, 2017","327.09","330.61","322.66","328.03","328.03","1,142,800","BIIB"
"48","Dec 08, 2017","321.00","327.55","319.85","325.77","325.77","1,133,900","BIIB"
"49","Dec 07, 2017","315.42","319.91","311.95","319.57","319.57","987,100","BIIB"
