"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","55.98","56.60","55.90","56.25","56.25","3,196,300","BK"
"2","Feb 15, 2018","56.50","56.68","55.67","56.16","56.16","3,224,800","BK"
"3","Feb 14, 2018","54.53","56.06","54.53","55.98","55.98","4,067,000","BK"
"4","Feb 13, 2018","54.36","55.00","54.12","54.81","54.81","3,100,300","BK"
"5","Feb 12, 2018","54.51","55.17","53.90","54.61","54.61","4,857,400","BK"
"6","Feb 09, 2018","53.98","54.46","52.11","54.08","54.08","6,199,600","BK"
"7","Feb 08, 2018","55.30","55.64","53.24","53.29","53.29","7,132,400","BK"
"8","Feb 07, 2018","55.22","56.21","55.21","55.34","55.34","6,123,700","BK"
"9","Feb 06, 2018","53.32","55.65","52.68","55.49","55.49","10,572,000","BK"
"10","Feb 05, 2018","55.76","56.72","54.27","54.38","54.38","7,296,100","BK"
"11","Feb 02, 2018","57.12","57.78","56.22","56.33","56.33","4,359,900","BK"
"12","Feb 01, 2018","56.68","57.55","56.38","57.50","57.50","3,232,300","BK"
"13","Jan 31, 2018","56.69","57.16","56.38","56.70","56.70","3,484,800","BK"
"14","Jan 30, 2018","57.16","57.61","56.70","56.70","56.70","4,401,300","BK"
"15","Jan 29, 2018","57.39","57.94","57.26","57.52","57.52","4,057,600","BK"
"16","Jan 29, 2018","0.24 Dividend","0.24 Dividend","0.24 Dividend","0.24 Dividend","0.24 Dividend","0.24 Dividend","BK"
"17","Jan 26, 2018","56.86","57.78","56.67","57.78","57.54","5,055,000","BK"
"18","Jan 25, 2018","57.75","57.89","56.71","56.85","56.61","4,546,100","BK"
"19","Jan 24, 2018","57.86","58.33","57.37","57.77","57.53","3,972,300","BK"
"20","Jan 23, 2018","57.48","57.96","57.18","57.72","57.48","3,832,700","BK"
"21","Jan 22, 2018","56.60","57.81","56.47","57.72","57.48","5,563,100","BK"
"22","Jan 19, 2018","55.56","57.00","55.45","56.61","56.37","8,964,500","BK"
"23","Jan 18, 2018","55.41","55.84","54.67","55.35","55.12","11,105,300","BK"
"24","Jan 17, 2018","57.80","58.19","57.11","57.89","57.65","4,253,100","BK"
"25","Jan 16, 2018","58.68","58.99","57.36","57.54","57.30","5,864,100","BK"
