"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","539.35","548.48","537.83","541.10","541.10","531,000","BLK"
"2","Feb 15, 2018","546.41","547.71","531.17","540.65","540.65","648,000","BLK"
"3","Feb 14, 2018","517.90","540.35","516.40","539.94","539.94","656,700","BLK"
"4","Feb 13, 2018","520.86","526.52","518.77","521.27","521.27","517,500","BLK"
"5","Feb 12, 2018","526.32","532.14","519.88","525.38","525.38","614,700","BLK"
"6","Feb 09, 2018","517.05","525.99","500.01","521.51","521.51","938,600","BLK"
"7","Feb 08, 2018","534.23","536.49","509.01","509.38","509.38","1,038,700","BLK"
"8","Feb 07, 2018","535.18","541.66","532.00","532.26","532.26","672,400","BLK"
"9","Feb 06, 2018","510.81","538.52","507.26","535.22","535.22","1,076,700","BLK"
"10","Feb 05, 2018","539.99","553.03","518.50","524.97","524.97","1,129,400","BLK"
"11","Feb 02, 2018","565.26","565.26","545.81","548.32","548.32","808,200","BLK"
"12","Feb 01, 2018","561.41","568.48","558.75","565.19","565.19","659,600","BLK"
"13","Jan 31, 2018","564.81","566.97","559.65","561.80","561.80","665,800","BLK"
"14","Jan 30, 2018","570.05","571.53","562.18","562.29","562.29","851,100","BLK"
"15","Jan 29, 2018","585.53","585.53","574.20","574.42","574.42","611,000","BLK"
"16","Jan 26, 2018","578.21","586.95","577.12","586.80","586.80","516,600","BLK"
"17","Jan 25, 2018","585.00","585.93","572.95","575.50","575.50","892,500","BLK"
"18","Jan 24, 2018","591.90","592.45","583.18","587.67","587.67","642,200","BLK"
"19","Jan 23, 2018","593.00","594.52","588.40","589.68","589.68","643,400","BLK"
"20","Jan 22, 2018","592.46","593.44","581.99","593.26","593.26","843,600","BLK"
"21","Jan 19, 2018","582.62","590.56","581.03","590.26","590.26","591,300","BLK"
"22","Jan 18, 2018","577.27","584.21","575.02","579.22","579.22","819,600","BLK"
"23","Jan 17, 2018","567.21","578.63","565.29","576.51","576.51","983,900","BLK"
"24","Jan 16, 2018","562.62","571.82","561.06","563.00","563.00","1,370,600","BLK"
"25","Jan 12, 2018","552.70","556.37","546.71","555.53","555.53","941,800","BLK"
"26","Jan 11, 2018","534.15","538.96","530.61","537.92","537.92","765,200","BLK"
"27","Jan 10, 2018","534.47","535.88","529.78","531.57","531.57","483,800","BLK"
"28","Jan 09, 2018","529.00","540.00","528.57","533.94","533.94","547,700","BLK"
"29","Jan 08, 2018","523.94","529.72","523.52","529.49","529.49","561,500","BLK"
"30","Jan 05, 2018","523.86","525.94","520.89","525.57","525.57","483,000","BLK"
"31","Jan 04, 2018","516.50","521.31","515.01","521.13","521.13","389,800","BLK"
"32","Jan 03, 2018","508.66","514.74","508.16","514.34","514.34","448,700","BLK"
"33","Jan 02, 2018","518.78","518.78","506.48","508.97","508.97","526,400","BLK"
"34","Dec 29, 2017","520.00","520.03","513.71","513.71","513.71","306,700","BLK"
"35","Dec 28, 2017","515.00","518.30","514.71","517.98","517.98","222,400","BLK"
"36","Dec 27, 2017","514.37","515.62","512.26","514.32","514.32","216,000","BLK"
"37","Dec 26, 2017","513.33","513.99","510.01","513.72","513.72","176,600","BLK"
"38","Dec 22, 2017","514.67","514.67","508.64","512.12","512.12","258,200","BLK"
"39","Dec 21, 2017","516.55","518.68","512.88","513.59","513.59","374,900","BLK"
"40","Dec 20, 2017","520.42","520.42","512.54","514.55","514.55","294,700","BLK"
"41","Dec 19, 2017","520.74","520.74","515.06","515.82","515.82","424,500","BLK"
"42","Dec 18, 2017","517.00","519.46","515.07","518.86","518.86","433,300","BLK"
"43","Dec 15, 2017","506.50","515.71","506.37","511.87","511.87","896,400","BLK"
"44","Dec 14, 2017","514.56","514.75","506.49","506.75","506.75","336,300","BLK"
"45","Dec 13, 2017","517.02","518.88","511.40","512.55","512.55","482,100","BLK"
"46","Dec 12, 2017","513.94","518.55","511.67","517.73","517.73","430,200","BLK"
"47","Dec 11, 2017","515.13","515.71","510.79","512.13","512.13","398,100","BLK"
"48","Dec 08, 2017","514.20","517.30","511.61","515.49","515.49","471,700","BLK"
"49","Dec 07, 2017","511.41","516.47","511.27","512.41","512.41","416,700","BLK"
"50","Dec 06, 2017","507.00","516.52","506.20","511.82","511.82","386,900","BLK"
"51","Dec 05, 2017","513.62","515.48","510.90","512.12","512.12","501,400","BLK"
"52","Dec 04, 2017","509.11","515.60","508.10","513.50","513.50","716,900","BLK"
"53","Dec 01, 2017","499.67","504.40","490.73","502.08","502.08","574,700","BLK"
"54","Dec 01, 2017","2.5 Dividend","2.5 Dividend","2.5 Dividend","2.5 Dividend","2.5 Dividend","2.5 Dividend","BLK"
"55","Nov 30, 2017","503.94","509.00","499.56","501.19","498.69","1,071,200","BLK"
"56","Nov 29, 2017","495.83","505.33","494.10","500.82","498.32","684,200","BLK"
"57","Nov 28, 2017","482.85","493.56","480.70","493.06","490.60","447,600","BLK"
"58","Nov 27, 2017","480.70","484.17","480.22","481.96","479.56","339,000","BLK"
"59","Nov 24, 2017","481.13","482.92","479.34","479.74","477.35","134,400","BLK"
"60","Nov 22, 2017","481.20","483.98","478.32","478.94","476.55","265,400","BLK"
"61","Nov 21, 2017","477.71","482.74","477.02","481.36","478.96","440,900","BLK"
"62","Nov 20, 2017","474.99","476.37","472.85","474.77","472.40","392,100","BLK"
"63","Nov 17, 2017","471.75","479.25","471.66","473.99","471.63","505,600","BLK"
"64","Nov 16, 2017","473.21","474.35","470.56","474.02","471.66","247,000","BLK"
"65","Nov 15, 2017","467.86","472.28","463.75","470.50","468.15","470,400","BLK"
"66","Nov 14, 2017","463.22","470.61","462.60","470.45","468.10","366,000","BLK"
"67","Nov 13, 2017","462.38","465.43","461.07","465.11","462.79","499,100","BLK"
"68","Nov 10, 2017","466.15","468.88","463.57","465.83","463.51","304,000","BLK"
"69","Nov 09, 2017","469.36","471.99","462.51","466.60","464.27","454,700","BLK"
"70","Nov 08, 2017","472.14","473.93","470.96","472.20","469.84","362,200","BLK"
"71","Nov 07, 2017","475.21","479.53","472.23","473.37","471.01","240,400","BLK"
"72","Nov 06, 2017","478.75","479.79","475.05","475.61","473.24","241,600","BLK"
"73","Nov 03, 2017","473.23","480.17","472.10","479.11","476.72","435,600","BLK"
"74","Nov 02, 2017","469.43","476.91","469.33","474.92","472.55","528,800","BLK"
"75","Nov 01, 2017","473.21","473.85","468.80","469.29","466.95","449,300","BLK"
"76","Oct 31, 2017","471.72","473.18","470.24","470.83","468.48","413,100","BLK"
"77","Oct 30, 2017","475.33","475.66","471.60","472.29","469.93","320,900","BLK"
"78","Oct 27, 2017","473.69","477.86","470.66","475.13","472.76","432,600","BLK"
"79","Oct 26, 2017","472.18","475.30","470.67","473.48","471.12","495,200","BLK"
"80","Oct 25, 2017","473.72","474.81","465.15","469.15","466.81","644,000","BLK"
"81","Oct 24, 2017","477.65","478.28","472.04","473.72","471.36","510,400","BLK"
"82","Oct 23, 2017","476.99","479.47","473.73","474.39","472.02","436,600","BLK"
"83","Oct 20, 2017","489.79","489.79","475.19","476.62","474.24","531,300","BLK"
"84","Oct 19, 2017","474.00","477.64","472.24","476.79","474.41","464,100","BLK"
"85","Oct 18, 2017","477.43","477.88","474.35","477.50","475.12","414,800","BLK"
"86","Oct 17, 2017","477.22","478.46","472.80","475.55","473.18","431,700","BLK"
"87","Oct 16, 2017","476.63","478.75","474.73","477.96","475.58","425,400","BLK"
"88","Oct 13, 2017","480.51","483.56","475.07","475.49","473.12","639,700","BLK"
"89","Oct 12, 2017","476.00","485.23","473.99","480.59","478.19","1,241,700","BLK"
"90","Oct 11, 2017","474.00","474.37","460.16","473.93","471.57","1,031,800","BLK"
"91","Oct 10, 2017","463.25","465.49","461.63","465.49","463.17","687,300","BLK"
"92","Oct 09, 2017","464.91","465.81","461.66","462.45","460.14","339,300","BLK"
"93","Oct 06, 2017","464.43","465.87","459.39","463.22","460.91","458,400","BLK"
"94","Oct 05, 2017","458.56","465.61","456.96","464.43","462.11","642,200","BLK"
"95","Oct 04, 2017","450.85","457.94","448.99","457.91","455.63","839,700","BLK"
"96","Oct 03, 2017","449.42","450.90","446.87","450.79","448.54","540,500","BLK"
"97","Oct 02, 2017","447.73","450.49","447.01","449.95","447.71","416,300","BLK"
"98","Sep 29, 2017","445.00","448.53","443.56","447.09","444.86","457,700","BLK"
"99","Sep 28, 2017","442.00","446.65","439.52","446.11","443.88","473,500","BLK"
"100","Sep 27, 2017","438.27","438.68","433.87","438.40","436.21","410,200","BLK"
"101","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","BLK"
