"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","68.86","70.05","68.52","68.96","68.96","10,517,000","BMY"
"2","Feb 15, 2018","67.31","69.44","67.18","68.98","68.98","15,684,900","BMY"
"3","Feb 14, 2018","63.59","65.94","63.27","65.35","65.35","10,290,600","BMY"
"4","Feb 13, 2018","62.80","64.11","62.69","63.87","63.87","7,519,100","BMY"
"5","Feb 12, 2018","62.95","63.59","62.30","63.16","63.16","7,502,900","BMY"
"6","Feb 09, 2018","63.30","63.32","60.57","62.70","62.70","11,158,000","BMY"
"7","Feb 08, 2018","62.55","64.77","62.53","62.69","62.69","14,961,700","BMY"
"8","Feb 07, 2018","60.64","62.77","60.30","62.63","62.63","12,176,600","BMY"
"9","Feb 06, 2018","59.83","61.21","58.44","60.90","60.90","18,286,300","BMY"
"10","Feb 05, 2018","65.43","65.89","60.93","60.96","60.96","23,181,900","BMY"
"11","Feb 02, 2018","62.89","64.29","62.85","63.48","63.48","11,719,200","BMY"
"12","Feb 01, 2018","62.18","62.98","61.95","62.80","62.80","7,133,000","BMY"
"13","Jan 31, 2018","63.96","64.03","61.94","62.60","62.60","8,886,900","BMY"
"14","Jan 30, 2018","63.93","64.61","63.31","63.96","63.96","5,848,000","BMY"
"15","Jan 29, 2018","64.12","64.96","64.08","64.43","64.43","6,763,300","BMY"
"16","Jan 26, 2018","63.93","64.73","63.63","64.25","64.25","6,727,300","BMY"
"17","Jan 25, 2018","64.00","64.26","63.20","63.52","63.52","6,183,200","BMY"
"18","Jan 24, 2018","63.71","64.00","63.14","63.76","63.76","6,430,000","BMY"
"19","Jan 23, 2018","62.99","63.68","62.80","63.43","63.43","6,459,900","BMY"
"20","Jan 22, 2018","62.29","63.43","62.02","63.28","63.28","6,748,100","BMY"
"21","Jan 19, 2018","62.10","62.42","61.56","62.28","62.28","7,490,300","BMY"
"22","Jan 18, 2018","61.81","61.90","61.10","61.83","61.83","7,904,200","BMY"
"23","Jan 17, 2018","60.33","62.00","60.28","61.85","61.85","10,608,500","BMY"
"24","Jan 16, 2018","61.75","61.86","59.42","59.92","59.92","14,471,700","BMY"
"25","Jan 12, 2018","62.75","63.22","62.52","62.81","62.81","5,489,200","BMY"
