"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","76.80","77.37","76.61","76.82","76.82","11,444,800","C"
"2","Feb 15, 2018","77.18","77.46","76.40","77.08","77.08","11,066,400","C"
"3","Feb 14, 2018","75.03","76.86","74.73","76.71","76.71","16,261,300","C"
"4","Feb 13, 2018","74.34","75.38","74.15","75.18","75.18","11,749,100","C"
"5","Feb 12, 2018","74.47","75.50","73.97","74.76","74.76","16,677,700","C"
"6","Feb 09, 2018","73.02","74.28","71.00","73.68","73.68","26,616,500","C"
"7","Feb 08, 2018","75.07","75.25","71.80","71.87","71.87","24,941,100","C"
"8","Feb 07, 2018","74.77","76.08","74.32","74.99","74.99","18,908,400","C"
"9","Feb 06, 2018","71.52","75.19","71.15","74.82","74.82","32,116,700","C"
"10","Feb 05, 2018","75.52","77.22","72.20","73.27","73.27","31,087,800","C"
"11","Feb 02, 2018","78.65","79.06","76.88","77.02","77.02","18,561,200","C"
"12","Feb 02, 2018","0.32 Dividend","0.32 Dividend","0.32 Dividend","0.32 Dividend","0.32 Dividend","0.32 Dividend","C"
"13","Feb 01, 2018","78.27","79.23","78.14","79.20","78.88","12,437,200","C"
"14","Jan 31, 2018","78.78","79.39","78.19","78.48","78.16","16,266,300","C"
"15","Jan 30, 2018","79.20","79.60","78.61","78.62","78.30","15,816,900","C"
"16","Jan 29, 2018","80.12","80.70","79.83","79.96","79.64","14,611,100","C"
"17","Jan 26, 2018","79.61","80.08","78.96","80.08","79.76","12,807,800","C"
"18","Jan 25, 2018","79.85","80.39","79.21","79.44","79.12","16,178,800","C"
"19","Jan 24, 2018","78.96","79.71","78.66","79.45","79.13","18,108,600","C"
"20","Jan 23, 2018","78.46","78.89","77.96","78.55","78.23","10,080,000","C"
"21","Jan 22, 2018","78.24","78.90","78.05","78.59","78.27","11,561,100","C"
"22","Jan 19, 2018","77.57","78.38","77.43","78.30","77.98","17,814,000","C"
"23","Jan 18, 2018","77.66","77.70","77.08","77.39","77.08","15,420,800","C"
"24","Jan 17, 2018","76.89","77.66","76.10","77.47","77.16","20,958,400","C"
"25","Jan 16, 2018","77.76","78.44","76.79","77.11","76.80","26,181,400","C"
"26","Jan 12, 2018","75.90","76.96","75.78","76.84","76.53","16,946,700","C"
"27","Jan 11, 2018","75.98","76.02","75.14","75.56","75.25","15,459,900","C"
"28","Jan 10, 2018","75.70","76.28","75.37","75.65","75.34","14,008,000","C"
"29","Jan 09, 2018","74.76","75.89","74.61","75.31","75.01","14,209,500","C"
"30","Jan 08, 2018","75.17","75.24","74.33","74.53","74.23","14,215,700","C"
"31","Jan 05, 2018","75.71","75.77","74.96","75.41","75.11","15,300,500","C"
