"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","160.13","161.00","156.09","156.29","156.29","5,967,000","CAT"
"2","Feb 15, 2018","159.80","160.34","157.48","159.98","159.98","4,914,500","CAT"
"3","Feb 14, 2018","152.39","158.59","152.34","158.06","158.06","5,560,100","CAT"
"4","Feb 13, 2018","151.25","155.20","151.00","153.97","153.97","5,512,100","CAT"
"5","Feb 12, 2018","151.87","153.45","150.25","152.29","152.29","5,756,800","CAT"
"6","Feb 09, 2018","148.71","150.89","142.88","149.21","149.21","9,528,100","CAT"
"7","Feb 08, 2018","153.85","154.19","145.92","145.99","145.99","9,101,900","CAT"
"8","Feb 07, 2018","155.36","158.09","154.28","154.34","154.34","7,156,500","CAT"
"9","Feb 06, 2018","148.07","156.56","146.81","156.41","156.41","13,908,700","CAT"
"10","Feb 05, 2018","154.93","158.93","142.85","151.08","151.08","11,390,500","CAT"
"11","Feb 02, 2018","160.77","160.80","156.53","157.49","157.49","7,602,800","CAT"
"12","Feb 01, 2018","161.24","163.74","160.18","162.24","162.24","4,323,600","CAT"
"13","Jan 31, 2018","164.70","165.79","161.89","162.78","162.78","7,014,000","CAT"
"14","Jan 30, 2018","160.33","164.71","159.81","163.76","163.76","8,694,800","CAT"
"15","Jan 29, 2018","165.58","165.88","159.42","162.58","162.58","9,496,800","CAT"
"16","Jan 26, 2018","168.81","169.00","164.55","167.06","167.06","9,045,300","CAT"
"17","Jan 25, 2018","173.10","173.10","162.46","169.37","169.37","16,937,100","CAT"
"18","Jan 24, 2018","171.40","172.45","167.67","168.34","168.34","8,241,000","CAT"
"19","Jan 23, 2018","172.00","172.05","169.20","169.43","169.43","5,036,500","CAT"
"20","Jan 22, 2018","170.32","170.91","168.48","170.89","170.89","3,540,900","CAT"
"21","Jan 19, 2018","169.63","170.45","168.61","170.41","170.41","5,796,700","CAT"
"22","Jan 19, 2018","0.78 Dividend","0.78 Dividend","0.78 Dividend","0.78 Dividend","0.78 Dividend","0.78 Dividend","CAT"
"23","Jan 18, 2018","169.33","170.76","168.09","168.83","168.05","4,668,800","CAT"
"24","Jan 17, 2018","169.32","170.11","168.50","168.50","167.72","5,571,400","CAT"
"25","Jan 16, 2018","172.90","173.24","167.57","169.31","168.53","8,530,600","CAT"
"26","Jan 12, 2018","169.99","170.67","169.23","170.30","169.51","4,127,900","CAT"
"27","Jan 11, 2018","166.90","169.53","165.64","169.20","168.42","4,199,000","CAT"
"28","Jan 10, 2018","165.90","167.53","164.50","165.87","165.10","5,478,600","CAT"
"29","Jan 09, 2018","166.33","167.41","165.09","166.43","165.66","4,522,900","CAT"
"30","Jan 08, 2018","164.11","166.43","162.55","166.03","165.26","5,929,200","CAT"
"31","Jan 05, 2018","160.26","162.05","159.64","161.96","161.21","3,945,400","CAT"
"32","Jan 04, 2018","157.89","159.58","157.02","159.44","158.70","4,865,800","CAT"
"33","Jan 03, 2018","157.04","157.49","155.40","157.28","156.55","4,146,100","CAT"
"34","Jan 02, 2018","158.30","159.39","156.03","157.04","156.31","5,108,400","CAT"
"35","Dec 29, 2017","158.05","158.50","157.51","157.58","156.85","2,616,100","CAT"
"36","Dec 28, 2017","157.94","158.65","157.23","158.42","157.69","4,064,000","CAT"
"37","Dec 27, 2017","156.94","157.69","156.31","157.52","156.79","2,520,500","CAT"
"38","Dec 26, 2017","156.04","156.98","155.66","156.44","155.72","1,870,600","CAT"
"39","Dec 22, 2017","154.77","155.80","153.95","155.75","155.03","2,486,400","CAT"
"40","Dec 21, 2017","152.69","155.10","151.81","154.64","153.93","4,017,400","CAT"
"41","Dec 20, 2017","151.93","152.60","150.70","152.52","151.82","3,076,000","CAT"
"42","Dec 19, 2017","149.90","151.09","148.53","150.91","150.21","3,554,100","CAT"
"43","Dec 18, 2017","147.75","149.81","146.80","149.77","149.08","3,534,800","CAT"
"44","Dec 15, 2017","147.35","147.84","145.49","146.69","146.01","7,931,700","CAT"
"45","Dec 14, 2017","148.85","149.00","145.88","146.28","145.60","4,616,900","CAT"
"46","Dec 13, 2017","144.18","149.05","144.07","148.57","147.88","6,486,500","CAT"
"47","Dec 12, 2017","144.04","144.80","143.21","143.42","142.76","3,397,100","CAT"
"48","Dec 11, 2017","144.63","144.71","143.48","143.77","143.11","1,913,500","CAT"
"49","Dec 08, 2017","143.87","144.32","142.93","143.86","143.20","2,490,100","CAT"
"50","Dec 07, 2017","139.78","143.00","139.19","142.89","142.23","2,977,100","CAT"
"51","Dec 06, 2017","140.15","141.14","139.50","140.34","139.69","2,881,400","CAT"
"52","Dec 05, 2017","141.75","142.19","139.73","140.14","139.49","3,884,100","CAT"
"53","Dec 04, 2017","144.25","145.19","141.44","141.50","140.85","4,922,300","CAT"
"54","Dec 01, 2017","141.60","142.40","138.38","141.52","140.87","5,481,600","CAT"
"55","Nov 30, 2017","138.90","141.33","137.11","141.15","140.50","7,507,800","CAT"
"56","Nov 29, 2017","138.17","139.21","137.20","138.06","137.42","3,098,200","CAT"
"57","Nov 28, 2017","137.51","139.00","137.27","138.99","138.35","2,592,700","CAT"
"58","Nov 27, 2017","137.47","138.27","136.89","137.19","136.56","2,585,400","CAT"
"59","Nov 24, 2017","138.10","138.42","137.34","137.39","136.76","944,400","CAT"
"60","Nov 22, 2017","138.22","138.42","137.20","138.01","137.37","4,887,500","CAT"
"61","Nov 21, 2017","137.77","138.00","137.17","137.60","136.96","2,221,400","CAT"
"62","Nov 20, 2017","136.44","137.81","136.25","136.91","136.28","2,124,000","CAT"
"63","Nov 17, 2017","135.80","136.36","135.02","136.13","135.50","2,312,700","CAT"
"64","Nov 16, 2017","135.47","137.41","135.10","136.36","135.73","2,812,900","CAT"
"65","Nov 15, 2017","136.48","136.76","133.81","134.10","133.48","3,746,200","CAT"
"66","Nov 14, 2017","138.00","138.12","136.47","137.54","136.90","3,041,300","CAT"
"67","Nov 13, 2017","135.53","136.55","134.87","136.53","135.90","1,894,100","CAT"
"68","Nov 10, 2017","135.09","136.89","135.07","136.48","135.85","2,016,900","CAT"
"69","Nov 09, 2017","136.44","136.75","134.65","135.34","134.71","2,940,300","CAT"
"70","Nov 08, 2017","138.40","138.75","137.18","137.29","136.66","1,933,300","CAT"
"71","Nov 07, 2017","137.80","138.90","136.66","138.81","138.17","3,222,100","CAT"
"72","Nov 06, 2017","136.80","138.45","136.79","137.71","137.07","2,780,900","CAT"
"73","Nov 03, 2017","136.48","136.95","136.36","136.63","136.00","2,105,400","CAT"
