"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","364.03","370.09","361.49","365.66","365.66","743,000","CHTR"
"2","Feb 15, 2018","359.29","365.92","355.63","363.67","363.67","1,096,700","CHTR"
"3","Feb 14, 2018","354.06","359.29","352.01","358.94","358.94","915,500","CHTR"
"4","Feb 13, 2018","354.46","357.49","353.41","355.68","355.68","772,400","CHTR"
"5","Feb 12, 2018","350.26","360.38","350.00","357.88","357.88","855,100","CHTR"
"6","Feb 09, 2018","351.41","355.56","343.15","349.43","349.43","1,908,200","CHTR"
"7","Feb 08, 2018","362.10","363.04","346.13","348.65","348.65","1,769,900","CHTR"
"8","Feb 07, 2018","367.11","370.52","360.06","363.55","363.55","1,555,000","CHTR"
"9","Feb 06, 2018","366.08","370.96","360.12","369.75","369.75","4,492,100","CHTR"
"10","Feb 05, 2018","391.60","395.00","371.47","372.57","372.57","2,872,600","CHTR"
"11","Feb 02, 2018","380.00","396.64","375.50","387.50","387.50","4,374,900","CHTR"
"12","Feb 01, 2018","376.11","380.26","371.14","371.18","371.18","1,928,200","CHTR"
"13","Jan 31, 2018","374.81","379.33","373.21","377.25","377.25","2,152,800","CHTR"
"14","Jan 30, 2018","376.37","377.98","371.84","376.57","376.57","1,241,600","CHTR"
"15","Jan 29, 2018","375.24","376.62","370.71","374.50","374.50","925,600","CHTR"
"16","Jan 26, 2018","375.83","378.14","374.31","377.00","377.00","1,228,500","CHTR"
"17","Jan 25, 2018","376.23","378.38","371.70","375.14","375.14","981,800","CHTR"
"18","Jan 24, 2018","370.45","377.06","367.27","376.18","376.18","1,758,300","CHTR"
"19","Jan 23, 2018","367.81","372.00","366.16","369.25","369.25","1,043,100","CHTR"
"20","Jan 22, 2018","366.37","371.00","366.00","370.25","370.25","1,822,000","CHTR"
"21","Jan 19, 2018","366.73","370.00","362.80","366.05","366.05","1,453,400","CHTR"
"22","Jan 18, 2018","356.49","365.25","356.49","365.25","365.25","1,534,600","CHTR"
"23","Jan 17, 2018","358.59","359.99","352.07","357.84","357.84","1,119,500","CHTR"
"24","Jan 16, 2018","352.18","356.54","349.87","352.93","352.93","1,112,500","CHTR"
"25","Jan 12, 2018","357.39","359.56","353.08","354.00","354.00","644,600","CHTR"
"26","Jan 11, 2018","350.28","356.19","348.32","355.27","355.27","1,191,100","CHTR"
"27","Jan 10, 2018","354.02","356.46","347.53","350.83","350.83","1,092,400","CHTR"
"28","Jan 09, 2018","356.66","358.77","354.15","354.76","354.76","938,900","CHTR"
"29","Jan 08, 2018","354.47","360.19","351.63","356.55","356.55","1,485,700","CHTR"
"30","Jan 05, 2018","352.02","354.40","349.08","350.88","350.88","1,960,500","CHTR"
"31","Jan 04, 2018","356.75","358.00","346.97","349.79","349.79","1,176,400","CHTR"
"32","Jan 03, 2018","354.06","364.38","349.59","353.03","353.03","2,500,800","CHTR"
"33","Jan 02, 2018","338.43","352.82","337.77","348.97","348.97","2,789,200","CHTR"
"34","Dec 29, 2017","335.14","342.02","333.82","335.96","335.96","846,700","CHTR"
"35","Dec 28, 2017","334.45","339.78","333.00","338.03","338.03","764,600","CHTR"
"36","Dec 27, 2017","341.40","341.50","332.31","333.25","333.25","2,044,700","CHTR"
"37","Dec 26, 2017","336.84","340.50","336.10","340.40","340.40","1,123,700","CHTR"
"38","Dec 22, 2017","331.49","341.11","331.49","338.20","338.20","1,459,800","CHTR"
"39","Dec 21, 2017","317.86","336.83","316.78","332.94","332.94","1,866,400","CHTR"
"40","Dec 20, 2017","317.06","317.28","312.53","316.38","316.38","1,949,700","CHTR"
"41","Dec 19, 2017","322.65","324.34","316.43","316.97","316.97","1,726,300","CHTR"
"42","Dec 18, 2017","324.47","326.99","321.55","323.23","323.23","1,985,500","CHTR"
"43","Dec 15, 2017","331.98","331.98","321.31","322.31","322.31","3,538,000","CHTR"
"44","Dec 14, 2017","328.56","330.92","323.39","328.68","328.68","1,603,700","CHTR"
"45","Dec 13, 2017","331.35","334.15","323.77","329.00","329.00","2,059,100","CHTR"
"46","Dec 12, 2017","332.07","332.99","326.60","329.99","329.99","1,966,100","CHTR"
"47","Dec 11, 2017","326.79","332.99","323.84","331.49","331.49","2,022,200","CHTR"
"48","Dec 08, 2017","327.82","329.46","320.70","324.50","324.50","2,025,000","CHTR"
"49","Dec 07, 2017","322.00","330.44","320.65","325.22","325.22","2,064,100","CHTR"
"50","Dec 06, 2017","330.96","334.67","321.35","322.64","322.64","1,536,700","CHTR"
"51","Dec 05, 2017","333.27","338.92","330.46","330.95","330.95","1,529,700","CHTR"
"52","Dec 04, 2017","330.20","347.48","329.19","334.00","334.00","2,629,000","CHTR"
"53","Dec 01, 2017","321.94","340.55","321.94","336.27","336.27","2,168,100","CHTR"
"54","Nov 30, 2017","328.35","330.91","321.00","326.21","326.21","4,063,700","CHTR"
"55","Nov 29, 2017","326.60","332.02","324.19","331.67","331.67","2,320,800","CHTR"
"56","Nov 28, 2017","321.95","327.97","317.93","325.89","325.89","2,749,200","CHTR"
"57","Nov 27, 2017","327.69","327.69","319.50","321.84","321.84","2,092,300","CHTR"
"58","Nov 24, 2017","333.64","335.44","326.20","328.98","328.98","769,000","CHTR"
"59","Nov 22, 2017","337.84","339.49","332.44","334.27","334.27","961,000","CHTR"
"60","Nov 21, 2017","339.24","344.85","337.64","338.42","338.42","1,952,100","CHTR"
"61","Nov 20, 2017","341.00","348.38","337.96","338.37","338.37","2,286,900","CHTR"
"62","Nov 17, 2017","341.38","349.54","338.96","341.54","341.54","1,250,500","CHTR"
"63","Nov 16, 2017","333.94","340.92","328.50","340.63","340.63","1,513,200","CHTR"
"64","Nov 15, 2017","337.33","337.66","330.50","334.22","334.22","1,937,500","CHTR"
"65","Nov 14, 2017","341.30","344.00","333.97","336.81","336.81","1,452,300","CHTR"
"66","Nov 13, 2017","338.50","343.91","337.07","343.72","343.72","908,700","CHTR"
"67","Nov 10, 2017","338.49","343.40","337.21","338.44","338.44","870,100","CHTR"
"68","Nov 09, 2017","335.79","342.34","333.06","341.20","341.20","1,364,400","CHTR"
"69","Nov 08, 2017","342.58","343.84","335.51","337.90","337.90","1,372,500","CHTR"
"70","Nov 07, 2017","350.04","353.99","342.29","343.01","343.01","1,721,000","CHTR"
"71","Nov 06, 2017","338.00","361.28","336.63","348.40","348.40","3,956,700","CHTR"
"72","Nov 03, 2017","334.59","340.58","328.00","335.43","335.43","2,226,100","CHTR"
"73","Nov 02, 2017","341.32","341.67","334.65","337.66","337.66","2,074,800","CHTR"
"74","Nov 01, 2017","335.62","340.74","335.47","338.22","338.22","2,324,200","CHTR"
"75","Oct 31, 2017","324.34","339.42","321.82","334.17","334.17","3,726,900","CHTR"
"76","Oct 30, 2017","318.47","329.72","316.76","323.98","323.98","3,404,100","CHTR"
"77","Oct 27, 2017","314.83","321.91","308.30","319.76","319.76","3,539,000","CHTR"
"78","Oct 26, 2017","322.00","328.09","312.41","316.29","316.29","8,927,300","CHTR"
"79","Oct 25, 2017","338.69","345.51","336.57","344.91","344.91","3,518,400","CHTR"
"80","Oct 24, 2017","345.00","345.23","339.53","340.26","340.26","2,176,500","CHTR"
"81","Oct 23, 2017","350.15","351.02","344.16","345.07","345.07","1,831,900","CHTR"
"82","Oct 20, 2017","353.84","355.50","350.24","350.76","350.76","1,317,100","CHTR"
"83","Oct 19, 2017","351.52","353.59","348.43","351.67","351.67","2,007,000","CHTR"
"84","Oct 18, 2017","357.04","357.50","350.76","352.07","352.07","1,326,700","CHTR"
"85","Oct 17, 2017","362.59","362.59","356.69","357.84","357.84","1,178,000","CHTR"
"86","Oct 16, 2017","358.06","362.78","357.61","362.60","362.60","1,144,200","CHTR"
"87","Oct 13, 2017","354.62","360.22","347.54","357.40","357.40","2,710,300","CHTR"
"88","Oct 12, 2017","363.00","363.00","352.51","355.71","355.71","2,582,300","CHTR"
"89","Oct 11, 2017","364.06","366.97","361.03","365.12","365.12","1,432,600","CHTR"
