"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","70.94","71.84","70.81","71.46","71.46","4,274,100","CL"
"2","Feb 15, 2018","69.82","71.22","69.50","71.22","71.22","3,617,100","CL"
"3","Feb 14, 2018","69.78","70.03","69.00","69.62","69.62","3,579,200","CL"
"4","Feb 13, 2018","69.95","70.45","69.69","70.30","70.30","3,528,600","CL"
"5","Feb 12, 2018","70.01","70.87","69.74","70.19","70.19","3,457,600","CL"
"6","Feb 09, 2018","69.54","70.06","68.49","69.76","69.76","6,097,600","CL"
"7","Feb 08, 2018","70.17","70.29","68.94","68.95","68.95","4,875,200","CL"
"8","Feb 07, 2018","70.40","71.04","70.02","70.17","70.17","4,413,200","CL"
"9","Feb 06, 2018","69.10","71.04","68.19","70.41","70.41","6,903,800","CL"
"10","Feb 05, 2018","72.34","72.98","69.78","69.81","69.81","6,278,000","CL"
"11","Feb 02, 2018","72.99","73.15","72.29","72.43","72.43","5,130,500","CL"
"12","Feb 01, 2018","74.33","74.63","73.18","73.33","73.33","3,900,300","CL"
"13","Jan 31, 2018","74.77","74.77","73.14","74.24","74.24","5,458,900","CL"
"14","Jan 30, 2018","73.78","74.76","73.12","74.67","74.67","6,027,700","CL"
"15","Jan 29, 2018","73.41","74.40","72.83","73.79","73.79","8,636,800","CL"
"16","Jan 26, 2018","73.84","74.29","72.45","73.56","73.56","13,162,400","CL"
"17","Jan 25, 2018","77.07","77.36","76.62","77.31","77.31","4,236,300","CL"
"18","Jan 24, 2018","76.99","77.15","76.45","76.80","76.80","3,767,900","CL"
"19","Jan 23, 2018","77.00","77.17","76.37","76.90","76.90","3,388,900","CL"
"20","Jan 22, 2018","76.87","77.55","76.64","77.38","77.38","2,824,700","CL"
"21","Jan 22, 2018","0.4 Dividend","0.4 Dividend","0.4 Dividend","0.4 Dividend","0.4 Dividend","0.4 Dividend","CL"
"22","Jan 19, 2018","76.96","77.91","76.80","77.50","77.10","4,480,600","CL"
"23","Jan 18, 2018","76.72","77.29","76.35","76.63","76.23","4,040,100","CL"
