"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","39.99","40.42","39.69","39.79","39.79","21,658,100","CMCSA"
"2","Feb 15, 2018","39.76","40.12","39.26","40.08","40.08","21,687,700","CMCSA"
"3","Feb 14, 2018","38.82","39.62","38.50","39.43","39.43","21,982,500","CMCSA"
"4","Feb 13, 2018","38.16","39.17","38.10","38.96","38.96","18,133,300","CMCSA"
"5","Feb 12, 2018","38.60","39.07","38.27","38.54","38.54","30,682,500","CMCSA"
"6","Feb 09, 2018","38.37","38.99","37.43","38.57","38.57","37,376,000","CMCSA"
"7","Feb 08, 2018","39.90","40.16","38.15","38.19","38.19","34,122,900","CMCSA"
"8","Feb 07, 2018","39.50","40.42","39.37","40.15","40.15","33,065,600","CMCSA"
"9","Feb 06, 2018","38.92","39.80","38.50","39.67","39.67","48,696,300","CMCSA"
"10","Feb 05, 2018","41.36","41.64","39.10","39.20","39.20","42,367,300","CMCSA"
"11","Feb 02, 2018","41.50","42.16","40.83","41.11","41.11","32,030,600","CMCSA"
"12","Feb 01, 2018","42.17","42.59","41.88","41.89","41.89","26,485,900","CMCSA"
"13","Jan 31, 2018","42.29","42.73","42.08","42.53","42.53","26,926,300","CMCSA"
"14","Jan 30, 2018","42.03","42.46","41.69","42.34","42.34","21,398,600","CMCSA"
"15","Jan 29, 2018","42.30","42.34","41.35","41.98","41.98","21,559,300","CMCSA"
"16","Jan 26, 2018","42.10","42.80","41.95","42.80","42.80","27,999,900","CMCSA"
"17","Jan 25, 2018","43.12","43.53","41.98","42.14","42.14","27,799,100","CMCSA"
"18","Jan 24, 2018","42.70","44.00","41.57","42.99","42.99","48,918,800","CMCSA"
"19","Jan 23, 2018","42.50","42.84","41.96","42.44","42.44","19,155,500","CMCSA"
"20","Jan 22, 2018","42.41","42.92","42.15","42.89","42.89","22,437,400","CMCSA"
"21","Jan 19, 2018","41.95","42.58","41.79","42.50","42.50","23,591,700","CMCSA"
"22","Jan 18, 2018","41.06","41.94","41.01","41.85","41.85","21,817,300","CMCSA"
"23","Jan 17, 2018","42.05","42.21","41.41","41.68","41.68","17,078,100","CMCSA"
"24","Jan 16, 2018","42.59","42.59","41.75","41.82","41.82","19,018,100","CMCSA"
"25","Jan 12, 2018","42.57","42.71","41.93","42.44","42.44","18,970,000","CMCSA"
"26","Jan 11, 2018","41.20","42.67","41.14","42.60","42.60","36,703,700","CMCSA"
"27","Jan 10, 2018","40.43","41.17","40.16","41.09","41.09","20,198,100","CMCSA"
"28","Jan 09, 2018","40.53","41.03","40.45","40.61","40.61","17,026,000","CMCSA"
"29","Jan 08, 2018","40.77","41.03","40.29","40.48","40.48","15,189,500","CMCSA"
"30","Jan 05, 2018","40.91","41.24","40.41","41.04","41.04","17,007,500","CMCSA"
"31","Jan 04, 2018","40.47","40.72","40.10","40.67","40.67","18,143,800","CMCSA"
"32","Jan 03, 2018","40.75","41.37","40.05","40.41","40.41","21,062,900","CMCSA"
"33","Jan 02, 2018","40.86","41.11","40.05","41.07","41.07","18,270,300","CMCSA"
"34","Jan 02, 2018","0.158 Dividend","0.158 Dividend","0.158 Dividend","0.158 Dividend","0.158 Dividend","0.158 Dividend","CMCSA"
"35","Dec 29, 2017","40.10","40.42","40.05","40.05","39.89","12,231,000","CMCSA"
"36","Dec 28, 2017","40.58","40.58","40.03","40.29","40.13","9,198,000","CMCSA"
"37","Dec 27, 2017","40.84","40.85","40.25","40.41","40.25","12,029,600","CMCSA"
"38","Dec 26, 2017","40.64","41.01","40.63","40.82","40.66","10,478,700","CMCSA"
