"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","98.27","100.27","98.18","99.53","99.53","2,101,500","COF"
"2","Feb 15, 2018","98.29","99.32","97.28","98.67","98.67","2,089,200","COF"
"3","Feb 14, 2018","94.60","97.47","94.60","97.38","97.38","2,506,000","COF"
"4","Feb 13, 2018","94.60","95.51","93.66","95.31","95.31","2,109,200","COF"
"5","Feb 12, 2018","93.16","96.55","92.92","95.19","95.19","2,766,500","COF"
"6","Feb 09, 2018","92.32","93.50","88.75","92.02","92.02","5,557,800","COF"
"7","Feb 09, 2018","0.4 Dividend","0.4 Dividend","0.4 Dividend","0.4 Dividend","0.4 Dividend","0.4 Dividend","COF"
"8","Feb 08, 2018","98.27","98.33","91.60","91.80","91.40","3,962,500","COF"
"9","Feb 07, 2018","97.91","99.63","97.89","98.12","97.69","2,481,300","COF"
"10","Feb 06, 2018","94.83","98.80","93.14","98.44","98.01","3,956,900","COF"
"11","Feb 05, 2018","100.54","102.07","95.58","97.00","96.58","3,056,400","COF"
"12","Feb 02, 2018","104.32","104.88","101.51","101.57","101.13","1,826,600","COF"
"13","Feb 01, 2018","103.77","104.75","103.02","104.72","104.26","1,754,600","COF"
"14","Jan 31, 2018","103.53","104.46","103.38","103.96","103.51","2,231,100","COF"
"15","Jan 30, 2018","104.10","104.91","103.46","103.47","103.02","1,821,800","COF"
"16","Jan 29, 2018","104.54","105.77","104.34","104.60","104.14","2,258,000","COF"
"17","Jan 26, 2018","104.68","104.98","103.65","104.90","104.44","3,036,500","COF"
"18","Jan 25, 2018","105.56","105.90","103.69","104.26","103.81","2,615,700","COF"
"19","Jan 24, 2018","104.25","106.50","104.03","105.26","104.80","4,170,600","COF"
"20","Jan 23, 2018","105.20","105.92","103.87","105.71","105.25","2,904,100","COF"
"21","Jan 22, 2018","104.33","105.54","103.75","105.49","105.03","2,407,000","COF"
"22","Jan 19, 2018","102.70","104.41","102.11","104.38","103.93","2,928,900","COF"
"23","Jan 18, 2018","104.43","104.64","103.13","103.41","102.96","2,637,800","COF"
"24","Jan 17, 2018","105.01","105.54","103.25","104.39","103.94","2,287,300","COF"
"25","Jan 16, 2018","106.00","106.47","103.74","104.42","103.97","2,675,500","COF"
"26","Jan 12, 2018","104.92","106.40","104.56","105.43","104.97","2,298,000","COF"
"27","Jan 11, 2018","103.49","104.46","102.90","104.42","103.97","2,177,700","COF"
"28","Jan 10, 2018","101.69","103.70","101.30","103.14","102.69","2,620,600","COF"
"29","Jan 09, 2018","101.05","101.97","100.64","101.69","101.25","2,164,200","COF"
"30","Jan 08, 2018","101.42","101.45","100.51","100.80","100.36","1,763,400","COF"
"31","Jan 05, 2018","101.58","101.70","100.74","101.43","100.99","2,058,500","COF"
"32","Jan 04, 2018","100.36","102.16","99.69","101.42","100.98","2,149,100","COF"
"33","Jan 03, 2018","99.50","99.78","98.75","99.44","99.01","2,323,700","COF"
"34","Jan 02, 2018","100.08","100.20","98.76","99.61","99.18","1,663,700","COF"
"35","Dec 29, 2017","100.63","100.63","99.56","99.58","99.15","1,119,400","COF"
"36","Dec 28, 2017","100.09","100.58","99.64","100.30","99.86","1,040,900","COF"
"37","Dec 27, 2017","99.63","99.91","99.22","99.75","99.32","1,183,700","COF"
"38","Dec 26, 2017","100.30","100.60","99.27","99.92","99.48","1,170,700","COF"
"39","Dec 22, 2017","100.00","101.43","99.62","100.50","100.06","2,065,500","COF"
"40","Dec 21, 2017","98.80","99.73","98.71","99.52","99.09","1,581,800","COF"
"41","Dec 20, 2017","99.43","99.43","98.31","98.59","98.16","2,031,200","COF"
"42","Dec 19, 2017","99.80","99.89","98.66","98.74","98.31","2,461,400","COF"
"43","Dec 18, 2017","98.00","99.95","97.60","99.31","98.88","3,005,500","COF"
"44","Dec 15, 2017","95.10","97.31","94.85","96.31","95.89","4,266,600","COF"
"45","Dec 14, 2017","95.00","95.46","93.85","94.06","93.65","2,001,500","COF"
"46","Dec 13, 2017","96.25","96.40","94.70","94.72","94.31","1,907,000","COF"
"47","Dec 12, 2017","96.14","96.67","95.89","96.21","95.79","1,828,100","COF"
"48","Dec 11, 2017","96.00","96.09","95.23","95.97","95.55","1,404,300","COF"
"49","Dec 08, 2017","95.50","95.79","94.18","95.79","95.37","1,701,800","COF"
"50","Dec 07, 2017","93.52","95.25","93.32","95.07","94.66","1,745,700","COF"
"51","Dec 06, 2017","93.62","94.19","93.11","93.87","93.46","1,465,600","COF"
"52","Dec 05, 2017","93.76","95.62","93.72","93.91","93.50","2,262,400","COF"
"53","Dec 04, 2017","94.44","96.24","94.16","94.89","94.48","3,425,700","COF"
"54","Dec 01, 2017","92.18","92.77","89.68","92.72","92.32","2,647,700","COF"
"55","Nov 30, 2017","91.67","93.42","91.41","92.00","91.60","3,712,000","COF"
"56","Nov 29, 2017","90.58","92.31","89.73","90.97","90.57","3,229,400","COF"
"57","Nov 28, 2017","87.22","89.85","86.70","89.75","89.36","2,161,700","COF"
"58","Nov 27, 2017","87.33","87.38","86.57","86.87","86.49","1,629,500","COF"
"59","Nov 24, 2017","87.80","87.80","87.24","87.38","87.00","506,400","COF"
"60","Nov 22, 2017","87.98","88.14","87.10","87.26","86.88","1,265,200","COF"
"61","Nov 21, 2017","88.84","89.04","87.58","87.95","87.57","1,298,800","COF"
"62","Nov 20, 2017","87.99","88.46","87.68","88.27","87.89","1,602,200","COF"
"63","Nov 17, 2017","86.93","88.23","86.89","87.83","87.45","1,687,300","COF"
"64","Nov 16, 2017","87.92","88.56","86.94","87.15","86.77","2,017,600","COF"
"65","Nov 15, 2017","85.18","87.96","85.17","87.63","87.25","2,842,800","COF"
"66","Nov 14, 2017","86.43","86.60","85.41","86.00","85.63","3,369,500","COF"
"67","Nov 13, 2017","86.62","87.18","86.01","86.95","86.57","2,370,400","COF"
"68","Nov 10, 2017","87.19","87.53","86.78","87.15","86.77","1,591,700","COF"
"69","Nov 10, 2017","0.4 Dividend","0.4 Dividend","0.4 Dividend","0.4 Dividend","0.4 Dividend","0.4 Dividend","COF"
"70","Nov 09, 2017","88.38","88.62","86.81","88.11","87.33","2,148,000","COF"
"71","Nov 08, 2017","89.80","89.99","88.58","88.97","88.18","2,240,900","COF"
"72","Nov 07, 2017","92.29","92.56","89.96","90.12","89.32","1,846,600","COF"
"73","Nov 06, 2017","91.85","92.37","91.33","92.30","91.48","1,369,900","COF"
"74","Nov 03, 2017","92.09","92.40","91.42","91.60","90.79","2,052,000","COF"
"75","Nov 02, 2017","91.49","92.69","91.00","92.45","91.63","1,337,100","COF"
"76","Nov 01, 2017","92.66","92.99","91.41","91.90","91.08","1,701,800","COF"
"77","Oct 31, 2017","92.63","93.00","92.01","92.18","91.36","2,184,700","COF"
"78","Oct 30, 2017","92.10","93.40","92.10","92.43","91.61","1,847,600","COF"
"79","Oct 27, 2017","92.67","92.98","92.00","92.78","91.96","2,235,500","COF"
"80","Oct 26, 2017","91.00","92.72","90.98","92.52","91.70","3,210,100","COF"
"81","Oct 25, 2017","91.10","92.00","89.97","90.82","90.01","5,992,500","COF"
"82","Oct 24, 2017","89.94","90.00","88.79","89.52","88.73","2,685,200","COF"
"83","Oct 23, 2017","89.61","90.00","89.01","89.72","88.92","2,221,200","COF"
"84","Oct 20, 2017","88.56","89.68","88.40","89.67","88.87","3,763,100","COF"
"85","Oct 19, 2017","85.81","87.50","85.60","87.48","86.70","2,045,100","COF"
"86","Oct 18, 2017","86.33","86.77","85.95","86.66","85.89","1,167,600","COF"
"87","Oct 17, 2017","86.98","86.98","85.91","86.07","85.31","1,450,500","COF"
"88","Oct 16, 2017","85.79","86.87","85.52","86.85","86.08","2,217,300","COF"
"89","Oct 13, 2017","84.30","85.83","83.88","85.36","84.60","1,931,700","COF"
"90","Oct 12, 2017","86.40","86.60","84.50","84.59","83.84","2,795,700","COF"
"91","Oct 11, 2017","87.50","87.50","86.71","86.75","85.98","1,570,400","COF"
"92","Oct 10, 2017","87.35","87.99","87.21","87.30","86.53","1,299,200","COF"
"93","Oct 09, 2017","87.49","87.72","87.06","87.30","86.53","1,436,100","COF"
"94","Oct 06, 2017","87.05","87.22","86.43","87.04","86.27","1,914,800","COF"
"95","Oct 05, 2017","86.46","87.43","86.04","87.09","86.32","1,681,700","COF"
"96","Oct 04, 2017","86.40","86.61","85.97","86.34","85.57","2,034,200","COF"
"97","Oct 03, 2017","85.93","86.39","85.53","86.37","85.60","2,660,000","COF"
"98","Oct 02, 2017","84.98","86.03","84.69","85.92","85.16","3,815,400","COF"
"99","Sep 29, 2017","84.36","84.88","83.80","84.66","83.91","1,978,100","COF"
"100","Sep 28, 2017","83.95","84.45","83.34","84.12","83.37","1,997,800","COF"
"101","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","COF"
