"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","54.39","55.06","54.23","54.65","54.65","4,889,700","COP"
"2","Feb 15, 2018","55.64","55.71","53.76","54.54","54.54","6,190,800","COP"
"3","Feb 14, 2018","52.70","55.86","52.54","55.51","55.51","6,612,400","COP"
"4","Feb 13, 2018","52.93","53.94","52.61","53.32","53.32","5,438,300","COP"
"5","Feb 12, 2018","52.63","53.96","52.55","53.41","53.41","7,035,400","COP"
"6","Feb 09, 2018","53.24","53.60","50.18","52.02","52.02","9,685,600","COP"
"7","Feb 09, 2018","0.285 Dividend","0.285 Dividend","0.285 Dividend","0.285 Dividend","0.285 Dividend","0.285 Dividend","COP"
"8","Feb 08, 2018","55.62","55.83","53.23","53.24","52.96","8,618,400","COP"
"9","Feb 07, 2018","56.06","56.97","55.63","55.63","55.33","7,721,700","COP"
"10","Feb 06, 2018","54.75","56.54","54.42","55.94","55.64","11,013,500","COP"
"11","Feb 05, 2018","57.14","58.47","55.41","55.94","55.64","11,060,300","COP"
"12","Feb 02, 2018","59.17","59.44","57.61","57.72","57.41","8,433,300","COP"
"13","Feb 01, 2018","59.00","59.97","58.15","59.35","59.03","7,011,000","COP"
"14","Jan 31, 2018","58.53","59.24","58.28","58.81","58.50","7,073,700","COP"
"15","Jan 30, 2018","58.94","59.32","58.08","58.46","58.15","6,381,000","COP"
"16","Jan 29, 2018","59.92","60.53","59.56","59.66","59.34","4,167,600","COP"
"17","Jan 26, 2018","59.70","60.52","59.61","60.39","60.07","5,277,700","COP"
"18","Jan 25, 2018","60.75","60.90","59.40","59.48","59.16","5,473,400","COP"
"19","Jan 24, 2018","60.54","61.32","60.45","60.49","60.17","4,992,000","COP"
"20","Jan 23, 2018","60.61","60.70","60.03","60.47","60.15","5,478,800","COP"
"21","Jan 22, 2018","59.86","60.68","59.79","60.67","60.35","5,748,800","COP"
"22","Jan 19, 2018","59.68","59.81","59.27","59.75","59.43","5,037,500","COP"
"23","Jan 18, 2018","59.62","60.06","59.15","59.76","59.44","4,554,800","COP"
"24","Jan 17, 2018","58.97","60.19","58.78","59.86","59.54","5,798,400","COP"
"25","Jan 16, 2018","60.00","60.22","58.80","58.84","58.53","5,458,600","COP"
"26","Jan 12, 2018","59.39","60.24","59.12","60.05","59.73","6,742,100","COP"
"27","Jan 11, 2018","58.17","59.48","57.54","59.18","58.86","7,341,800","COP"
"28","Jan 10, 2018","58.14","58.28","57.56","57.65","57.34","4,627,900","COP"
"29","Jan 09, 2018","57.47","58.32","57.41","57.93","57.62","5,519,700","COP"
"30","Jan 08, 2018","56.76","57.46","56.59","57.46","57.15","4,522,900","COP"
"31","Jan 05, 2018","56.68","56.91","56.18","56.88","56.58","3,771,900","COP"
