"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","191.45","194.62","191.04","191.56","191.56","1,969,300","COST"
"2","Feb 15, 2018","188.09","191.71","186.57","191.48","191.48","2,072,900","COST"
"3","Feb 15, 2018","0.5 Dividend","0.5 Dividend","0.5 Dividend","0.5 Dividend","0.5 Dividend","0.5 Dividend","COST"
"4","Feb 14, 2018","182.71","188.48","182.31","187.35","186.85","2,191,000","COST"
"5","Feb 13, 2018","180.22","184.60","180.05","184.15","183.66","2,123,900","COST"
"6","Feb 12, 2018","181.84","183.26","180.38","181.06","180.58","1,596,200","COST"
"7","Feb 09, 2018","179.78","182.07","175.79","180.72","180.24","2,777,200","COST"
"8","Feb 08, 2018","184.51","184.51","178.53","178.61","178.13","3,013,200","COST"
"9","Feb 07, 2018","184.60","186.19","183.07","183.19","182.70","2,594,800","COST"
"10","Feb 06, 2018","178.91","185.24","176.20","185.01","184.52","4,067,900","COST"
"11","Feb 05, 2018","190.66","192.10","182.53","182.77","182.28","3,407,200","COST"
"12","Feb 02, 2018","191.25","193.60","190.80","190.99","190.48","2,386,600","COST"
"13","Feb 01, 2018","193.41","195.40","192.44","193.47","192.95","2,096,600","COST"
"14","Jan 31, 2018","197.44","198.47","194.10","194.87","194.35","2,682,300","COST"
"15","Jan 30, 2018","197.59","198.79","196.08","197.91","197.38","2,285,000","COST"
"16","Jan 29, 2018","198.37","199.88","197.56","198.32","197.79","2,031,100","COST"
"17","Jan 26, 2018","197.75","199.23","195.69","198.91","198.38","2,756,200","COST"
"18","Jan 25, 2018","195.00","198.45","194.74","197.95","197.42","3,558,700","COST"
"19","Jan 24, 2018","194.43","194.75","191.93","194.24","193.72","2,799,200","COST"
"20","Jan 23, 2018","193.61","194.10","192.07","193.42","192.90","2,316,400","COST"
"21","Jan 22, 2018","192.50","194.76","192.06","194.38","193.86","3,009,100","COST"
"22","Jan 19, 2018","191.71","192.64","191.16","192.29","191.78","2,353,800","COST"
