"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","43.89","45.09","43.79","44.33","44.33","38,609,000","CSCO"
"2","Feb 15, 2018","45.07","45.13","43.26","44.08","44.08","72,267,500","CSCO"
"3","Feb 14, 2018","41.04","42.26","40.99","42.09","42.09","43,835,900","CSCO"
"4","Feb 13, 2018","40.50","41.31","40.22","41.23","41.23","30,999,100","CSCO"
"5","Feb 12, 2018","40.52","40.91","40.23","40.60","40.60","38,210,700","CSCO"
"6","Feb 09, 2018","39.00","39.92","38.23","39.53","39.53","51,304,200","CSCO"
"7","Feb 08, 2018","40.44","40.76","38.72","38.77","38.77","42,982,100","CSCO"
"8","Feb 07, 2018","40.31","41.21","40.03","40.34","40.34","32,690,800","CSCO"
"9","Feb 06, 2018","38.33","40.31","37.35","40.17","40.17","55,171,600","CSCO"
"10","Feb 05, 2018","40.87","41.41","38.72","38.78","38.78","52,399,600","CSCO"
"11","Feb 02, 2018","41.50","41.95","40.87","40.93","40.93","27,224,200","CSCO"
"12","Feb 01, 2018","41.09","42.11","40.67","41.70","41.70","26,148,500","CSCO"
"13","Jan 31, 2018","41.98","42.01","41.35","41.54","41.54","36,512,100","CSCO"
"14","Jan 30, 2018","42.69","42.86","41.97","42.25","42.25","28,993,900","CSCO"
"15","Jan 29, 2018","42.30","42.98","42.30","42.85","42.85","23,625,900","CSCO"
"16","Jan 26, 2018","42.15","42.56","41.95","42.56","42.56","23,380,400","CSCO"
"17","Jan 25, 2018","42.27","42.47","41.82","41.90","41.90","19,207,500","CSCO"
"18","Jan 24, 2018","42.20","42.69","42.01","42.17","42.17","26,696,200","CSCO"
"19","Jan 23, 2018","41.54","42.13","41.54","42.10","42.10","23,984,500","CSCO"
"20","Jan 22, 2018","41.20","41.66","41.02","41.66","41.66","22,995,100","CSCO"
"21","Jan 19, 2018","41.28","41.52","41.10","41.29","41.29","24,582,000","CSCO"
"22","Jan 18, 2018","41.24","41.48","41.03","41.30","41.30","19,610,200","CSCO"
"23","Jan 17, 2018","40.84","41.32","40.71","41.20","41.20","24,427,100","CSCO"
"24","Jan 16, 2018","40.90","41.16","40.32","40.54","40.54","32,845,000","CSCO"
"25","Jan 12, 2018","40.22","40.93","40.05","40.87","40.87","23,770,500","CSCO"
"26","Jan 11, 2018","40.14","40.21","39.75","40.10","40.10","21,685,600","CSCO"
"27","Jan 10, 2018","39.65","40.24","39.63","39.91","39.91","19,473,000","CSCO"
"28","Jan 09, 2018","39.79","39.96","39.54","39.69","39.69","21,449,800","CSCO"
"29","Jan 08, 2018","39.52","39.96","39.35","39.94","39.94","16,582,000","CSCO"
"30","Jan 05, 2018","39.55","39.88","39.37","39.53","39.53","24,588,200","CSCO"
"31","Jan 04, 2018","39.05","39.54","38.93","38.99","38.99","20,731,400","CSCO"
"32","Jan 04, 2018","0.29 Dividend","0.29 Dividend","0.29 Dividend","0.29 Dividend","0.29 Dividend","0.29 Dividend","CSCO"
"33","Jan 03, 2018","38.72","39.28","38.53","39.17","38.88","29,536,000","CSCO"
"34","Jan 02, 2018","38.67","38.95","38.43","38.86","38.57","20,135,700","CSCO"
"35","Dec 29, 2017","38.41","38.62","38.30","38.30","38.02","12,583,600","CSCO"
"36","Dec 28, 2017","38.73","38.73","38.45","38.59","38.30","8,807,700","CSCO"
"37","Dec 27, 2017","38.54","38.65","38.45","38.56","38.27","10,543,000","CSCO"
"38","Dec 26, 2017","38.55","38.68","38.36","38.48","38.20","8,186,100","CSCO"
"39","Dec 22, 2017","38.52","38.74","38.47","38.55","38.26","11,441,600","CSCO"
"40","Dec 21, 2017","38.88","38.99","38.49","38.53","38.24","16,387,500","CSCO"
"41","Dec 20, 2017","38.49","38.80","38.21","38.74","38.45","18,939,500","CSCO"
"42","Dec 19, 2017","38.66","38.86","38.28","38.30","38.02","19,695,200","CSCO"
"43","Dec 18, 2017","38.48","38.89","38.30","38.48","38.20","21,591,400","CSCO"
"44","Dec 15, 2017","38.01","38.28","37.70","38.19","37.91","47,167,700","CSCO"
"45","Dec 14, 2017","38.20","38.27","37.85","37.90","37.62","16,738,300","CSCO"
"46","Dec 13, 2017","38.09","38.37","38.00","38.15","37.87","20,199,500","CSCO"
"47","Dec 12, 2017","37.79","38.10","37.56","37.91","37.63","16,658,600","CSCO"
"48","Dec 11, 2017","37.59","38.04","37.57","37.96","37.68","16,749,500","CSCO"
"49","Dec 08, 2017","37.59","37.69","37.42","37.61","37.33","14,044,400","CSCO"
"50","Dec 07, 2017","37.26","37.78","37.26","37.40","37.12","17,092,000","CSCO"
"51","Dec 06, 2017","37.37","37.72","37.25","37.41","37.13","16,581,800","CSCO"
"52","Dec 05, 2017","37.74","37.82","37.17","37.31","37.03","23,288,200","CSCO"
"53","Dec 04, 2017","37.81","37.99","37.54","37.72","37.44","29,414,400","CSCO"
"54","Dec 01, 2017","37.09","37.66","36.73","37.60","37.32","26,920,900","CSCO"
"55","Nov 30, 2017","37.62","37.80","37.30","37.30","37.02","30,749,500","CSCO"
"56","Nov 29, 2017","37.75","38.03","37.23","37.48","37.20","36,788,600","CSCO"
"57","Nov 28, 2017","37.00","37.80","36.98","37.73","37.45","30,966,600","CSCO"
"58","Nov 27, 2017","36.51","37.09","36.50","36.87","36.60","20,942,200","CSCO"
"59","Nov 24, 2017","36.41","36.57","36.32","36.49","36.22","6,155,800","CSCO"
"60","Nov 22, 2017","36.70","36.72","36.36","36.45","36.18","17,226,400","CSCO"
"61","Nov 21, 2017","36.75","36.97","36.58","36.65","36.38","24,146,400","CSCO"
"62","Nov 20, 2017","35.93","36.54","35.93","36.50","36.23","26,897,800","CSCO"
"63","Nov 17, 2017","35.90","36.32","35.81","35.90","35.63","27,988,000","CSCO"
"64","Nov 16, 2017","36.04","36.67","35.83","35.88","35.61","61,177,100","CSCO"
"65","Nov 15, 2017","33.97","34.31","33.75","34.11","33.86","30,829,600","CSCO"
"66","Nov 14, 2017","33.86","34.16","33.80","34.04","33.79","17,468,500","CSCO"
"67","Nov 13, 2017","33.86","34.21","33.83","33.95","33.70","16,441,500","CSCO"
"68","Nov 10, 2017","34.06","34.09","33.67","33.99","33.74","19,319,400","CSCO"
"69","Nov 09, 2017","34.29","34.32","33.87","34.05","33.80","16,785,000","CSCO"
"70","Nov 08, 2017","34.31","34.50","34.12","34.50","34.24","13,061,300","CSCO"
