"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","70.37","72.21","70.32","71.90","71.90","6,443,800","CVS"
"2","Feb 15, 2018","70.59","70.94","69.09","70.49","70.49","6,770,200","CVS"
"3","Feb 14, 2018","69.66","70.22","69.56","69.79","69.79","6,577,000","CVS"
"4","Feb 13, 2018","69.71","71.22","69.60","70.11","70.11","8,796,200","CVS"
"5","Feb 12, 2018","70.09","70.64","69.50","69.87","69.87","8,943,800","CVS"
"6","Feb 09, 2018","71.01","71.35","67.31","69.39","69.39","16,718,500","CVS"
"7","Feb 08, 2018","74.00","75.34","70.50","70.55","70.55","11,725,200","CVS"
"8","Feb 07, 2018","73.84","75.56","73.57","74.35","74.35","9,611,100","CVS"
"9","Feb 06, 2018","72.50","74.65","71.77","74.02","74.02","11,241,200","CVS"
"10","Feb 05, 2018","75.31","76.40","73.29","73.32","73.32","12,199,500","CVS"
"11","Feb 02, 2018","78.36","78.54","75.58","76.45","76.45","10,395,600","CVS"
"12","Feb 01, 2018","78.30","79.20","77.60","78.79","78.79","9,150,000","CVS"
"13","Jan 31, 2018","80.60","81.27","78.04","78.69","78.69","12,472,400","CVS"
"14","Jan 30, 2018","78.49","80.94","78.18","80.19","80.19","16,517,900","CVS"
"15","Jan 29, 2018","82.00","83.88","81.75","83.63","83.63","8,372,900","CVS"
"16","Jan 26, 2018","81.64","82.01","80.92","82.01","82.01","5,883,300","CVS"
"17","Jan 25, 2018","81.30","81.99","80.76","81.58","81.58","6,357,400","CVS"
"18","Jan 24, 2018","80.76","81.19","80.35","80.92","80.92","7,308,500","CVS"
"19","Jan 23, 2018","80.48","80.70","79.70","80.44","80.44","5,780,600","CVS"
"20","Jan 23, 2018","0.5 Dividend","0.5 Dividend","0.5 Dividend","0.5 Dividend","0.5 Dividend","0.5 Dividend","CVS"
"21","Jan 22, 2018","80.09","80.98","79.93","80.95","80.45","7,016,200","CVS"
"22","Jan 19, 2018","79.58","80.04","79.11","79.86","79.37","7,963,600","CVS"
"23","Jan 18, 2018","79.92","80.69","79.26","79.35","78.86","8,065,800","CVS"
"24","Jan 17, 2018","79.60","79.97","78.93","79.50","79.01","7,448,700","CVS"
"25","Jan 16, 2018","78.83","80.15","78.83","79.44","78.95","8,437,300","CVS"
"26","Jan 12, 2018","78.92","79.68","78.51","78.78","78.29","7,098,200","CVS"
"27","Jan 11, 2018","78.01","79.06","77.68","79.02","78.53","7,158,200","CVS"
"28","Jan 10, 2018","77.16","77.63","76.60","77.44","76.96","8,772,200","CVS"
"29","Jan 09, 2018","77.98","78.33","77.44","77.69","77.21","7,778,400","CVS"
"30","Jan 08, 2018","78.32","78.78","77.15","77.77","77.29","9,589,200","CVS"
"31","Jan 05, 2018","76.31","78.56","76.14","78.45","77.97","15,338,100","CVS"
"32","Jan 04, 2018","75.19","76.67","74.68","75.13","74.67","13,715,500","CVS"
"33","Jan 03, 2018","73.73","73.90","73.06","73.20","72.75","6,139,500","CVS"
"34","Jan 02, 2018","73.06","74.03","72.87","73.52","73.07","5,878,300","CVS"
"35","Dec 29, 2017","72.96","73.10","72.44","72.50","72.05","4,757,500","CVS"
"36","Dec 28, 2017","72.87","73.23","72.47","73.05","72.60","4,196,600","CVS"
"37","Dec 27, 2017","73.81","73.90","72.65","72.76","72.31","5,248,600","CVS"
"38","Dec 26, 2017","73.50","74.00","72.76","73.68","73.22","4,801,700","CVS"
"39","Dec 22, 2017","74.61","74.72","73.30","73.41","72.96","5,282,400","CVS"
"40","Dec 21, 2017","73.51","75.87","73.39","74.64","74.18","10,518,500","CVS"
"41","Dec 20, 2017","72.65","74.18","72.61","73.56","73.11","10,571,600","CVS"
"42","Dec 19, 2017","71.65","72.98","71.60","72.31","71.86","11,825,600","CVS"
"43","Dec 18, 2017","73.17","73.39","71.65","71.67","71.23","12,709,300","CVS"
"44","Dec 15, 2017","71.33","73.68","70.76","73.08","72.63","14,334,100","CVS"
"45","Dec 14, 2017","71.63","71.89","70.47","70.80","70.36","8,214,300","CVS"
"46","Dec 13, 2017","72.77","72.90","71.00","71.62","71.18","9,940,400","CVS"
"47","Dec 12, 2017","72.85","73.19","72.17","72.85","72.40","8,233,100","CVS"
"48","Dec 11, 2017","72.91","73.60","72.56","73.08","72.63","6,687,000","CVS"
"49","Dec 08, 2017","73.09","73.80","70.89","73.09","72.64","12,510,500","CVS"
"50","Dec 07, 2017","71.13","71.33","69.52","71.09","70.65","12,365,800","CVS"
"51","Dec 06, 2017","70.62","71.57","70.20","71.38","70.94","12,371,700","CVS"
"52","Dec 05, 2017","71.92","72.15","70.50","71.01","70.57","15,424,000","CVS"
"53","Dec 04, 2017","72.95","73.28","70.19","71.69","71.25","40,464,600","CVS"
"54","Dec 01, 2017","75.62","76.59","73.63","75.12","74.66","10,586,500","CVS"
"55","Nov 30, 2017","73.69","77.79","73.55","76.60","76.13","20,281,300","CVS"
"56","Nov 29, 2017","72.76","74.68","72.75","73.40","72.95","7,329,900","CVS"
"57","Nov 28, 2017","70.64","72.71","70.00","72.70","72.25","8,348,500","CVS"
"58","Nov 27, 2017","70.62","70.94","70.21","70.40","69.97","6,146,300","CVS"
"59","Nov 24, 2017","71.89","71.93","70.50","70.55","70.11","2,992,900","CVS"
"60","Nov 22, 2017","71.39","72.07","71.20","71.48","71.04","5,315,400","CVS"
"61","Nov 21, 2017","70.68","71.63","70.53","71.50","71.06","9,609,100","CVS"
"62","Nov 20, 2017","70.58","71.00","69.77","70.38","69.95","8,490,300","CVS"
"63","Nov 17, 2017","70.25","71.03","70.00","70.68","70.24","5,382,200","CVS"
"64","Nov 16, 2017","70.10","71.05","69.55","70.26","69.83","6,447,600","CVS"
"65","Nov 15, 2017","70.00","70.38","69.40","69.80","69.37","5,333,900","CVS"
"66","Nov 14, 2017","71.15","71.44","69.91","70.44","70.00","5,964,000","CVS"
"67","Nov 13, 2017","71.18","74.00","70.29","71.48","71.04","9,874,900","CVS"
"68","Nov 10, 2017","69.63","71.51","69.19","70.99","70.55","10,300,000","CVS"
"69","Nov 09, 2017","69.20","69.43","68.46","69.02","68.59","6,992,100","CVS"
"70","Nov 08, 2017","68.91","69.09","68.40","68.99","68.56","8,661,700","CVS"
"71","Nov 07, 2017","66.86","69.42","66.68","68.95","68.52","12,134,800","CVS"
"72","Nov 06, 2017","68.23","69.82","66.45","66.80","66.39","14,183,100","CVS"
"73","Nov 03, 2017","69.30","69.67","68.12","69.25","68.82","9,901,200","CVS"
"74","Nov 02, 2017","69.14","69.92","69.11","69.38","68.95","5,378,500","CVS"
"75","Nov 01, 2017","68.82","69.53","68.19","69.00","68.57","8,433,800","CVS"
"76","Oct 31, 2017","68.36","69.34","68.36","68.53","68.11","7,199,300","CVS"
"77","Oct 30, 2017","68.77","69.66","68.01","68.45","68.03","10,400,900","CVS"
"78","Oct 27, 2017","73.89","74.99","68.16","68.99","68.56","32,616,300","CVS"
"79","Oct 26, 2017","75.79","76.47","70.78","73.31","72.86","21,982,500","CVS"
"80","Oct 25, 2017","76.48","76.62","74.48","75.53","75.06","6,648,700","CVS"
"81","Oct 24, 2017","76.17","76.43","75.40","76.01","75.54","5,940,200","CVS"
"82","Oct 23, 2017","76.03","76.48","75.79","75.91","75.44","7,487,100","CVS"
"83","Oct 23, 2017","0.5 Dividend","0.5 Dividend","0.5 Dividend","0.5 Dividend","0.5 Dividend","0.5 Dividend","CVS"
"84","Oct 20, 2017","74.98","76.50","74.52","76.49","75.52","9,144,900","CVS"
"85","Oct 19, 2017","74.26","75.20","74.20","74.63","73.68","8,056,700","CVS"
"86","Oct 18, 2017","72.88","74.56","72.28","74.10","73.16","10,479,600","CVS"
"87","Oct 17, 2017","72.41","72.91","72.12","72.63","71.71","6,068,700","CVS"
"88","Oct 16, 2017","72.50","73.40","72.12","72.44","71.52","5,916,900","CVS"
"89","Oct 13, 2017","74.11","74.20","72.52","72.60","71.68","6,716,300","CVS"
"90","Oct 12, 2017","73.90","74.57","73.51","73.78","72.84","6,176,400","CVS"
"91","Oct 11, 2017","74.71","74.97","73.78","73.90","72.96","7,087,400","CVS"
"92","Oct 10, 2017","74.29","75.43","73.30","74.71","73.76","10,715,900","CVS"
"93","Oct 09, 2017","77.05","77.22","73.76","74.30","73.36","13,362,400","CVS"
"94","Oct 06, 2017","80.39","80.47","76.54","76.92","75.95","11,795,600","CVS"
"95","Oct 05, 2017","80.10","80.94","80.05","80.90","79.87","6,090,800","CVS"
"96","Oct 04, 2017","80.90","80.96","79.93","80.07","79.06","4,356,800","CVS"
"97","Oct 03, 2017","80.52","81.31","80.52","80.91","79.88","6,732,600","CVS"
"98","Oct 02, 2017","81.35","81.61","80.60","80.77","79.75","4,688,500","CVS"
"99","Sep 29, 2017","81.39","81.68","80.81","81.32","80.29","4,118,100","CVS"
"100","Sep 28, 2017","81.26","81.48","80.73","81.26","80.23","3,442,200","CVS"
"101","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","CVS"
