"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","112.35","112.94","111.21","112.14","112.14","5,933,200","CVX"
"2","Feb 15, 2018","112.86","113.02","110.84","112.53","112.53","5,405,000","CVX"
"3","Feb 15, 2018","1.12 Dividend","1.12 Dividend","1.12 Dividend","1.12 Dividend","1.12 Dividend","1.12 Dividend","CVX"
"4","Feb 14, 2018","112.50","114.05","111.40","113.63","112.51","7,031,900","CVX"
"5","Feb 13, 2018","113.34","113.61","111.86","113.29","112.17","7,065,900","CVX"
"6","Feb 12, 2018","114.80","115.85","112.91","113.98","112.86","8,358,200","CVX"
"7","Feb 09, 2018","113.34","114.62","109.50","113.50","112.38","10,922,400","CVX"
"8","Feb 08, 2018","115.17","115.89","112.21","112.30","111.19","9,927,500","CVX"
"9","Feb 07, 2018","117.40","119.27","115.23","115.29","114.15","11,535,700","CVX"
"10","Feb 06, 2018","111.20","117.63","110.76","117.18","116.03","18,416,300","CVX"
"11","Feb 05, 2018","116.99","118.30","108.02","112.62","111.51","15,414,700","CVX"
"12","Feb 02, 2018","123.95","123.95","117.64","118.58","117.41","13,182,600","CVX"
"13","Feb 01, 2018","125.60","125.63","124.06","125.57","124.33","7,844,500","CVX"
"14","Jan 31, 2018","125.42","125.82","124.05","125.35","124.11","9,626,800","CVX"
"15","Jan 30, 2018","127.61","128.01","125.19","125.23","124.00","8,084,000","CVX"
"16","Jan 29, 2018","130.06","131.58","128.32","128.48","127.21","6,350,700","CVX"
"17","Jan 26, 2018","130.71","131.75","130.37","131.19","129.90","6,310,500","CVX"
"18","Jan 25, 2018","131.76","131.87","130.34","130.65","129.36","4,597,200","CVX"
"19","Jan 24, 2018","131.38","132.67","131.07","131.39","130.09","6,868,200","CVX"
"20","Jan 23, 2018","132.38","132.56","130.73","131.02","129.73","5,747,300","CVX"
"21","Jan 22, 2018","131.30","132.56","131.28","132.56","131.25","5,248,800","CVX"
"22","Jan 19, 2018","131.83","132.00","130.21","131.30","130.01","6,048,900","CVX"
"23","Jan 18, 2018","132.35","132.50","131.03","131.59","130.29","5,890,000","CVX"
"24","Jan 17, 2018","132.19","132.80","130.96","132.36","131.06","5,632,700","CVX"
"25","Jan 16, 2018","133.67","133.88","131.60","132.01","130.71","6,254,200","CVX"
"26","Jan 12, 2018","132.19","133.85","132.11","133.60","132.28","7,232,900","CVX"
"27","Jan 11, 2018","128.92","133.32","128.76","132.57","131.26","11,641,300","CVX"
"28","Jan 10, 2018","128.31","128.76","127.80","128.66","127.39","5,292,200","CVX"
"29","Jan 09, 2018","128.43","128.94","127.79","127.84","126.58","4,422,300","CVX"
"30","Jan 08, 2018","127.86","128.63","127.63","128.53","127.26","4,826,100","CVX"
"31","Jan 05, 2018","127.97","128.10","127.10","127.90","126.64","4,189,200","CVX"
"32","Jan 04, 2018","127.95","128.35","127.22","128.11","126.85","4,598,300","CVX"
