"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","97.34","98.42","96.82","97.54","97.54","1,855,200","DHR"
"2","Feb 15, 2018","96.99","97.78","96.38","97.47","97.47","1,896,600","DHR"
"3","Feb 14, 2018","94.39","96.17","94.12","96.10","96.10","1,504,900","DHR"
"4","Feb 13, 2018","94.73","95.45","94.04","94.98","94.98","2,012,600","DHR"
"5","Feb 12, 2018","95.13","95.89","94.60","95.41","95.41","2,247,600","DHR"
"6","Feb 09, 2018","93.30","95.28","91.84","94.46","94.46","3,693,600","DHR"
"7","Feb 08, 2018","95.40","95.55","92.14","92.16","92.16","3,443,100","DHR"
"8","Feb 07, 2018","96.38","96.97","94.75","95.25","95.25","5,337,000","DHR"
"9","Feb 06, 2018","95.30","98.58","94.75","97.05","97.05","6,693,900","DHR"
"10","Feb 05, 2018","101.45","101.85","96.29","96.70","96.70","4,813,100","DHR"
"11","Feb 02, 2018","101.27","102.53","101.27","102.18","102.18","4,556,900","DHR"
"12","Feb 01, 2018","100.92","102.19","100.50","101.86","101.86","2,289,200","DHR"
"13","Jan 31, 2018","101.91","102.57","100.85","101.28","101.28","3,308,900","DHR"
"14","Jan 30, 2018","102.64","104.82","101.13","101.60","101.60","3,888,500","DHR"
"15","Jan 29, 2018","103.61","104.22","103.30","103.69","103.69","2,580,500","DHR"
"16","Jan 26, 2018","102.98","103.82","102.78","103.80","103.80","2,433,400","DHR"
"17","Jan 25, 2018","101.75","103.01","101.43","102.70","102.70","2,134,000","DHR"
"18","Jan 24, 2018","100.30","101.70","100.08","101.38","101.38","2,223,600","DHR"
"19","Jan 23, 2018","100.17","100.37","99.69","99.95","99.95","2,383,500","DHR"
"20","Jan 22, 2018","100.48","100.71","99.67","99.97","99.97","2,163,200","DHR"
"21","Jan 19, 2018","100.20","100.88","100.04","100.56","100.56","2,872,600","DHR"
"22","Jan 18, 2018","99.54","100.07","99.11","99.74","99.74","1,316,600","DHR"
"23","Jan 17, 2018","100.05","100.18","99.08","99.59","99.59","2,542,400","DHR"
"24","Jan 16, 2018","99.88","100.27","99.14","99.47","99.47","2,226,800","DHR"
"25","Jan 12, 2018","98.64","99.66","98.63","99.39","99.39","1,894,500","DHR"
"26","Jan 11, 2018","98.49","98.70","97.78","98.59","98.59","2,026,100","DHR"
"27","Jan 10, 2018","98.02","98.54","97.22","98.24","98.24","2,464,600","DHR"
"28","Jan 09, 2018","96.52","98.88","96.52","98.61","98.61","4,359,200","DHR"
"29","Jan 08, 2018","94.62","95.31","94.29","95.25","95.25","1,807,200","DHR"
"30","Jan 05, 2018","94.51","94.99","94.34","94.71","94.71","1,880,700","DHR"
"31","Jan 04, 2018","94.12","94.91","94.02","94.12","94.12","2,125,200","DHR"
"32","Jan 03, 2018","92.24","93.91","92.22","93.67","93.67","2,474,500","DHR"
"33","Jan 02, 2018","93.18","93.49","92.18","92.44","92.44","3,623,800","DHR"
"34","Dec 29, 2017","93.92","94.03","92.80","92.82","92.82","1,844,800","DHR"
"35","Dec 28, 2017","93.65","93.79","93.08","93.56","93.56","750,900","DHR"
"36","Dec 28, 2017","0.14 Dividend","0.14 Dividend","0.14 Dividend","0.14 Dividend","0.14 Dividend","0.14 Dividend","DHR"
"37","Dec 27, 2017","93.17","93.74","92.80","93.56","93.42","1,053,000","DHR"
"38","Dec 26, 2017","93.32","93.77","93.25","93.32","93.18","592,800","DHR"
"39","Dec 22, 2017","93.73","94.07","93.41","93.46","93.32","2,613,000","DHR"
"40","Dec 21, 2017","94.72","95.01","93.77","93.82","93.68","2,193,200","DHR"
"41","Dec 20, 2017","94.47","95.16","94.34","94.62","94.48","2,979,700","DHR"
"42","Dec 19, 2017","94.44","94.74","94.05","94.38","94.24","1,878,300","DHR"
"43","Dec 18, 2017","94.24","94.84","94.09","94.36","94.22","2,960,700","DHR"
"44","Dec 15, 2017","93.23","94.34","93.23","94.00","93.86","5,071,100","DHR"
"45","Dec 14, 2017","94.38","94.38","92.52","92.85","92.71","2,869,900","DHR"
"46","Dec 13, 2017","93.80","94.36","93.61","94.15","94.01","2,377,200","DHR"
"47","Dec 12, 2017","93.32","93.95","93.02","93.72","93.58","2,153,400","DHR"
"48","Dec 11, 2017","93.08","93.27","92.59","93.21","93.07","1,813,900","DHR"
"49","Dec 08, 2017","92.93","93.36","92.69","93.18","93.04","1,538,100","DHR"
"50","Dec 07, 2017","92.53","93.17","92.04","92.68","92.54","1,787,800","DHR"
"51","Dec 06, 2017","92.85","92.95","92.16","92.53","92.39","2,038,400","DHR"
"52","Dec 05, 2017","93.18","93.23","92.57","92.74","92.60","2,376,900","DHR"
"53","Dec 04, 2017","94.21","94.49","92.62","92.82","92.68","2,773,400","DHR"
"54","Dec 01, 2017","94.49","94.53","92.82","93.82","93.68","2,311,100","DHR"
"55","Nov 30, 2017","94.25","94.82","93.84","94.36","94.22","2,186,200","DHR"
"56","Nov 29, 2017","94.45","94.46","93.44","93.94","93.80","1,989,800","DHR"
"57","Nov 28, 2017","94.18","94.66","93.88","94.32","94.18","2,740,200","DHR"
"58","Nov 27, 2017","94.19","94.28","93.83","94.05","93.91","1,398,400","DHR"
"59","Nov 24, 2017","94.01","94.18","93.61","94.02","93.88","896,600","DHR"
"60","Nov 22, 2017","94.20","94.24","93.31","93.76","93.62","1,580,200","DHR"
"61","Nov 21, 2017","94.00","94.22","93.75","94.18","94.04","1,577,700","DHR"
"62","Nov 20, 2017","93.30","93.81","93.03","93.68","93.54","1,281,400","DHR"
"63","Nov 17, 2017","93.12","93.64","92.80","93.30","93.16","1,510,500","DHR"
"64","Nov 16, 2017","92.60","93.86","92.32","93.58","93.44","1,554,000","DHR"
"65","Nov 15, 2017","93.07","93.13","92.42","92.42","92.28","1,844,100","DHR"
"66","Nov 14, 2017","92.81","93.31","92.48","93.19","93.05","1,974,800","DHR"
"67","Nov 13, 2017","92.15","93.38","91.84","93.33","93.19","2,041,000","DHR"
"68","Nov 10, 2017","92.81","92.91","91.65","92.24","92.10","2,361,600","DHR"
"69","Nov 09, 2017","93.22","93.27","92.19","92.98","92.84","2,420,800","DHR"
"70","Nov 08, 2017","92.92","93.36","92.77","93.24","93.10","2,001,500","DHR"
"71","Nov 07, 2017","92.74","93.29","92.59","93.20","93.06","1,270,000","DHR"
"72","Nov 06, 2017","93.12","93.12","92.37","92.62","92.48","1,806,800","DHR"
"73","Nov 03, 2017","92.58","93.16","92.22","93.13","92.99","1,778,800","DHR"
"74","Nov 02, 2017","92.84","93.14","92.35","92.71","92.57","1,949,000","DHR"
"75","Nov 01, 2017","92.37","93.13","92.09","92.91","92.77","2,878,900","DHR"
"76","Oct 31, 2017","91.73","92.47","91.67","92.27","92.13","2,857,800","DHR"
"77","Oct 30, 2017","91.97","92.20","91.50","91.81","91.67","2,321,000","DHR"
"78","Oct 27, 2017","91.42","92.26","91.41","92.25","92.11","2,875,400","DHR"
"79","Oct 26, 2017","90.70","91.63","90.34","91.46","91.32","2,691,900","DHR"
"80","Oct 25, 2017","90.86","90.97","90.13","90.65","90.51","2,797,400","DHR"
"81","Oct 24, 2017","90.83","91.23","90.21","90.95","90.81","3,515,700","DHR"
"82","Oct 23, 2017","91.23","91.72","90.41","90.47","90.33","2,906,700","DHR"
"83","Oct 20, 2017","90.05","91.33","90.05","90.79","90.65","4,113,500","DHR"
"84","Oct 19, 2017","89.83","91.64","89.00","90.10","89.97","8,927,300","DHR"
"85","Oct 18, 2017","85.39","86.18","85.10","86.05","85.92","3,369,300","DHR"
"86","Oct 17, 2017","85.45","85.95","83.81","85.26","85.13","4,838,000","DHR"
