"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","105.19","107.35","105.19","106.53","106.53","8,735,300","DIS"
"2","Feb 15, 2018","105.36","105.57","103.93","105.18","105.18","6,494,700","DIS"
"3","Feb 14, 2018","103.49","104.76","102.69","104.60","104.60","7,425,700","DIS"
"4","Feb 13, 2018","102.64","104.31","102.40","104.12","104.12","8,447,900","DIS"
"5","Feb 12, 2018","103.93","104.64","102.10","103.39","103.39","9,584,700","DIS"
"6","Feb 09, 2018","102.55","103.75","100.26","103.09","103.09","12,479,700","DIS"
"7","Feb 08, 2018","105.47","105.82","101.19","101.35","101.35","12,667,500","DIS"
"8","Feb 07, 2018","107.83","108.03","104.41","104.76","104.76","12,445,000","DIS"
"9","Feb 06, 2018","102.88","106.20","101.76","106.17","106.17","17,765,100","DIS"
"10","Feb 05, 2018","107.10","108.63","104.01","104.70","104.70","15,107,900","DIS"
"11","Feb 02, 2018","109.95","110.58","108.45","108.70","108.70","9,947,700","DIS"
"12","Feb 01, 2018","108.62","110.65","107.36","110.49","110.49","9,518,900","DIS"
"13","Jan 31, 2018","110.08","110.12","108.47","108.67","108.67","9,841,400","DIS"
"14","Jan 30, 2018","111.42","112.42","110.10","110.11","110.11","8,393,900","DIS"
"15","Jan 29, 2018","112.10","112.45","111.24","111.54","111.54","6,847,800","DIS"
"16","Jan 26, 2018","110.81","112.53","110.67","112.19","112.19","7,743,800","DIS"
"17","Jan 25, 2018","110.60","111.82","110.12","110.55","110.55","6,291,000","DIS"
"18","Jan 24, 2018","110.96","111.43","110.29","110.50","110.50","7,211,800","DIS"
"19","Jan 23, 2018","110.27","111.14","109.89","110.41","110.41","7,477,300","DIS"
"20","Jan 22, 2018","110.27","111.56","110.06","111.10","111.10","8,073,600","DIS"
"21","Jan 19, 2018","110.97","111.09","109.84","110.59","110.59","10,514,300","DIS"
"22","Jan 18, 2018","111.74","111.99","110.20","110.42","110.42","8,070,900","DIS"
"23","Jan 17, 2018","111.20","112.21","110.57","111.97","111.97","7,030,700","DIS"
"24","Jan 16, 2018","113.07","113.16","110.62","110.69","110.69","8,069,200","DIS"
"25","Jan 12, 2018","111.32","112.72","111.00","112.47","112.47","5,899,900","DIS"
"26","Jan 11, 2018","110.25","111.08","109.51","110.99","110.99","6,427,000","DIS"
"27","Jan 10, 2018","109.96","110.50","109.01","109.47","109.47","6,060,000","DIS"
"28","Jan 09, 2018","110.13","110.86","109.86","109.94","109.94","5,838,000","DIS"
"29","Jan 08, 2018","110.89","111.28","109.54","110.02","110.02","8,052,600","DIS"
"30","Jan 05, 2018","112.68","112.68","111.24","111.62","111.62","6,008,300","DIS"
"31","Jan 04, 2018","112.95","113.00","111.63","112.23","112.23","7,417,400","DIS"
"32","Jan 03, 2018","112.19","113.19","111.45","112.28","112.28","9,237,900","DIS"
"33","Jan 02, 2018","108.95","111.81","108.56","111.80","111.80","11,014,300","DIS"
"34","Dec 29, 2017","108.05","108.34","107.51","107.51","107.51","4,538,400","DIS"
"35","Dec 28, 2017","108.00","108.05","107.06","107.77","107.77","3,477,700","DIS"
"36","Dec 27, 2017","108.42","108.55","107.46","107.64","107.64","5,624,000","DIS"
"37","Dec 26, 2017","108.49","109.37","107.89","108.12","108.12","3,982,400","DIS"
"38","Dec 22, 2017","109.49","109.69","108.45","108.67","108.67","7,378,400","DIS"
"39","Dec 21, 2017","109.72","111.09","109.19","109.57","109.57","9,372,800","DIS"
"40","Dec 20, 2017","111.62","112.30","109.69","109.69","109.69","8,661,100","DIS"
"41","Dec 19, 2017","111.33","112.39","110.77","111.81","111.81","10,546,600","DIS"
"42","Dec 18, 2017","111.84","111.99","110.31","111.03","111.03","12,270,000","DIS"
"43","Dec 15, 2017","111.98","112.00","110.60","111.27","111.27","19,978,600","DIS"
"44","Dec 14, 2017","107.29","111.54","107.20","110.57","110.57","27,571,300","DIS"
"45","Dec 13, 2017","108.15","108.19","106.75","107.61","107.61","10,368,300","DIS"
"46","Dec 12, 2017","107.14","107.83","106.59","107.43","107.43","8,147,000","DIS"
"47","Dec 11, 2017","104.87","106.84","104.77","106.83","106.83","7,434,000","DIS"
"48","Dec 08, 2017","104.91","104.98","104.08","104.23","104.23","6,536,600","DIS"
"49","Dec 08, 2017","0.84 Dividend","0.84 Dividend","0.84 Dividend","0.84 Dividend","0.84 Dividend","0.84 Dividend","DIS"
"50","Dec 07, 2017","105.74","106.00","104.49","105.26","104.42","9,948,600","DIS"
"51","Dec 06, 2017","107.17","107.99","105.36","105.46","104.62","8,121,700","DIS"
"52","Dec 05, 2017","109.53","110.04","106.52","107.22","106.36","13,055,600","DIS"
"53","Dec 04, 2017","106.50","112.67","106.50","110.22","109.34","17,824,000","DIS"
"54","Dec 01, 2017","104.58","105.85","103.87","105.25","104.41","9,258,400","DIS"
"55","Nov 30, 2017","105.36","105.71","104.47","104.82","103.98","9,949,000","DIS"
"56","Nov 29, 2017","103.50","106.26","103.43","105.24","104.40","14,503,100","DIS"
"57","Nov 28, 2017","102.56","103.88","102.17","103.41","102.58","8,401,100","DIS"
"58","Nov 27, 2017","102.63","102.97","102.38","102.79","101.97","4,007,500","DIS"
"59","Nov 24, 2017","102.91","102.92","102.45","102.64","101.82","2,217,600","DIS"
"60","Nov 22, 2017","103.22","103.32","102.69","102.74","101.92","4,140,700","DIS"
"61","Nov 21, 2017","102.97","103.17","102.79","103.00","102.18","5,725,900","DIS"
"62","Nov 20, 2017","103.42","103.42","102.70","102.75","101.93","5,112,600","DIS"
"63","Nov 17, 2017","103.22","103.99","102.97","103.44","102.61","7,500,800","DIS"
"64","Nov 16, 2017","103.63","103.98","102.76","103.60","102.77","6,410,900","DIS"
"65","Nov 15, 2017","102.75","103.96","102.45","103.69","102.86","5,691,500","DIS"
"66","Nov 14, 2017","104.57","104.57","103.00","103.17","102.35","6,929,300","DIS"
"67","Nov 13, 2017","104.14","105.14","103.98","104.74","103.90","7,856,000","DIS"
"68","Nov 10, 2017","104.99","106.24","104.08","104.78","103.94","16,701,500","DIS"
"69","Nov 09, 2017","100.83","103.91","100.80","102.68","101.86","13,172,500","DIS"
"70","Nov 08, 2017","101.88","102.00","100.42","101.18","100.37","8,023,200","DIS"
"71","Nov 07, 2017","101.29","102.90","100.74","101.61","100.80","12,177,500","DIS"
"72","Nov 06, 2017","98.37","101.13","98.35","100.64","99.84","14,728,700","DIS"
"73","Nov 03, 2017","98.36","99.38","97.90","98.64","97.85","5,416,900","DIS"
"74","Nov 02, 2017","98.87","99.12","98.02","98.35","97.57","6,799,200","DIS"
"75","Nov 01, 2017","98.13","99.46","98.00","99.03","98.24","6,920,400","DIS"
"76","Oct 31, 2017","97.94","98.09","97.38","97.81","97.03","5,701,700","DIS"
"77","Oct 30, 2017","98.12","98.33","97.70","98.04","97.26","7,093,200","DIS"
"78","Oct 27, 2017","97.90","98.36","96.89","98.31","97.53","7,868,700","DIS"
"79","Oct 26, 2017","97.58","99.48","97.25","98.56","97.77","6,167,500","DIS"
"80","Oct 25, 2017","98.05","98.22","97.45","97.80","97.02","5,144,400","DIS"
"81","Oct 24, 2017","98.52","98.86","98.06","98.29","97.51","4,966,200","DIS"
"82","Oct 23, 2017","99.12","99.18","98.63","98.70","97.91","5,888,200","DIS"
