"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","76.07","76.89","75.77","76.70","76.70","3,794,100","DUK"
"2","Feb 15, 2018","74.77","76.21","74.66","76.20","76.20","3,923,800","DUK"
"3","Feb 15, 2018","0.89 Dividend","0.89 Dividend","0.89 Dividend","0.89 Dividend","0.89 Dividend","0.89 Dividend","DUK"
"4","Feb 14, 2018","76.62","76.66","75.45","75.48","74.59","4,563,000","DUK"
"5","Feb 13, 2018","76.54","77.30","75.82","77.08","76.17","3,808,000","DUK"
"6","Feb 12, 2018","76.12","77.25","75.66","76.81","75.90","4,373,100","DUK"
"7","Feb 09, 2018","74.32","76.72","73.86","76.10","75.20","6,312,300","DUK"
"8","Feb 08, 2018","74.09","75.87","73.80","74.32","73.44","6,160,100","DUK"
"9","Feb 07, 2018","74.46","75.56","74.18","74.40","73.52","4,840,400","DUK"
"10","Feb 06, 2018","75.15","75.25","72.93","74.49","73.61","7,810,800","DUK"
"11","Feb 05, 2018","76.65","77.59","75.73","75.81","74.92","5,852,100","DUK"
"12","Feb 02, 2018","76.82","77.73","76.43","76.53","75.63","4,252,400","DUK"
"13","Feb 01, 2018","78.32","78.65","76.67","76.84","75.93","4,328,600","DUK"
"14","Jan 31, 2018","77.78","78.58","77.25","78.50","77.57","4,007,000","DUK"
"15","Jan 30, 2018","77.10","77.91","76.97","77.66","76.74","3,969,200","DUK"
"16","Jan 29, 2018","78.55","78.57","77.17","77.29","76.38","4,901,300","DUK"
"17","Jan 26, 2018","78.93","79.04","78.06","78.83","77.90","3,944,500","DUK"
"18","Jan 25, 2018","77.23","79.22","77.20","78.90","77.97","4,842,900","DUK"
"19","Jan 24, 2018","77.70","77.73","77.21","77.24","76.33","3,601,700","DUK"
"20","Jan 23, 2018","77.75","78.45","77.24","77.71","76.79","4,033,900","DUK"
"21","Jan 22, 2018","77.16","77.65","76.85","76.95","76.04","3,720,100","DUK"
"22","Jan 19, 2018","77.47","77.82","76.64","76.82","75.91","4,536,700","DUK"
"23","Jan 18, 2018","78.64","78.64","77.05","77.34","76.43","4,757,600","DUK"
"24","Jan 17, 2018","78.36","78.70","77.62","78.41","77.49","4,125,200","DUK"
"25","Jan 16, 2018","79.09","79.27","78.21","78.42","77.50","4,375,300","DUK"
"26","Jan 12, 2018","79.00","79.61","78.55","78.90","77.97","3,211,400","DUK"
