"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","71.66","72.94","71.51","71.95","71.95","6,925,000","DWDP"
"2","Feb 15, 2018","72.06","72.25","70.88","71.85","71.85","6,405,900","DWDP"
"3","Feb 14, 2018","69.99","71.50","69.90","71.33","71.33","7,483,400","DWDP"
"4","Feb 13, 2018","71.34","71.75","70.60","70.75","70.75","6,619,100","DWDP"
"5","Feb 12, 2018","70.20","72.05","70.17","71.84","71.84","10,242,500","DWDP"
"6","Feb 09, 2018","68.86","70.22","67.24","69.48","69.48","13,137,500","DWDP"
"7","Feb 08, 2018","70.67","71.48","68.12","68.21","68.21","13,079,300","DWDP"
"8","Feb 07, 2018","70.96","72.14","70.52","70.60","70.60","11,215,100","DWDP"
"9","Feb 06, 2018","66.63","71.95","66.19","71.89","71.89","23,151,900","DWDP"
"10","Feb 05, 2018","70.19","71.87","67.03","67.84","67.84","19,108,800","DWDP"
"11","Feb 02, 2018","73.06","73.29","70.64","70.89","70.89","12,794,600","DWDP"
"12","Feb 01, 2018","74.68","76.00","73.43","73.50","73.50","13,258,400","DWDP"
"13","Jan 31, 2018","75.38","76.05","74.79","75.58","75.58","10,170,200","DWDP"
"14","Jan 30, 2018","75.49","75.98","74.92","75.13","75.13","7,536,600","DWDP"
"15","Jan 29, 2018","77.02","77.06","75.83","75.87","75.87","5,883,200","DWDP"
"16","Jan 26, 2018","76.57","77.02","75.26","77.02","77.02","6,201,000","DWDP"
"17","Jan 25, 2018","76.33","76.97","76.21","76.65","76.65","6,660,100","DWDP"
"18","Jan 24, 2018","76.28","77.08","75.61","76.01","76.01","9,253,700","DWDP"
"19","Jan 23, 2018","75.86","76.37","75.61","76.14","76.14","5,663,600","DWDP"
"20","Jan 22, 2018","75.79","76.18","75.29","76.18","76.18","6,074,500","DWDP"
"21","Jan 19, 2018","76.49","76.49","75.76","76.01","76.01","8,179,000","DWDP"
"22","Jan 18, 2018","75.57","76.65","75.12","76.03","76.03","10,220,300","DWDP"
"23","Jan 17, 2018","75.97","76.35","75.09","75.77","75.77","7,768,200","DWDP"
"24","Jan 16, 2018","75.76","76.35","74.34","74.95","74.95","7,237,500","DWDP"
"25","Jan 12, 2018","75.57","75.63","74.99","75.41","75.41","4,982,700","DWDP"
"26","Jan 11, 2018","74.40","75.23","74.21","75.22","75.22","5,956,900","DWDP"
"27","Jan 10, 2018","75.00","75.37","73.90","74.20","74.20","7,134,600","DWDP"
"28","Jan 09, 2018","74.94","76.34","74.66","75.34","75.34","7,573,400","DWDP"
"29","Jan 08, 2018","75.34","75.49","74.47","75.16","75.16","5,822,400","DWDP"
"30","Jan 05, 2018","74.50","75.54","74.49","75.42","75.42","9,140,200","DWDP"
"31","Jan 04, 2018","73.17","74.74","73.14","74.45","74.45","9,716,600","DWDP"
"32","Jan 03, 2018","72.01","73.14","71.69","73.05","73.05","7,885,800","DWDP"
"33","Jan 02, 2018","71.57","72.19","71.40","71.90","71.90","7,430,600","DWDP"
"34","Dec 29, 2017","71.81","71.85","71.22","71.22","71.22","4,745,600","DWDP"
"35","Dec 28, 2017","71.38","71.63","70.89","71.51","71.51","4,343,300","DWDP"
"36","Dec 27, 2017","71.65","71.75","71.29","71.44","71.44","4,259,600","DWDP"
"37","Dec 26, 2017","72.11","72.17","71.31","71.44","71.44","3,231,000","DWDP"
"38","Dec 22, 2017","71.85","72.35","71.76","72.11","72.11","4,378,400","DWDP"
"39","Dec 21, 2017","71.63","71.80","71.01","71.64","71.64","7,250,300","DWDP"
"40","Dec 20, 2017","71.65","72.06","71.24","71.27","71.27","5,837,700","DWDP"
"41","Dec 19, 2017","71.40","71.75","71.22","71.42","71.42","5,166,900","DWDP"
"42","Dec 18, 2017","70.46","71.69","70.24","71.39","71.39","7,101,900","DWDP"
"43","Dec 15, 2017","70.07","70.44","69.86","70.00","70.00","16,367,700","DWDP"
"44","Dec 14, 2017","70.65","70.93","70.07","70.32","70.32","7,043,100","DWDP"
"45","Dec 13, 2017","70.68","71.05","70.42","70.56","70.56","9,708,500","DWDP"
"46","Dec 12, 2017","70.72","71.15","70.67","70.79","70.79","9,231,700","DWDP"
"47","Dec 11, 2017","71.27","71.41","70.68","70.81","70.81","6,637,400","DWDP"
"48","Dec 08, 2017","71.03","71.52","70.32","70.73","70.73","8,554,900","DWDP"
"49","Dec 07, 2017","71.43","71.50","70.85","71.37","71.37","6,199,500","DWDP"
"50","Dec 06, 2017","71.66","71.79","70.95","71.08","71.08","5,718,700","DWDP"
"51","Dec 05, 2017","72.94","73.20","71.50","71.54","71.54","8,653,900","DWDP"
"52","Dec 04, 2017","71.72","72.99","71.50","72.13","72.13","8,568,700","DWDP"
"53","Dec 01, 2017","72.32","72.61","70.67","71.01","71.01","7,635,500","DWDP"
"54","Nov 30, 2017","71.82","72.83","71.44","71.96","71.96","8,947,500","DWDP"
"55","Nov 29, 2017","71.17","71.93","70.87","71.78","71.78","6,437,700","DWDP"
"56","Nov 28, 2017","70.30","71.20","70.13","71.09","71.09","8,536,600","DWDP"
