"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","71.38","73.37","71.33","72.99","72.99","4,726,300","EMR"
"2","Feb 15, 2018","71.93","72.59","70.59","71.50","71.50","4,089,400","EMR"
"3","Feb 15, 2018","0.485 Dividend","0.485 Dividend","0.485 Dividend","0.485 Dividend","0.485 Dividend","0.485 Dividend","EMR"
"4","Feb 14, 2018","70.71","71.91","69.73","71.31","70.82","5,000,200","EMR"
"5","Feb 13, 2018","69.89","70.52","69.40","70.38","69.90","3,542,100","EMR"
"6","Feb 12, 2018","69.71","71.06","69.54","70.31","69.83","5,187,900","EMR"
"7","Feb 09, 2018","67.50","69.77","66.40","69.07","68.60","5,979,300","EMR"
"8","Feb 08, 2018","68.96","69.12","66.36","66.40","65.95","4,350,200","EMR"
"9","Feb 07, 2018","69.41","70.52","68.73","68.96","68.49","4,045,300","EMR"
"10","Feb 06, 2018","66.70","71.38","66.00","69.25","68.78","7,320,400","EMR"
"11","Feb 05, 2018","70.02","71.42","68.22","68.44","67.97","4,426,300","EMR"
"12","Feb 02, 2018","71.86","72.34","70.51","70.57","70.09","4,853,000","EMR"
"13","Feb 01, 2018","71.43","73.10","69.73","72.58","72.09","3,022,200","EMR"
"14","Jan 31, 2018","72.95","73.25","72.03","72.23","71.74","5,458,100","EMR"
"15","Jan 30, 2018","72.43","72.91","72.09","72.47","71.98","2,311,600","EMR"
"16","Jan 29, 2018","73.67","73.87","72.91","72.99","72.49","2,136,400","EMR"
"17","Jan 26, 2018","72.90","74.05","72.68","74.05","73.55","3,587,500","EMR"
"18","Jan 25, 2018","73.08","73.20","71.79","72.68","72.19","3,293,700","EMR"
"19","Jan 24, 2018","73.54","73.70","72.16","72.63","72.14","3,284,300","EMR"
"20","Jan 23, 2018","73.34","73.85","73.01","73.12","72.62","3,205,600","EMR"
"21","Jan 22, 2018","72.94","73.28","72.35","73.26","72.76","3,521,500","EMR"
"22","Jan 19, 2018","73.63","73.80","72.88","73.14","72.64","3,538,100","EMR"
"23","Jan 18, 2018","73.48","73.95","73.00","73.45","72.95","2,356,200","EMR"
"24","Jan 17, 2018","73.05","73.78","72.89","73.07","72.57","3,276,100","EMR"
"25","Jan 16, 2018","73.39","73.88","72.11","72.83","72.33","3,899,900","EMR"
"26","Jan 12, 2018","74.00","74.45","73.85","73.91","73.41","3,500,400","EMR"
"27","Jan 11, 2018","72.88","73.90","72.46","73.88","73.38","2,917,300","EMR"
"28","Jan 10, 2018","71.74","72.70","71.70","72.59","72.10","2,411,300","EMR"
"29","Jan 09, 2018","72.42","72.59","71.89","72.32","71.83","3,367,600","EMR"
"30","Jan 08, 2018","72.43","72.43","71.68","72.20","71.71","2,334,700","EMR"
"31","Jan 05, 2018","71.76","72.47","71.20","72.43","71.94","3,118,800","EMR"
"32","Jan 04, 2018","71.50","71.81","71.21","71.49","71.00","2,806,400","EMR"
"33","Jan 03, 2018","70.72","71.46","70.22","71.39","70.90","3,308,800","EMR"
"34","Jan 02, 2018","70.06","70.76","69.70","70.74","70.26","3,086,500","EMR"
"35","Dec 29, 2017","70.04","70.21","69.69","69.69","69.22","1,848,900","EMR"
"36","Dec 28, 2017","69.86","70.00","69.54","69.98","69.50","1,452,900","EMR"
"37","Dec 27, 2017","69.75","69.78","69.40","69.75","69.28","1,043,400","EMR"
"38","Dec 26, 2017","69.70","69.77","69.36","69.53","69.06","1,002,000","EMR"
"39","Dec 22, 2017","69.71","69.84","69.19","69.66","69.19","1,790,200","EMR"
"40","Dec 21, 2017","69.25","69.80","68.81","69.58","69.11","2,668,700","EMR"
"41","Dec 20, 2017","69.00","69.74","68.69","68.96","68.49","5,109,800","EMR"
"42","Dec 19, 2017","68.46","68.77","68.15","68.54","68.07","3,494,400","EMR"
"43","Dec 18, 2017","67.78","68.88","67.51","68.36","67.90","3,989,400","EMR"
"44","Dec 15, 2017","67.00","67.53","66.75","67.26","66.80","4,387,000","EMR"
"45","Dec 14, 2017","67.43","67.83","66.50","66.51","66.06","2,887,700","EMR"
"46","Dec 13, 2017","66.90","67.55","66.81","67.20","66.74","3,306,800","EMR"
"47","Dec 12, 2017","66.70","67.03","66.27","66.67","66.22","2,756,000","EMR"
"48","Dec 11, 2017","66.36","66.91","66.30","66.41","65.96","2,291,900","EMR"
"49","Dec 08, 2017","65.83","66.77","65.59","66.55","66.10","3,973,900","EMR"
"50","Dec 07, 2017","64.86","65.80","64.68","65.78","65.33","3,412,600","EMR"
"51","Dec 06, 2017","64.64","65.38","64.55","64.73","64.29","3,011,700","EMR"
"52","Dec 05, 2017","64.83","65.32","64.59","64.68","64.24","2,806,000","EMR"
"53","Dec 04, 2017","65.35","66.65","65.08","65.10","64.66","4,531,100","EMR"
"54","Dec 01, 2017","64.91","65.30","63.54","64.69","64.25","4,002,800","EMR"
"55","Nov 30, 2017","64.18","65.06","64.04","64.82","64.38","5,307,000","EMR"
"56","Nov 29, 2017","64.06","64.57","63.81","63.87","63.44","3,928,800","EMR"
"57","Nov 28, 2017","62.62","64.17","62.58","64.15","63.71","6,466,900","EMR"
"58","Nov 27, 2017","61.62","62.28","61.62","61.88","61.46","3,663,500","EMR"
"59","Nov 24, 2017","61.98","62.12","61.56","61.63","61.21","2,182,600","EMR"
"60","Nov 22, 2017","60.75","62.08","60.72","61.88","61.46","5,881,500","EMR"
"61","Nov 21, 2017","60.34","60.69","60.02","60.35","59.94","3,276,900","EMR"
"62","Nov 20, 2017","59.87","60.44","59.62","60.26","59.85","5,449,400","EMR"
"63","Nov 17, 2017","58.86","60.24","58.69","59.85","59.44","5,091,800","EMR"
"64","Nov 16, 2017","58.05","59.74","57.47","59.02","58.62","10,266,700","EMR"
"65","Nov 16, 2017","0.485 Dividend","0.485 Dividend","0.485 Dividend","0.485 Dividend","0.485 Dividend","0.485 Dividend","EMR"
"66","Nov 15, 2017","60.49","60.70","59.49","59.59","58.70","4,276,700","EMR"
"67","Nov 14, 2017","61.22","61.47","60.73","60.74","59.84","2,850,100","EMR"
"68","Nov 13, 2017","61.63","61.63","61.19","61.39","60.48","2,557,300","EMR"
"69","Nov 10, 2017","61.35","61.64","60.95","61.61","60.69","3,613,400","EMR"
"70","Nov 09, 2017","62.11","62.32","60.16","61.48","60.56","5,954,100","EMR"
"71","Nov 08, 2017","63.04","63.22","62.21","62.52","61.59","2,553,300","EMR"
"72","Nov 07, 2017","64.04","64.38","62.68","63.08","62.14","4,358,100","EMR"
"73","Nov 06, 2017","64.25","64.81","63.98","64.52","63.56","3,690,400","EMR"
"74","Nov 03, 2017","63.80","64.76","63.57","64.10","63.15","4,439,500","EMR"
"75","Nov 02, 2017","64.18","64.23","63.55","63.62","62.67","4,037,100","EMR"
"76","Nov 01, 2017","64.56","64.89","64.04","64.07","63.12","5,364,900","EMR"
"77","Oct 31, 2017","67.02","67.12","64.33","64.46","63.50","9,603,600","EMR"
"78","Oct 30, 2017","67.27","67.64","67.07","67.34","66.34","3,841,100","EMR"
"79","Oct 27, 2017","66.92","67.79","66.71","67.38","66.38","3,545,200","EMR"
"80","Oct 26, 2017","66.79","67.05","66.43","66.83","65.84","2,006,100","EMR"
"81","Oct 25, 2017","66.74","66.95","65.87","66.50","65.51","2,745,100","EMR"
"82","Oct 24, 2017","66.49","67.31","66.42","66.74","65.75","2,980,200","EMR"
"83","Oct 23, 2017","65.74","66.44","65.73","66.10","65.12","2,488,200","EMR"
"84","Oct 20, 2017","65.52","65.84","65.23","65.78","64.80","2,648,100","EMR"
"85","Oct 19, 2017","65.31","65.52","65.04","65.16","64.19","2,103,100","EMR"
"86","Oct 18, 2017","65.43","65.81","65.25","65.51","64.53","2,330,200","EMR"
"87","Oct 17, 2017","65.57","66.10","65.30","65.48","64.51","3,794,400","EMR"
"88","Oct 16, 2017","64.12","64.92","63.65","64.44","63.48","2,489,900","EMR"
"89","Oct 13, 2017","64.25","64.40","63.87","63.97","63.02","1,986,200","EMR"
"90","Oct 12, 2017","63.36","64.03","63.36","63.92","62.97","1,574,400","EMR"
"91","Oct 11, 2017","63.40","63.52","63.17","63.43","62.49","1,862,900","EMR"
"92","Oct 10, 2017","64.11","64.11","63.34","63.42","62.48","1,991,400","EMR"
"93","Oct 09, 2017","63.71","64.04","63.59","63.82","62.87","1,474,300","EMR"
"94","Oct 06, 2017","63.75","64.08","63.56","63.70","62.75","1,934,100","EMR"
"95","Oct 05, 2017","63.90","64.11","63.62","63.98","63.03","1,725,900","EMR"
"96","Oct 04, 2017","63.31","64.00","63.03","63.92","62.97","2,759,600","EMR"
"97","Oct 03, 2017","63.30","63.39","63.04","63.33","62.39","2,825,300","EMR"
"98","Oct 02, 2017","62.87","63.32","62.65","63.20","62.26","3,332,600","EMR"
"99","Sep 29, 2017","62.75","63.07","62.54","62.84","61.90","2,903,700","EMR"
"100","Sep 28, 2017","63.13","63.46","62.64","62.86","61.92","2,621,700","EMR"
"101","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","EMR"
