"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","37.60","37.98","37.43","37.78","37.78","8,604,700","EXC"
"2","Feb 15, 2018","36.72","37.51","36.62","37.50","37.50","6,799,200","EXC"
"3","Feb 14, 2018","36.57","37.06","36.22","36.60","36.60","7,662,800","EXC"
"4","Feb 14, 2018","0.345 Dividend","0.345 Dividend","0.345 Dividend","0.345 Dividend","0.345 Dividend","0.345 Dividend","EXC"
"5","Feb 13, 2018","37.04","37.18","36.42","37.01","36.66","7,408,600","EXC"
"6","Feb 12, 2018","36.90","37.33","36.56","37.17","36.82","7,420,700","EXC"
"7","Feb 09, 2018","36.15","37.10","35.87","36.86","36.52","10,826,800","EXC"
"8","Feb 08, 2018","36.16","36.85","35.95","35.98","35.64","11,328,600","EXC"
"9","Feb 07, 2018","36.47","37.69","36.09","36.15","35.81","8,553,400","EXC"
"10","Feb 06, 2018","36.51","36.82","35.57","36.47","36.13","12,573,000","EXC"
"11","Feb 05, 2018","37.72","38.07","36.83","36.92","36.58","7,002,300","EXC"
"12","Feb 02, 2018","37.75","38.15","37.64","37.72","37.37","5,533,600","EXC"
"13","Feb 01, 2018","38.53","38.71","37.77","37.84","37.49","4,894,500","EXC"
"14","Jan 31, 2018","38.30","38.59","38.10","38.51","38.15","10,075,700","EXC"
"15","Jan 30, 2018","38.33","38.62","38.09","38.29","37.93","4,606,900","EXC"
"16","Jan 29, 2018","38.71","38.71","38.16","38.33","37.97","4,654,000","EXC"
"17","Jan 26, 2018","38.85","38.95","38.44","38.86","38.50","7,514,700","EXC"
"18","Jan 25, 2018","38.34","38.77","38.25","38.68","38.32","6,889,700","EXC"
"19","Jan 24, 2018","38.47","38.52","38.12","38.21","37.85","5,488,700","EXC"
"20","Jan 23, 2018","38.42","38.94","38.32","38.53","38.17","6,438,400","EXC"
"21","Jan 22, 2018","38.22","38.63","37.92","38.05","37.70","9,460,800","EXC"
"22","Jan 19, 2018","38.75","38.80","37.90","37.97","37.62","8,464,700","EXC"
"23","Jan 18, 2018","39.00","39.08","38.17","38.59","38.23","7,048,400","EXC"
"24","Jan 17, 2018","38.59","39.20","38.55","39.09","38.73","5,931,000","EXC"
"25","Jan 16, 2018","38.47","38.82","38.10","38.47","38.11","7,737,300","EXC"
"26","Jan 12, 2018","38.33","38.59","38.01","38.39","38.03","5,095,200","EXC"
"27","Jan 11, 2018","38.22","38.74","38.05","38.41","38.05","7,431,900","EXC"
"28","Jan 10, 2018","38.02","38.34","37.82","37.95","37.60","4,914,800","EXC"
"29","Jan 09, 2018","38.55","38.67","37.74","38.16","37.80","7,664,300","EXC"
"30","Jan 08, 2018","38.28","38.87","38.23","38.60","38.24","10,782,400","EXC"
"31","Jan 05, 2018","38.72","38.83","38.07","38.19","37.83","7,142,100","EXC"
"32","Jan 04, 2018","38.97","39.14","38.49","38.51","38.15","4,729,400","EXC"
"33","Jan 03, 2018","39.37","39.88","38.77","39.06","38.70","4,814,800","EXC"
"34","Jan 02, 2018","39.54","39.69","39.26","39.59","39.22","5,153,000","EXC"
"35","Dec 29, 2017","39.44","39.50","39.25","39.41","39.04","3,118,300","EXC"
"36","Dec 28, 2017","38.93","39.33","38.93","39.30","38.93","3,744,000","EXC"
"37","Dec 27, 2017","38.97","39.02","38.77","38.99","38.63","5,023,500","EXC"
"38","Dec 26, 2017","39.12","39.23","38.78","38.81","38.45","2,040,900","EXC"
"39","Dec 22, 2017","39.19","39.22","38.97","39.01","38.65","3,529,800","EXC"
"40","Dec 21, 2017","38.87","39.36","38.76","39.07","38.71","4,014,700","EXC"
"41","Dec 20, 2017","39.58","39.72","38.97","39.04","38.68","6,077,700","EXC"
"42","Dec 19, 2017","40.58","40.74","39.61","39.62","39.25","4,474,100","EXC"
"43","Dec 18, 2017","40.89","41.08","40.39","40.48","40.10","4,976,700","EXC"
"44","Dec 15, 2017","40.86","41.02","40.68","40.74","40.36","9,017,400","EXC"
"45","Dec 14, 2017","40.98","41.26","40.61","40.81","40.43","4,694,100","EXC"
"46","Dec 13, 2017","41.00","41.49","40.86","41.13","40.75","8,641,600","EXC"
"47","Dec 12, 2017","41.78","41.89","40.96","41.01","40.63","7,943,500","EXC"
"48","Dec 11, 2017","41.09","41.95","41.09","41.92","41.53","8,716,500","EXC"
