"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","10.70","10.82","10.52","10.61","10.61","40,881,400","F"
"2","Feb 15, 2018","10.80","10.80","10.64","10.76","10.76","28,208,300","F"
"3","Feb 14, 2018","10.55","10.75","10.50","10.74","10.74","27,844,300","F"
"4","Feb 13, 2018","10.63","10.69","10.53","10.59","10.59","36,884,500","F"
"5","Feb 12, 2018","10.67","10.82","10.54","10.70","10.70","49,068,900","F"
"6","Feb 09, 2018","10.57","10.64","10.24","10.53","10.53","72,103,600","F"
"7","Feb 08, 2018","10.79","10.86","10.42","10.43","10.43","73,990,700","F"
"8","Feb 07, 2018","10.75","11.04","10.70","10.76","10.76","68,041,800","F"
"9","Feb 06, 2018","10.27","10.79","10.19","10.76","10.76","139,938,100","F"
"10","Feb 05, 2018","10.78","10.80","10.24","10.24","10.24","96,757,000","F"
"11","Feb 02, 2018","10.88","10.88","10.62","10.71","10.71","72,312,900","F"
"12","Feb 01, 2018","10.95","11.00","10.85","10.92","10.92","41,352,200","F"
"13","Jan 31, 2018","11.09","11.12","10.90","10.97","10.97","57,644,600","F"
"14","Jan 30, 2018","11.09","11.23","11.05","11.06","11.06","52,068,200","F"
"15","Jan 29, 2018","11.42","11.47","11.11","11.12","11.12","55,114,000","F"
"16","Jan 29, 2018","0.28 Dividend","0.28 Dividend","0.28 Dividend","0.28 Dividend","0.28 Dividend","0.28 Dividend","F"
"17","Jan 26, 2018","11.59","11.70","11.50","11.65","11.37","52,496,000","F"
"18","Jan 25, 2018","11.93","11.93","11.44","11.57","11.29","114,886,800","F"
"19","Jan 24, 2018","12.00","12.09","11.92","12.05","11.76","63,300,500","F"
"20","Jan 23, 2018","12.03","12.03","11.90","11.96","11.67","51,831,000","F"
"21","Jan 22, 2018","12.02","12.08","11.90","12.02","11.73","52,851,900","F"
"22","Jan 19, 2018","12.12","12.12","11.91","12.00","11.71","51,303,700","F"
"23","Jan 18, 2018","12.18","12.20","12.02","12.07","11.78","66,541,700","F"
"24","Jan 17, 2018","12.58","12.58","12.10","12.18","11.89","132,412,500","F"
"25","Jan 16, 2018","13.31","13.48","13.01","13.10","12.79","53,961,400","F"
"26","Jan 12, 2018","13.10","13.29","13.10","13.23","12.91","56,979,200","F"
"27","Jan 11, 2018","13.02","13.20","13.00","13.16","12.84","28,342,300","F"
"28","Jan 10, 2018","13.06","13.14","12.96","13.03","12.72","56,517,100","F"
"29","Jan 09, 2018","13.18","13.22","13.08","13.08","12.77","27,924,100","F"
"30","Jan 08, 2018","13.21","13.22","13.11","13.15","12.83","33,828,300","F"
"31","Jan 05, 2018","13.06","13.22","13.04","13.20","12.88","46,121,900","F"
"32","Jan 04, 2018","12.78","13.04","12.77","12.98","12.67","37,478,200","F"
"33","Jan 03, 2018","12.68","12.80","12.67","12.76","12.45","29,765,600","F"
"34","Jan 02, 2018","12.52","12.66","12.50","12.66","12.36","20,773,300","F"
"35","Dec 29, 2017","12.58","12.61","12.49","12.49","12.19","18,362,500","F"
"36","Dec 28, 2017","12.48","12.58","12.47","12.58","12.28","14,793,500","F"
"37","Dec 27, 2017","12.57","12.58","12.45","12.50","12.20","17,005,600","F"
"38","Dec 26, 2017","12.57","12.65","12.55","12.60","12.30","11,664,600","F"
"39","Dec 22, 2017","12.66","12.66","12.56","12.58","12.28","17,876,200","F"
"40","Dec 21, 2017","12.74","12.77","12.63","12.63","12.33","21,004,700","F"
"41","Dec 20, 2017","12.72","12.75","12.65","12.72","12.41","18,989,400","F"
"42","Dec 19, 2017","12.71","12.78","12.66","12.69","12.39","23,056,900","F"
"43","Dec 18, 2017","12.66","12.75","12.61","12.66","12.36","25,022,700","F"
"44","Dec 15, 2017","12.51","12.66","12.50","12.58","12.28","48,655,500","F"
"45","Dec 14, 2017","12.65","12.69","12.41","12.46","12.16","37,074,000","F"
"46","Dec 13, 2017","12.61","12.73","12.59","12.63","12.33","31,859,000","F"
"47","Dec 12, 2017","12.56","12.64","12.51","12.60","12.30","54,370,600","F"
"48","Dec 11, 2017","12.57","12.63","12.51","12.58","12.28","44,194,600","F"
"49","Dec 08, 2017","12.53","12.61","12.43","12.61","12.31","21,981,900","F"
"50","Dec 07, 2017","12.58","12.59","12.33","12.53","12.23","25,417,100","F"
"51","Dec 06, 2017","12.37","12.43","12.28","12.38","12.08","28,453,800","F"
