"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","244.00","247.72","242.60","244.19","244.19","1,463,900","FDX"
"2","Feb 15, 2018","241.92","245.13","238.67","245.03","245.03","1,707,700","FDX"
"3","Feb 14, 2018","239.75","242.33","238.85","240.82","240.82","1,817,100","FDX"
"4","Feb 13, 2018","238.74","241.53","236.72","240.32","240.32","1,537,700","FDX"
"5","Feb 12, 2018","236.81","241.38","235.40","239.93","239.93","2,667,200","FDX"
"6","Feb 09, 2018","235.70","239.00","226.20","235.32","235.32","5,153,300","FDX"
"7","Feb 08, 2018","251.65","251.65","239.14","239.27","239.27","2,735,400","FDX"
"8","Feb 07, 2018","248.96","254.47","248.51","251.15","251.15","1,520,100","FDX"
"9","Feb 06, 2018","244.44","254.12","242.51","250.18","250.18","3,366,200","FDX"
"10","Feb 05, 2018","252.48","259.13","248.36","248.50","248.50","2,315,400","FDX"
"11","Feb 02, 2018","260.58","261.24","255.72","255.87","255.87","1,655,000","FDX"
"12","Feb 01, 2018","258.15","265.67","257.33","261.83","261.83","2,318,100","FDX"
"13","Jan 31, 2018","263.70","267.17","261.66","262.48","262.48","1,764,600","FDX"
"14","Jan 30, 2018","266.54","266.84","259.51","261.46","261.46","2,455,400","FDX"
"15","Jan 29, 2018","267.50","270.55","267.27","267.69","267.69","1,153,300","FDX"
"16","Jan 26, 2018","268.51","269.00","265.69","268.85","268.85","1,522,200","FDX"
"17","Jan 25, 2018","271.10","271.10","266.77","268.04","268.04","1,603,500","FDX"
"18","Jan 24, 2018","272.44","272.88","268.82","270.41","270.41","1,421,700","FDX"
"19","Jan 23, 2018","273.95","273.95","271.32","272.02","272.02","1,182,800","FDX"
"20","Jan 22, 2018","273.05","274.10","271.30","273.89","273.89","1,006,300","FDX"
"21","Jan 19, 2018","272.78","274.38","269.82","274.32","274.32","1,420,400","FDX"
"22","Jan 18, 2018","272.27","274.66","270.65","272.18","272.18","1,903,100","FDX"
"23","Jan 17, 2018","270.64","271.90","268.05","271.49","271.49","1,378,100","FDX"
"24","Jan 16, 2018","272.27","273.16","267.21","269.58","269.58","1,668,600","FDX"
"25","Jan 12, 2018","271.25","271.90","269.56","271.85","271.85","1,342,900","FDX"
"26","Jan 11, 2018","268.50","271.20","267.63","271.19","271.19","1,652,100","FDX"
"27","Jan 10, 2018","265.30","268.72","263.62","268.01","268.01","1,644,400","FDX"
"28","Jan 09, 2018","270.00","271.00","267.00","267.75","267.75","1,648,300","FDX"
"29","Jan 08, 2018","268.90","270.17","266.89","268.66","268.66","1,956,000","FDX"
"30","Jan 05, 2018","266.25","271.39","263.62","265.92","265.92","2,863,900","FDX"
"31","Jan 04, 2018","262.29","266.22","262.00","264.88","264.88","2,600,400","FDX"
"32","Jan 03, 2018","257.26","261.57","256.01","260.82","260.82","2,149,600","FDX"
