"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","36.56","37.26","36.56","37.04","37.04","2,067,500","FOX"
"2","Feb 15, 2018","36.21","36.73","36.14","36.65","36.65","2,019,200","FOX"
"3","Feb 14, 2018","35.99","36.40","35.80","36.18","36.18","2,274,500","FOX"
"4","Feb 13, 2018","35.56","36.38","35.56","36.19","36.19","1,649,900","FOX"
"5","Feb 12, 2018","35.74","36.39","35.73","35.95","35.95","3,098,200","FOX"
"6","Feb 09, 2018","34.38","35.48","33.75","35.19","35.19","5,539,800","FOX"
"7","Feb 08, 2018","35.68","35.96","34.05","34.09","34.09","4,486,400","FOX"
"8","Feb 07, 2018","36.41","36.96","35.62","35.70","35.70","4,004,200","FOX"
"9","Feb 06, 2018","35.01","36.44","34.76","36.42","36.42","7,349,300","FOX"
"10","Feb 05, 2018","36.06","37.05","35.55","35.56","35.56","5,306,900","FOX"
"11","Feb 02, 2018","36.40","36.93","36.09","36.22","36.22","2,921,100","FOX"
"12","Feb 01, 2018","36.49","37.15","36.25","36.71","36.71","2,743,600","FOX"
"13","Jan 31, 2018","37.83","37.84","36.26","36.49","36.49","3,546,300","FOX"
"14","Jan 30, 2018","38.41","38.56","37.85","37.88","37.88","2,268,600","FOX"
"15","Jan 29, 2018","38.10","38.52","38.10","38.14","38.14","2,415,500","FOX"
"16","Jan 26, 2018","37.87","38.43","37.44","38.32","38.32","2,511,100","FOX"
"17","Jan 25, 2018","37.51","37.84","37.39","37.73","37.73","2,565,800","FOX"
"18","Jan 24, 2018","37.35","37.97","37.22","37.49","37.49","2,569,200","FOX"
"19","Jan 23, 2018","36.62","37.32","36.59","37.19","37.19","3,866,100","FOX"
"20","Jan 22, 2018","36.45","37.07","35.99","36.96","36.96","3,586,000","FOX"
"21","Jan 19, 2018","35.61","36.26","35.57","36.26","36.26","5,556,900","FOX"
"22","Jan 18, 2018","36.44","36.44","35.65","35.73","35.73","3,525,900","FOX"
"23","Jan 17, 2018","36.12","36.54","35.85","36.49","36.49","3,030,900","FOX"
"24","Jan 16, 2018","36.50","36.53","35.75","35.79","35.79","3,145,700","FOX"
"25","Jan 12, 2018","35.80","36.48","35.72","36.37","36.37","2,243,900","FOX"
"26","Jan 11, 2018","35.30","35.92","35.30","35.80","35.80","2,711,900","FOX"
"27","Jan 10, 2018","36.19","36.29","35.07","35.32","35.32","6,895,000","FOX"
"28","Jan 09, 2018","35.82","36.37","35.82","36.18","36.18","4,054,000","FOX"
"29","Jan 08, 2018","36.13","36.19","35.51","35.85","35.85","4,451,200","FOX"
"30","Jan 05, 2018","36.40","36.44","35.86","36.35","36.35","4,678,700","FOX"
"31","Jan 04, 2018","36.16","36.22","35.78","36.17","36.17","2,673,300","FOX"
"32","Jan 03, 2018","35.37","36.24","35.37","35.93","35.93","3,250,400","FOX"
"33","Jan 02, 2018","34.38","35.38","34.27","35.36","35.36","3,088,700","FOX"
"34","Dec 29, 2017","33.93","34.26","33.93","34.12","34.12","1,735,800","FOX"
"35","Dec 28, 2017","34.18","34.25","33.99","34.08","34.08","1,370,100","FOX"
"36","Dec 27, 2017","34.26","34.31","34.04","34.14","34.14","1,521,900","FOX"
"37","Dec 26, 2017","34.84","34.93","34.15","34.17","34.17","1,503,600","FOX"
"38","Dec 22, 2017","34.36","34.83","34.36","34.72","34.72","1,566,100","FOX"
"39","Dec 21, 2017","33.79","34.81","33.66","34.53","34.53","3,657,700","FOX"
"40","Dec 20, 2017","34.30","34.56","33.82","33.86","33.86","5,637,100","FOX"
"41","Dec 19, 2017","34.65","34.82","34.27","34.37","34.37","5,553,800","FOX"
"42","Dec 18, 2017","34.35","34.83","34.11","34.50","34.50","6,663,400","FOX"
"43","Dec 15, 2017","34.32","35.34","34.15","34.22","34.22","10,334,100","FOX"
"44","Dec 14, 2017","32.25","34.38","32.08","34.22","34.22","18,216,400","FOX"
"45","Dec 13, 2017","33.58","33.58","32.06","32.34","32.34","7,502,700","FOX"
"46","Dec 12, 2017","33.46","33.70","32.94","33.60","33.60","6,033,900","FOX"
"47","Dec 11, 2017","33.04","33.35","32.76","33.27","33.27","3,701,900","FOX"
"48","Dec 08, 2017","34.02","34.11","32.90","32.97","32.97","5,690,300","FOX"
"49","Dec 07, 2017","32.77","34.34","32.57","33.77","33.77","10,985,600","FOX"
"50","Dec 06, 2017","32.55","33.24","32.08","32.70","32.70","4,247,200","FOX"
"51","Dec 05, 2017","32.02","33.69","32.02","32.48","32.48","6,398,200","FOX"
"52","Dec 04, 2017","31.79","33.19","31.79","32.31","32.31","4,306,500","FOX"
"53","Dec 01, 2017","30.64","31.60","30.52","31.47","31.47","5,138,000","FOX"
"54","Nov 30, 2017","31.00","31.46","30.54","31.15","31.15","3,597,500","FOX"
"55","Nov 29, 2017","30.22","31.59","30.22","31.30","31.30","3,983,400","FOX"
"56","Nov 28, 2017","29.82","30.23","29.63","30.17","30.17","2,079,300","FOX"
"57","Nov 27, 2017","29.72","29.89","29.67","29.70","29.70","2,922,100","FOX"
"58","Nov 24, 2017","29.68","30.09","29.68","29.78","29.78","732,200","FOX"
"59","Nov 22, 2017","30.02","30.16","29.83","29.94","29.94","2,721,900","FOX"
"60","Nov 21, 2017","29.93","30.28","29.64","30.10","30.10","2,645,500","FOX"
"61","Nov 20, 2017","30.45","30.92","29.70","29.90","29.90","3,265,100","FOX"
"62","Nov 17, 2017","30.45","30.73","29.58","30.48","30.48","5,811,000","FOX"
"63","Nov 16, 2017","27.56","28.74","27.56","28.60","28.60","3,400,800","FOX"
"64","Nov 15, 2017","27.26","28.01","26.86","27.95","27.95","2,968,100","FOX"
"65","Nov 14, 2017","27.66","27.77","27.09","27.31","27.31","2,402,400","FOX"
"66","Nov 13, 2017","27.84","28.04","27.48","27.82","27.82","1,492,500","FOX"
"67","Nov 10, 2017","28.19","29.17","27.98","28.07","28.07","4,557,600","FOX"
"68","Nov 09, 2017","26.76","28.96","26.57","28.13","28.13","5,278,400","FOX"
"69","Nov 08, 2017","26.84","27.39","26.74","27.35","27.35","5,692,500","FOX"
"70","Nov 07, 2017","26.70","27.77","26.70","27.04","27.04","6,640,900","FOX"
"71","Nov 06, 2017","24.33","26.85","24.30","26.62","26.62","12,144,100","FOX"
"72","Nov 03, 2017","25.05","25.20","24.40","24.43","24.43","3,298,200","FOX"
"73","Nov 02, 2017","25.38","25.53","24.91","25.15","25.15","2,960,800","FOX"
"74","Nov 01, 2017","25.61","25.83","25.35","25.38","25.38","1,451,200","FOX"
"75","Oct 31, 2017","25.78","25.78","25.35","25.45","25.45","1,665,800","FOX"
"76","Oct 30, 2017","25.65","26.03","25.52","25.75","25.75","2,161,000","FOX"
"77","Oct 27, 2017","25.56","25.76","24.91","25.75","25.75","2,326,400","FOX"
"78","Oct 26, 2017","25.76","26.00","25.42","25.70","25.70","1,800,300","FOX"
"79","Oct 25, 2017","25.45","25.65","25.31","25.43","25.43","1,910,500","FOX"
"80","Oct 24, 2017","25.89","25.97","25.54","25.56","25.56","2,118,200","FOX"
"81","Oct 23, 2017","26.93","26.93","25.97","26.01","26.01","1,921,700","FOX"
"82","Oct 20, 2017","26.88","26.94","26.64","26.84","26.84","1,427,400","FOX"
"83","Oct 19, 2017","26.59","26.73","26.31","26.70","26.70","1,461,700","FOX"
"84","Oct 18, 2017","26.21","26.72","26.19","26.59","26.59","2,593,100","FOX"
"85","Oct 17, 2017","26.00","26.25","25.93","26.22","26.22","1,305,600","FOX"
"86","Oct 16, 2017","25.92","26.20","25.80","26.10","26.10","1,885,400","FOX"
"87","Oct 13, 2017","25.61","25.92","25.45","25.83","25.83","4,758,400","FOX"
"88","Oct 12, 2017","25.30","25.78","25.20","25.49","25.49","4,765,100","FOX"
"89","Oct 11, 2017","26.05","26.05","25.24","25.48","25.48","3,020,200","FOX"
"90","Oct 10, 2017","26.03","26.54","25.99","26.15","26.15","1,591,400","FOX"
"91","Oct 09, 2017","26.41","26.48","25.97","25.97","25.97","1,225,400","FOX"
"92","Oct 06, 2017","26.34","26.49","26.09","26.47","26.47","2,355,500","FOX"
"93","Oct 05, 2017","26.58","26.65","26.24","26.32","26.32","1,590,300","FOX"
"94","Oct 04, 2017","25.96","26.63","25.92","26.46","26.46","3,659,000","FOX"
"95","Oct 03, 2017","26.00","26.16","25.85","26.02","26.02","3,849,200","FOX"
"96","Oct 02, 2017","25.85","26.30","25.79","26.05","26.05","3,421,500","FOX"
"97","Sep 29, 2017","26.05","26.10","25.71","25.79","25.79","5,002,700","FOX"
"98","Sep 28, 2017","26.61","26.68","25.95","26.01","26.01","2,810,000","FOX"
"99","Sep 27, 2017","26.47","26.81","26.13","26.77","26.77","2,856,000","FOX"
"100","Sep 26, 2017","26.63","26.70","26.40","26.42","26.42","1,932,800","FOX"
"101","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","FOX"
