"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","36.89","37.71","36.86","37.46","37.46","6,622,200","FOXA"
"2","Feb 15, 2018","36.70","37.07","36.49","36.96","36.96","5,141,800","FOXA"
"3","Feb 14, 2018","36.19","36.84","36.19","36.55","36.55","7,000,700","FOXA"
"4","Feb 13, 2018","35.99","36.82","35.87","36.58","36.58","7,189,300","FOXA"
"5","Feb 12, 2018","36.34","36.90","36.18","36.40","36.40","12,469,400","FOXA"
"6","Feb 09, 2018","34.77","35.95","34.12","35.73","35.73","16,932,400","FOXA"
"7","Feb 08, 2018","36.09","36.35","34.53","34.56","34.56","10,237,300","FOXA"
"8","Feb 07, 2018","36.84","37.41","35.99","36.06","36.06","7,492,300","FOXA"
"9","Feb 06, 2018","35.43","36.81","35.15","36.80","36.80","11,840,400","FOXA"
"10","Feb 05, 2018","36.60","37.62","36.06","36.14","36.14","11,535,500","FOXA"
"11","Feb 02, 2018","36.78","37.42","36.56","36.72","36.72","8,101,500","FOXA"
"12","Feb 01, 2018","36.91","37.54","36.68","37.01","37.01","11,816,200","FOXA"
"13","Jan 31, 2018","38.52","38.52","36.67","36.90","36.90","13,190,700","FOXA"
"14","Jan 30, 2018","38.94","39.14","38.46","38.46","38.46","7,355,400","FOXA"
"15","Jan 29, 2018","38.70","39.04","38.61","38.74","38.74","6,416,300","FOXA"
"16","Jan 26, 2018","38.25","38.95","37.86","38.81","38.81","9,805,800","FOXA"
"17","Jan 25, 2018","38.08","38.33","37.93","38.18","38.18","10,643,300","FOXA"
"18","Jan 24, 2018","37.69","38.51","37.60","38.00","38.00","14,594,100","FOXA"
"19","Jan 23, 2018","37.00","37.72","36.75","37.51","37.51","10,364,300","FOXA"
"20","Jan 22, 2018","36.79","37.48","36.41","37.31","37.31","12,209,300","FOXA"
"21","Jan 19, 2018","36.03","36.69","35.97","36.65","36.65","18,037,200","FOXA"
"22","Jan 18, 2018","36.91","36.95","36.00","36.18","36.18","14,253,400","FOXA"
"23","Jan 17, 2018","36.53","37.13","36.34","37.11","37.11","6,230,100","FOXA"
"24","Jan 16, 2018","36.82","36.90","36.26","36.29","36.29","7,149,800","FOXA"
"25","Jan 12, 2018","36.28","36.84","36.12","36.73","36.73","6,824,100","FOXA"
"26","Jan 11, 2018","35.70","36.30","35.60","36.20","36.20","9,659,500","FOXA"
"27","Jan 10, 2018","36.55","36.69","35.31","35.60","35.60","16,875,600","FOXA"
"28","Jan 09, 2018","36.22","36.72","36.21","36.54","36.54","6,216,100","FOXA"
"29","Jan 08, 2018","36.49","36.60","35.90","36.24","36.24","9,719,100","FOXA"
"30","Jan 05, 2018","36.90","36.96","36.49","36.75","36.75","9,002,500","FOXA"
"31","Jan 04, 2018","36.67","36.85","36.39","36.82","36.82","7,092,400","FOXA"
"32","Jan 03, 2018","35.99","36.89","35.97","36.54","36.54","16,122,000","FOXA"
"33","Jan 02, 2018","34.77","35.94","34.72","35.86","35.86","11,040,900","FOXA"
"34","Dec 29, 2017","34.30","34.70","34.30","34.53","34.53","8,116,200","FOXA"
"35","Dec 28, 2017","34.69","34.69","34.38","34.48","34.48","3,434,900","FOXA"
"36","Dec 27, 2017","34.71","34.75","34.48","34.55","34.55","5,147,700","FOXA"
"37","Dec 26, 2017","35.31","35.43","34.59","34.60","34.60","4,694,700","FOXA"
"38","Dec 22, 2017","35.09","35.35","34.88","35.24","35.24","6,566,600","FOXA"
"39","Dec 21, 2017","34.20","35.33","34.13","35.11","35.11","13,140,000","FOXA"
"40","Dec 20, 2017","35.05","35.29","34.26","34.27","34.27","15,626,000","FOXA"
"41","Dec 19, 2017","35.17","35.46","34.93","35.06","35.06","15,564,200","FOXA"
"42","Dec 18, 2017","35.00","35.53","34.76","35.19","35.19","21,360,200","FOXA"
"43","Dec 15, 2017","34.91","35.86","34.77","34.99","34.99","36,905,300","FOXA"
"44","Dec 14, 2017","32.42","35.15","32.35","34.88","34.88","55,600,600","FOXA"
"45","Dec 13, 2017","33.77","33.78","32.38","32.75","32.75","21,815,500","FOXA"
"46","Dec 12, 2017","33.87","34.18","33.25","34.10","34.10","17,860,900","FOXA"
"47","Dec 11, 2017","33.43","33.77","33.21","33.66","33.66","9,414,100","FOXA"
"48","Dec 08, 2017","34.41","34.50","33.25","33.30","33.30","13,201,700","FOXA"
"49","Dec 07, 2017","33.35","34.75","33.13","34.18","34.18","26,583,100","FOXA"
"50","Dec 06, 2017","33.30","33.94","32.71","33.21","33.21","16,315,500","FOXA"
"51","Dec 05, 2017","33.13","34.48","32.91","32.99","32.99","22,925,200","FOXA"
"52","Dec 04, 2017","32.63","34.02","32.58","33.09","33.09","15,878,500","FOXA"
"53","Dec 01, 2017","31.49","32.35","31.37","32.19","32.19","11,881,800","FOXA"
"54","Nov 30, 2017","31.87","32.26","31.52","31.94","31.94","10,734,800","FOXA"
"55","Nov 29, 2017","31.04","32.31","31.02","32.10","32.10","12,237,400","FOXA"
"56","Nov 28, 2017","30.60","30.91","30.32","30.86","30.86","7,495,100","FOXA"
"57","Nov 27, 2017","30.43","30.56","30.32","30.39","30.39","4,014,700","FOXA"
"58","Nov 24, 2017","30.45","30.80","30.36","30.47","30.47","2,150,900","FOXA"
"59","Nov 22, 2017","30.87","30.96","30.55","30.61","30.61","4,604,800","FOXA"
"60","Nov 21, 2017","30.71","31.10","30.41","30.88","30.88","7,010,500","FOXA"
"61","Nov 20, 2017","31.02","31.62","30.39","30.66","30.66","13,341,200","FOXA"
"62","Nov 17, 2017","31.19","31.47","30.22","31.15","31.15","35,337,300","FOXA"
"63","Nov 16, 2017","28.36","29.55","28.36","29.32","29.32","11,836,900","FOXA"
"64","Nov 15, 2017","27.88","28.83","27.53","28.73","28.73","15,046,500","FOXA"
"65","Nov 14, 2017","28.31","28.48","27.77","28.03","28.03","8,690,100","FOXA"
"66","Nov 13, 2017","28.66","28.78","28.20","28.55","28.55","5,775,000","FOXA"
"67","Nov 10, 2017","28.98","29.95","28.74","28.84","28.84","14,782,700","FOXA"
"68","Nov 09, 2017","27.33","29.77","27.29","28.70","28.70","19,206,500","FOXA"
"69","Nov 08, 2017","27.71","28.60","27.47","28.09","28.09","11,090,500","FOXA"
"70","Nov 07, 2017","27.42","28.60","27.42","27.75","27.75","25,606,000","FOXA"
"71","Nov 06, 2017","24.93","27.53","24.81","27.45","27.45","29,885,200","FOXA"
"72","Nov 03, 2017","25.78","25.89","24.91","24.97","24.97","11,423,500","FOXA"
"73","Nov 02, 2017","26.00","26.17","25.56","25.81","25.81","10,081,300","FOXA"
"74","Nov 01, 2017","26.29","26.52","25.95","25.98","25.98","4,804,200","FOXA"
"75","Oct 31, 2017","26.48","26.48","26.01","26.15","26.15","4,391,400","FOXA"
"76","Oct 30, 2017","26.30","26.70","26.19","26.39","26.39","4,910,400","FOXA"
"77","Oct 27, 2017","26.03","26.44","25.56","26.41","26.41","8,691,300","FOXA"
"78","Oct 26, 2017","26.32","26.69","26.05","26.31","26.31","5,177,400","FOXA"
"79","Oct 25, 2017","26.18","26.35","26.00","26.13","26.13","4,141,300","FOXA"
