"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","225.60","226.00","222.50","224.19","224.19","1,921,100","GD"
"2","Feb 15, 2018","224.38","225.40","220.72","225.40","225.40","2,624,500","GD"
"3","Feb 14, 2018","211.10","218.40","210.60","218.25","218.25","2,475,600","GD"
"4","Feb 13, 2018","207.91","212.69","207.50","211.81","211.81","2,556,500","GD"
"5","Feb 12, 2018","214.17","215.09","207.87","209.53","209.53","2,698,800","GD"
"6","Feb 09, 2018","208.12","214.33","206.96","212.10","212.10","2,682,400","GD"
"7","Feb 08, 2018","216.13","217.23","205.97","206.05","206.05","1,969,900","GD"
"8","Feb 07, 2018","212.41","218.62","212.01","214.95","214.95","1,962,100","GD"
"9","Feb 06, 2018","206.32","213.09","203.90","212.46","212.46","2,901,400","GD"
"10","Feb 05, 2018","220.44","222.35","208.91","211.22","211.22","2,376,000","GD"
"11","Feb 02, 2018","220.84","225.44","220.84","221.72","221.72","1,377,900","GD"
"12","Feb 01, 2018","222.39","227.82","222.00","225.21","225.21","1,779,800","GD"
"13","Jan 31, 2018","226.09","226.91","222.38","222.48","222.48","1,833,600","GD"
"14","Jan 30, 2018","224.91","225.87","222.30","224.28","224.28","1,590,200","GD"
"15","Jan 29, 2018","226.50","229.54","225.23","225.50","225.50","1,737,700","GD"
"16","Jan 26, 2018","224.95","226.55","221.67","226.24","226.24","1,977,700","GD"
"17","Jan 25, 2018","220.00","227.71","219.60","226.53","226.53","3,237,700","GD"
"18","Jan 24, 2018","202.99","220.16","201.40","219.27","219.27","4,176,200","GD"
"19","Jan 23, 2018","208.30","208.79","206.83","207.48","207.48","2,277,400","GD"
"20","Jan 22, 2018","209.08","209.23","207.04","208.20","208.20","1,895,000","GD"
"21","Jan 19, 2018","209.41","209.41","207.53","209.10","209.10","1,413,900","GD"
"22","Jan 18, 2018","208.36","209.44","207.19","207.80","207.80","1,241,700","GD"
"23","Jan 18, 2018","0.84 Dividend","0.84 Dividend","0.84 Dividend","0.84 Dividend","0.84 Dividend","0.84 Dividend","GD"
"24","Jan 17, 2018","207.76","209.05","206.79","208.52","207.68","1,421,000","GD"
"25","Jan 16, 2018","211.01","211.62","206.00","206.33","205.50","1,753,800","GD"
"26","Jan 12, 2018","206.53","211.75","205.59","210.59","209.74","1,892,700","GD"
"27","Jan 11, 2018","204.79","206.17","204.70","205.51","204.68","1,245,600","GD"
"28","Jan 10, 2018","205.00","206.05","204.25","204.75","203.93","956,900","GD"
"29","Jan 09, 2018","205.49","206.98","205.00","205.88","205.05","1,290,200","GD"
"30","Jan 08, 2018","204.85","205.58","204.32","204.70","203.88","1,044,900","GD"
