"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","14.85","15.23","14.81","15.05","15.05","64,447,100","GE"
"2","Feb 15, 2018","14.93","15.14","14.77","14.85","14.85","54,885,000","GE"
"3","Feb 14, 2018","14.69","15.03","14.64","14.90","14.90","85,912,000","GE"
"4","Feb 13, 2018","14.74","14.79","14.53","14.67","14.67","73,700,300","GE"
"5","Feb 12, 2018","15.06","15.14","14.78","14.82","14.82","75,582,400","GE"
"6","Feb 09, 2018","14.69","15.03","14.23","14.94","14.94","129,055,800","GE"
"7","Feb 08, 2018","15.19","15.21","14.45","14.45","14.45","138,636,100","GE"
"8","Feb 07, 2018","15.31","15.52","15.25","15.25","15.25","76,007,200","GE"
"9","Feb 06, 2018","14.82","15.34","14.71","15.27","15.27","126,819,900","GE"
"10","Feb 05, 2018","15.48","15.63","14.91","14.91","14.91","123,241,600","GE"
"11","Feb 02, 2018","15.89","15.93","15.60","15.64","15.64","82,294,800","GE"
"12","Feb 01, 2018","16.06","16.11","15.92","16.02","16.02","52,824,000","GE"
"13","Jan 31, 2018","16.06","16.27","15.99","16.17","16.17","76,769,200","GE"
"14","Jan 30, 2018","16.10","16.27","15.95","15.95","15.95","68,254,200","GE"
"15","Jan 29, 2018","16.02","16.43","15.97","16.28","16.28","74,134,500","GE"
"16","Jan 26, 2018","16.13","16.16","15.93","16.13","16.13","90,888,600","GE"
"17","Jan 25, 2018","16.50","16.62","16.13","16.18","16.18","95,057,100","GE"
"18","Jan 24, 2018","17.00","17.36","16.25","16.44","16.44","167,017,700","GE"
"19","Jan 23, 2018","16.30","17.03","16.27","16.89","16.89","123,236,500","GE"
"20","Jan 22, 2018","15.90","16.33","15.80","16.17","16.17","134,212,300","GE"
"21","Jan 19, 2018","16.65","16.73","16.02","16.26","16.26","214,947,200","GE"
"22","Jan 18, 2018","17.40","17.48","16.76","16.77","16.77","172,263,400","GE"
"23","Jan 17, 2018","17.65","17.70","17.26","17.35","17.35","187,537,200","GE"
"24","Jan 16, 2018","18.32","18.51","17.96","18.21","18.21","205,657,000","GE"
"25","Jan 12, 2018","19.12","19.15","18.70","18.76","18.76","87,076,700","GE"
"26","Jan 11, 2018","19.23","19.39","19.00","19.02","19.02","99,725,600","GE"
"27","Jan 10, 2018","18.59","19.06","18.58","18.93","18.93","82,322,200","GE"
"28","Jan 09, 2018","18.33","18.66","18.11","18.56","18.56","66,400,200","GE"
"29","Jan 08, 2018","18.67","18.70","18.10","18.28","18.28","82,097,600","GE"
"30","Jan 05, 2018","18.86","18.87","18.50","18.54","18.54","79,879,700","GE"
"31","Jan 04, 2018","18.38","18.62","18.30","18.53","18.53","82,554,500","GE"
"32","Jan 03, 2018","18.30","18.34","18.03","18.15","18.15","81,472,300","GE"
"33","Jan 02, 2018","17.58","17.99","17.53","17.98","17.98","77,570,300","GE"
"34","Dec 29, 2017","17.27","17.53","17.27","17.45","17.45","76,149,500","GE"
"35","Dec 28, 2017","17.35","17.40","17.25","17.36","17.36","60,934,900","GE"
"36","Dec 27, 2017","17.46","17.63","17.31","17.38","17.38","60,126,700","GE"
"37","Dec 26, 2017","17.45","17.66","17.40","17.43","17.43","55,337,900","GE"
"38","Dec 26, 2017","0.12 Dividend","0.12 Dividend","0.12 Dividend","0.12 Dividend","0.12 Dividend","0.12 Dividend","GE"
"39","Dec 22, 2017","17.51","17.56","17.40","17.50","17.38","46,370,400","GE"
"40","Dec 21, 2017","17.46","17.69","17.44","17.47","17.35","67,877,700","GE"
"41","Dec 20, 2017","17.63","17.65","17.36","17.45","17.33","75,365,000","GE"
"42","Dec 19, 2017","17.77","17.80","17.55","17.59","17.47","65,496,100","GE"
"43","Dec 18, 2017","17.87","18.05","17.75","17.76","17.64","53,913,400","GE"
"44","Dec 15, 2017","17.78","17.83","17.66","17.82","17.70","88,381,900","GE"
"45","Dec 14, 2017","17.77","17.82","17.64","17.64","17.52","48,545,800","GE"
"46","Dec 13, 2017","17.92","17.99","17.76","17.76","17.64","42,104,500","GE"
"47","Dec 12, 2017","17.95","18.04","17.65","17.91","17.79","66,832,400","GE"
"48","Dec 11, 2017","17.61","17.79","17.53","17.65","17.53","58,171,200","GE"
"49","Dec 08, 2017","17.72","17.82","17.66","17.71","17.59","54,443,500","GE"
"50","Dec 07, 2017","17.81","18.06","17.63","17.71","17.59","55,584,700","GE"
"51","Dec 06, 2017","17.61","17.84","17.60","17.66","17.54","43,913,600","GE"
"52","Dec 05, 2017","17.78","18.01","17.67","17.76","17.64","65,814,900","GE"
"53","Dec 04, 2017","18.00","18.06","17.88","17.95","17.83","68,347,900","GE"
"54","Dec 01, 2017","18.28","18.28","17.86","17.88","17.76","82,027,600","GE"
"55","Nov 30, 2017","18.56","18.59","18.18","18.29","18.16","68,055,400","GE"
"56","Nov 29, 2017","18.45","18.54","18.31","18.48","18.35","55,159,500","GE"
"57","Nov 28, 2017","18.17","18.44","18.06","18.41","18.28","56,115,400","GE"
"58","Nov 27, 2017","18.34","18.50","18.09","18.12","18.00","78,852,400","GE"
"59","Nov 24, 2017","18.38","18.38","18.15","18.19","18.07","24,897,700","GE"
"60","Nov 22, 2017","18.15","18.25","17.84","18.15","18.03","54,846,800","GE"
"61","Nov 21, 2017","17.95","18.07","17.70","17.83","17.71","77,918,900","GE"
"62","Nov 20, 2017","17.95","18.13","17.83","17.98","17.86","63,934,100","GE"
"63","Nov 17, 2017","18.34","18.47","18.21","18.21","18.09","60,457,200","GE"
"64","Nov 16, 2017","18.48","18.48","18.05","18.25","18.12","89,376,600","GE"
"65","Nov 15, 2017","17.51","18.38","17.50","18.26","18.13","144,368,000","GE"
"66","Nov 14, 2017","18.79","18.88","17.46","17.90","17.78","312,556,800","GE"
"67","Nov 13, 2017","20.26","20.75","18.75","19.02","18.89","261,557,400","GE"
"68","Nov 10, 2017","19.98","20.68","19.90","20.49","20.35","100,732,900","GE"
"69","Nov 09, 2017","20.04","20.07","19.85","19.99","19.85","50,850,500","GE"
"70","Nov 08, 2017","20.21","20.32","20.07","20.12","19.98","39,682,500","GE"
"71","Nov 07, 2017","20.17","20.25","20.12","20.21","20.07","41,661,200","GE"
"72","Nov 06, 2017","20.52","20.53","20.08","20.13","19.99","60,679,500","GE"
"73","Nov 03, 2017","19.92","20.33","19.86","20.14","20.00","67,861,000","GE"
"74","Nov 02, 2017","20.05","20.08","19.63","19.94","19.80","81,531,700","GE"
"75","Nov 01, 2017","20.07","20.52","19.96","20.02","19.88","91,714,400","GE"
"76","Oct 31, 2017","20.26","20.40","20.05","20.16","20.02","98,007,100","GE"
"77","Oct 30, 2017","20.62","20.72","20.26","20.41","20.27","98,385,500","GE"
"78","Oct 27, 2017","21.26","21.30","20.64","20.79","20.65","98,534,600","GE"
"79","Oct 26, 2017","21.57","21.65","21.20","21.32","21.17","86,283,700","GE"
"80","Oct 25, 2017","21.84","21.89","21.30","21.50","21.35","110,518,200","GE"
"81","Oct 24, 2017","22.12","22.31","21.75","21.89","21.74","133,615,900","GE"
"82","Oct 23, 2017","23.44","23.44","22.18","22.32","22.17","187,340,900","GE"
"83","Oct 20, 2017","22.14","23.84","22.10","23.83","23.67","192,404,400","GE"
"84","Oct 19, 2017","23.14","23.78","23.05","23.58","23.42","75,574,100","GE"
"85","Oct 18, 2017","23.20","23.28","23.07","23.12","22.96","34,970,700","GE"
"86","Oct 17, 2017","23.22","23.25","23.00","23.19","23.03","58,639,100","GE"
"87","Oct 16, 2017","22.99","23.48","22.93","23.36","23.20","49,757,800","GE"
"88","Oct 13, 2017","23.15","23.23","22.96","22.98","22.82","40,391,800","GE"
"89","Oct 12, 2017","23.05","23.09","22.83","23.05","22.89","59,948,700","GE"
"90","Oct 11, 2017","23.13","23.27","22.90","23.07","22.91","81,172,900","GE"
"91","Oct 10, 2017","23.70","23.86","23.32","23.36","23.20","80,571,100","GE"
"92","Oct 09, 2017","24.10","24.15","23.25","23.43","23.27","140,302,800","GE"
"93","Oct 06, 2017","24.41","24.54","24.13","24.39","24.22","40,729,800","GE"
"94","Oct 05, 2017","24.39","24.57","24.15","24.54","24.37","34,758,900","GE"
"95","Oct 04, 2017","24.88","24.89","24.43","24.48","24.31","32,149,400","GE"
"96","Oct 03, 2017","24.61","24.83","24.33","24.80","24.63","33,907,500","GE"
"97","Oct 02, 2017","24.22","24.61","24.10","24.57","24.40","42,501,200","GE"
"98","Sep 29, 2017","24.22","24.29","24.01","24.18","24.01","33,673,700","GE"
"99","Sep 28, 2017","24.39","24.45","24.16","24.24","24.07","36,154,400","GE"
"100","Sep 27, 2017","25.00","25.05","24.28","24.37","24.20","56,489,000","GE"
"101","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","GE"
