"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","81.45","82.33","80.61","80.70","80.70","7,493,200","GILD"
"2","Feb 15, 2018","82.22","82.30","81.49","81.55","81.55","7,159,700","GILD"
"3","Feb 14, 2018","80.20","82.29","79.98","81.82","81.82","7,063,300","GILD"
"4","Feb 13, 2018","79.57","81.09","78.65","80.79","80.79","6,596,800","GILD"
"5","Feb 12, 2018","79.77","81.42","79.63","80.14","80.14","10,030,700","GILD"
"6","Feb 09, 2018","78.90","79.95","76.02","79.32","79.32","13,746,400","GILD"
"7","Feb 08, 2018","82.44","82.85","78.07","78.22","78.22","13,853,700","GILD"
"8","Feb 07, 2018","79.67","84.58","79.35","82.76","82.76","20,315,600","GILD"
"9","Feb 06, 2018","77.35","80.61","76.90","80.38","80.38","13,287,400","GILD"
"10","Feb 05, 2018","81.40","82.50","78.34","78.37","78.37","10,810,400","GILD"
"11","Feb 02, 2018","82.65","83.34","81.48","81.73","81.73","9,356,300","GILD"
"12","Feb 01, 2018","83.20","84.16","81.18","83.49","83.49","7,305,100","GILD"
"13","Jan 31, 2018","86.60","87.10","83.29","83.80","83.80","12,790,800","GILD"
"14","Jan 30, 2018","88.02","88.33","86.27","87.29","87.29","14,001,200","GILD"
"15","Jan 29, 2018","85.12","89.54","85.12","88.80","88.80","19,411,600","GILD"
"16","Jan 26, 2018","81.96","85.49","81.88","85.46","85.46","14,617,200","GILD"
"17","Jan 25, 2018","81.58","81.84","80.85","81.19","81.19","4,708,000","GILD"
"18","Jan 24, 2018","81.29","82.07","80.58","81.30","81.30","4,530,500","GILD"
"19","Jan 23, 2018","81.23","82.18","80.91","80.95","80.95","7,198,800","GILD"
"20","Jan 22, 2018","81.31","82.05","81.05","81.41","81.41","7,464,500","GILD"
"21","Jan 19, 2018","81.30","81.53","80.37","80.98","80.98","7,920,900","GILD"
"22","Jan 18, 2018","81.47","81.65","80.77","81.17","81.17","8,527,500","GILD"
"23","Jan 17, 2018","80.71","82.07","80.21","81.74","81.74","11,162,800","GILD"
"24","Jan 16, 2018","79.75","81.59","79.52","80.25","80.25","11,750,200","GILD"
"25","Jan 12, 2018","79.34","79.40","78.65","79.02","79.02","6,366,200","GILD"
"26","Jan 11, 2018","78.70","79.68","77.87","79.06","79.06","7,872,900","GILD"
"27","Jan 10, 2018","78.10","78.87","77.01","78.71","78.71","10,150,400","GILD"
"28","Jan 09, 2018","74.61","78.68","74.57","78.10","78.10","14,824,100","GILD"
"29","Jan 08, 2018","74.34","74.72","73.44","74.40","74.40","5,858,500","GILD"
"30","Jan 05, 2018","74.17","74.54","73.03","74.52","74.52","7,901,100","GILD"
"31","Jan 04, 2018","75.00","75.07","73.56","73.90","73.90","5,074,600","GILD"
"32","Jan 03, 2018","74.05","74.84","73.33","74.66","74.66","6,640,000","GILD"
