"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","41.85","42.28","41.00","41.09","41.09","14,348,800","GM"
"2","Feb 15, 2018","42.06","42.21","41.40","41.85","41.85","9,715,800","GM"
"3","Feb 14, 2018","41.03","41.91","40.93","41.81","41.81","10,271,600","GM"
"4","Feb 13, 2018","41.70","42.07","41.37","41.40","41.40","8,937,200","GM"
"5","Feb 12, 2018","41.95","42.62","41.61","42.00","42.00","19,392,000","GM"
"6","Feb 09, 2018","41.16","41.97","40.23","41.46","41.46","19,598,000","GM"
"7","Feb 08, 2018","42.46","42.71","40.74","40.75","40.75","18,035,400","GM"
"8","Feb 07, 2018","41.80","43.56","41.65","42.39","42.39","19,402,900","GM"
"9","Feb 06, 2018","40.06","42.23","40.00","41.86","41.86","26,988,300","GM"
"10","Feb 05, 2018","40.98","41.67","39.51","39.54","39.54","19,660,600","GM"
"11","Feb 02, 2018","42.22","42.27","40.85","41.00","41.00","13,982,100","GM"
"12","Feb 01, 2018","42.12","42.60","41.95","42.43","42.43","9,629,800","GM"
"13","Jan 31, 2018","42.78","42.95","42.14","42.41","42.41","19,781,200","GM"
"14","Jan 30, 2018","42.83","43.22","42.52","42.70","42.70","8,459,700","GM"
"15","Jan 29, 2018","43.47","43.78","42.98","43.02","43.02","8,177,500","GM"
"16","Jan 26, 2018","43.32","43.57","42.99","43.49","43.49","9,131,200","GM"
"17","Jan 25, 2018","44.46","44.48","42.98","43.16","43.16","11,386,000","GM"
"18","Jan 24, 2018","43.50","44.40","43.45","44.16","44.16","11,321,700","GM"
"19","Jan 23, 2018","43.34","43.44","42.91","43.38","43.38","14,127,600","GM"
"20","Jan 22, 2018","43.16","43.42","42.82","43.29","43.29","19,562,100","GM"
"21","Jan 19, 2018","44.05","44.09","43.04","43.15","43.15","14,470,800","GM"
"22","Jan 18, 2018","44.18","44.19","43.64","43.86","43.86","11,868,100","GM"
"23","Jan 17, 2018","44.01","44.27","43.40","44.03","44.03","15,855,700","GM"
"24","Jan 16, 2018","45.10","45.52","43.75","44.19","44.19","20,169,300","GM"
"25","Jan 12, 2018","44.15","44.70","43.66","44.07","44.07","14,914,600","GM"
"26","Jan 11, 2018","43.28","44.27","43.16","44.19","44.19","11,245,800","GM"
"27","Jan 10, 2018","43.84","44.14","42.61","43.00","43.00","18,281,500","GM"
"28","Jan 09, 2018","44.31","44.59","43.74","44.05","44.05","7,768,100","GM"
"29","Jan 08, 2018","44.04","44.59","43.52","44.22","44.22","13,099,600","GM"
"30","Jan 05, 2018","44.50","44.64","43.96","44.01","44.01","9,643,300","GM"
"31","Jan 04, 2018","43.09","44.25","43.01","44.14","44.14","17,298,700","GM"
"32","Jan 03, 2018","42.21","42.95","42.20","42.82","42.82","14,591,600","GM"
"33","Jan 02, 2018","41.24","41.87","41.15","41.80","41.80","6,934,600","GM"
"34","Dec 29, 2017","41.52","41.59","40.99","40.99","40.99","6,581,400","GM"
"35","Dec 28, 2017","41.34","41.44","41.20","41.38","41.38","5,005,300","GM"
"36","Dec 27, 2017","41.76","41.85","41.30","41.31","41.31","4,933,600","GM"
"37","Dec 26, 2017","41.86","42.09","41.63","41.80","41.80","3,368,900","GM"
"38","Dec 22, 2017","42.30","42.31","41.81","42.02","42.02","4,907,100","GM"
"39","Dec 21, 2017","42.58","42.75","42.13","42.16","42.16","10,144,700","GM"
"40","Dec 20, 2017","42.74","42.78","42.39","42.52","42.52","8,636,700","GM"
"41","Dec 19, 2017","42.71","42.80","42.44","42.49","42.49","13,259,200","GM"
"42","Dec 18, 2017","41.27","42.32","41.25","42.15","42.15","22,135,100","GM"
"43","Dec 15, 2017","40.92","41.33","40.92","40.95","40.95","24,491,700","GM"
"44","Dec 14, 2017","41.38","41.44","40.70","40.81","40.81","9,276,400","GM"
