"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","1,088.41","1,104.67","1,088.31","1,094.80","1,094.80","1,679,500","GOOG"
"2","Feb 15, 2018","1,079.07","1,091.48","1,064.34","1,089.52","1,089.52","1,843,400","GOOG"
"3","Feb 14, 2018","1,048.95","1,071.72","1,046.75","1,069.70","1,069.70","1,555,800","GOOG"
"4","Feb 13, 2018","1,045.00","1,058.37","1,044.09","1,052.10","1,052.10","1,265,100","GOOG"
"5","Feb 12, 2018","1,048.00","1,061.50","1,040.93","1,051.94","1,051.94","2,057,700","GOOG"
"6","Feb 09, 2018","1,017.25","1,043.97","992.56","1,037.78","1,037.78","3,505,900","GOOG"
"7","Feb 08, 2018","1,055.41","1,058.62","1,000.66","1,001.52","1,001.52","2,859,100","GOOG"
"8","Feb 07, 2018","1,081.54","1,081.78","1,048.26","1,048.58","1,048.58","2,369,200","GOOG"
"9","Feb 06, 2018","1,027.18","1,081.71","1,023.14","1,080.60","1,080.60","3,448,000","GOOG"
"10","Feb 05, 2018","1,090.60","1,110.00","1,052.03","1,055.80","1,055.80","3,798,300","GOOG"
"11","Feb 02, 2018","1,122.00","1,123.07","1,107.28","1,111.90","1,111.90","4,857,900","GOOG"
"12","Feb 01, 2018","1,162.61","1,174.00","1,157.52","1,167.70","1,167.70","2,412,100","GOOG"
"13","Jan 31, 2018","1,170.57","1,173.00","1,159.13","1,169.94","1,169.94","1,538,700","GOOG"
"14","Jan 30, 2018","1,167.83","1,176.52","1,163.52","1,163.69","1,163.69","1,556,300","GOOG"
"15","Jan 29, 2018","1,176.48","1,186.89","1,171.98","1,175.58","1,175.58","1,378,900","GOOG"
"16","Jan 26, 2018","1,175.08","1,175.84","1,158.11","1,175.84","1,175.84","2,018,800","GOOG"
"17","Jan 25, 2018","1,172.53","1,175.94","1,162.76","1,170.37","1,170.37","1,480,500","GOOG"
"18","Jan 24, 2018","1,177.33","1,179.86","1,161.05","1,164.24","1,164.24","1,416,600","GOOG"
"19","Jan 23, 2018","1,159.85","1,171.63","1,158.75","1,169.97","1,169.97","1,333,100","GOOG"
"20","Jan 22, 2018","1,137.49","1,159.88","1,135.11","1,155.81","1,155.81","1,618,000","GOOG"
"21","Jan 19, 2018","1,131.83","1,137.86","1,128.30","1,137.51","1,137.51","1,778,200","GOOG"
"22","Jan 18, 2018","1,131.41","1,132.51","1,117.50","1,129.79","1,129.79","1,198,200","GOOG"
"23","Jan 17, 2018","1,126.22","1,132.60","1,117.01","1,131.98","1,131.98","1,202,600","GOOG"
"24","Jan 16, 2018","1,132.51","1,139.91","1,117.83","1,121.76","1,121.76","1,575,300","GOOG"
"25","Jan 12, 2018","1,102.41","1,124.29","1,101.15","1,122.26","1,122.26","1,720,500","GOOG"
"26","Jan 11, 2018","1,106.30","1,106.53","1,099.59","1,105.52","1,105.52","978,300","GOOG"
"27","Jan 10, 2018","1,097.10","1,104.60","1,096.11","1,102.61","1,102.61","1,042,800","GOOG"
"28","Jan 09, 2018","1,109.40","1,110.57","1,101.23","1,106.26","1,106.26","902,500","GOOG"
"29","Jan 08, 2018","1,102.23","1,111.27","1,101.62","1,106.94","1,106.94","1,047,600","GOOG"
"30","Jan 05, 2018","1,094.00","1,104.25","1,092.00","1,102.23","1,102.23","1,279,100","GOOG"
"31","Jan 04, 2018","1,088.00","1,093.57","1,084.00","1,086.40","1,086.40","1,004,600","GOOG"
"32","Jan 03, 2018","1,064.31","1,086.29","1,063.21","1,082.48","1,082.48","1,430,200","GOOG"
"33","Jan 02, 2018","1,048.34","1,066.94","1,045.23","1,065.00","1,065.00","1,237,600","GOOG"
"34","Dec 29, 2017","1,046.72","1,049.70","1,044.90","1,046.40","1,046.40","887,500","GOOG"
"35","Dec 28, 2017","1,051.60","1,054.75","1,044.77","1,048.14","1,048.14","837,100","GOOG"
"36","Dec 27, 2017","1,057.39","1,058.37","1,048.05","1,049.37","1,049.37","1,271,900","GOOG"
"37","Dec 26, 2017","1,058.07","1,060.12","1,050.20","1,056.74","1,056.74","760,600","GOOG"
"38","Dec 22, 2017","1,061.11","1,064.20","1,059.44","1,060.12","1,060.12","755,100","GOOG"
"39","Dec 21, 2017","1,064.95","1,069.33","1,061.79","1,063.63","1,063.63","995,700","GOOG"
"40","Dec 20, 2017","1,071.78","1,073.38","1,061.52","1,064.95","1,064.95","1,268,600","GOOG"
"41","Dec 19, 2017","1,075.20","1,076.84","1,063.55","1,070.68","1,070.68","1,338,700","GOOG"
"42","Dec 18, 2017","1,066.08","1,078.49","1,062.00","1,077.14","1,077.14","1,554,600","GOOG"
"43","Dec 15, 2017","1,054.61","1,067.62","1,049.50","1,064.19","1,064.19","3,275,900","GOOG"
"44","Dec 14, 2017","1,045.00","1,058.50","1,043.11","1,049.15","1,049.15","1,558,700","GOOG"
"45","Dec 13, 2017","1,046.12","1,046.67","1,038.38","1,040.61","1,040.61","1,282,700","GOOG"
"46","Dec 12, 2017","1,039.63","1,050.31","1,033.69","1,040.48","1,040.48","1,279,500","GOOG"
"47","Dec 11, 2017","1,035.50","1,043.80","1,032.05","1,041.10","1,041.10","1,192,800","GOOG"
"48","Dec 08, 2017","1,037.49","1,042.05","1,032.52","1,037.05","1,037.05","1,290,800","GOOG"
"49","Dec 07, 2017","1,020.43","1,034.24","1,018.07","1,030.93","1,030.93","1,458,200","GOOG"
"50","Dec 06, 2017","1,001.50","1,024.97","1,001.14","1,018.38","1,018.38","1,272,000","GOOG"
"51","Dec 05, 2017","995.94","1,020.61","988.28","1,005.15","1,005.15","2,067,300","GOOG"
"52","Dec 04, 2017","1,012.66","1,016.10","995.57","998.68","998.68","1,906,400","GOOG"
"53","Dec 01, 2017","1,015.80","1,022.49","1,002.02","1,010.17","1,010.17","1,909,600","GOOG"
"54","Nov 30, 2017","1,022.37","1,028.49","1,015.00","1,021.41","1,021.41","1,724,000","GOOG"
"55","Nov 29, 2017","1,042.68","1,044.08","1,015.65","1,021.66","1,021.66","2,459,400","GOOG"
"56","Nov 28, 2017","1,055.09","1,062.38","1,040.00","1,047.41","1,047.41","1,424,400","GOOG"
"57","Nov 27, 2017","1,040.00","1,055.46","1,038.44","1,054.21","1,054.21","1,307,900","GOOG"
"58","Nov 24, 2017","1,035.87","1,043.18","1,035.00","1,040.61","1,040.61","537,000","GOOG"
"59","Nov 22, 2017","1,035.00","1,039.71","1,031.43","1,035.96","1,035.96","746,300","GOOG"
"60","Nov 21, 2017","1,023.31","1,035.11","1,022.66","1,034.49","1,034.49","1,097,000","GOOG"
"61","Nov 20, 2017","1,020.26","1,022.61","1,017.50","1,018.38","1,018.38","953,500","GOOG"
"62","Nov 17, 2017","1,034.01","1,034.42","1,017.75","1,019.09","1,019.09","1,397,100","GOOG"
"63","Nov 16, 2017","1,022.52","1,035.92","1,022.52","1,032.50","1,032.50","1,129,700","GOOG"
"64","Nov 15, 2017","1,019.21","1,024.09","1,015.42","1,020.91","1,020.91","854,000","GOOG"
"65","Nov 14, 2017","1,022.59","1,026.81","1,014.15","1,026.00","1,026.00","959,200","GOOG"
"66","Nov 13, 2017","1,023.42","1,031.58","1,022.57","1,025.75","1,025.75","885,800","GOOG"
"67","Nov 10, 2017","1,026.46","1,030.76","1,025.28","1,028.07","1,028.07","720,000","GOOG"
"68","Nov 09, 2017","1,033.99","1,033.99","1,019.67","1,031.26","1,031.26","1,245,200","GOOG"
"69","Nov 08, 2017","1,030.52","1,043.52","1,028.45","1,039.85","1,039.85","1,088,700","GOOG"
"70","Nov 07, 2017","1,027.27","1,033.97","1,025.13","1,033.33","1,033.33","1,112,300","GOOG"
"71","Nov 06, 2017","1,028.99","1,034.87","1,025.00","1,025.90","1,025.90","1,125,200","GOOG"
