"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","1,093.38","1,108.31","1,091.55","1,095.50","1,095.50","1,985,100","GOOGL"
"2","Feb 15, 2018","1,083.45","1,094.10","1,067.23","1,091.36","1,091.36","1,869,800","GOOGL"
"3","Feb 14, 2018","1,054.32","1,075.47","1,049.80","1,072.70","1,072.70","2,065,200","GOOGL"
"4","Feb 13, 2018","1,050.00","1,061.22","1,046.92","1,054.14","1,054.14","1,579,300","GOOGL"
"5","Feb 12, 2018","1,056.67","1,065.57","1,045.49","1,054.56","1,054.56","2,812,000","GOOGL"
"6","Feb 09, 2018","1,025.88","1,051.72","997.00","1,046.27","1,046.27","4,918,000","GOOGL"
"7","Feb 08, 2018","1,059.87","1,063.93","1,004.70","1,007.71","1,007.71","3,339,600","GOOGL"
"8","Feb 07, 2018","1,084.97","1,086.53","1,054.62","1,055.41","1,055.41","2,597,100","GOOGL"
"9","Feb 06, 2018","1,033.98","1,087.38","1,030.01","1,084.43","1,084.43","3,831,500","GOOGL"
"10","Feb 05, 2018","1,100.61","1,114.99","1,056.74","1,062.39","1,062.39","4,177,500","GOOGL"
"11","Feb 02, 2018","1,127.42","1,131.30","1,111.17","1,119.20","1,119.20","5,892,100","GOOGL"
"12","Feb 01, 2018","1,175.99","1,187.45","1,169.36","1,181.59","1,181.59","3,675,700","GOOGL"
"13","Jan 31, 2018","1,183.81","1,186.32","1,172.10","1,182.22","1,182.22","1,801,100","GOOGL"
"14","Jan 30, 2018","1,177.72","1,187.93","1,174.51","1,177.37","1,177.37","1,866,900","GOOGL"
"15","Jan 29, 2018","1,188.00","1,198.00","1,184.06","1,186.48","1,186.48","1,574,700","GOOGL"
"16","Jan 26, 2018","1,187.53","1,187.56","1,168.03","1,187.56","1,187.56","2,108,500","GOOGL"
"17","Jan 25, 2018","1,180.71","1,185.00","1,171.84","1,182.14","1,182.14","1,499,200","GOOGL"
"18","Jan 24, 2018","1,184.98","1,187.05","1,167.40","1,171.29","1,171.29","1,856,400","GOOGL"
"19","Jan 23, 2018","1,170.62","1,178.51","1,167.25","1,176.17","1,176.17","1,956,900","GOOGL"
"20","Jan 22, 2018","1,143.82","1,166.88","1,141.82","1,164.16","1,164.16","1,477,500","GOOGL"
"21","Jan 19, 2018","1,138.03","1,143.78","1,132.50","1,143.50","1,143.50","1,527,600","GOOGL"
"22","Jan 18, 2018","1,139.35","1,140.59","1,124.46","1,135.97","1,135.97","1,374,900","GOOGL"
"23","Jan 17, 2018","1,136.36","1,139.32","1,123.49","1,139.10","1,139.10","1,391,500","GOOGL"
"24","Jan 16, 2018","1,140.31","1,148.88","1,126.66","1,130.70","1,130.70","1,823,100","GOOGL"
"25","Jan 12, 2018","1,110.10","1,131.30","1,108.01","1,130.65","1,130.65","1,929,300","GOOGL"
"26","Jan 11, 2018","1,112.31","1,114.85","1,106.48","1,112.05","1,112.05","1,121,200","GOOGL"
"27","Jan 10, 2018","1,107.00","1,112.78","1,103.98","1,110.14","1,110.14","1,036,700","GOOGL"
