"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","265.99","269.28","265.90","267.62","267.62","2,598,700","GS"
"2","Feb 15, 2018","265.76","268.00","262.91","267.68","267.68","3,523,100","GS"
"3","Feb 14, 2018","255.00","262.71","254.48","262.58","262.58","3,793,800","GS"
"4","Feb 13, 2018","252.01","256.40","250.58","255.53","255.53","2,700,500","GS"
"5","Feb 12, 2018","251.15","256.15","248.82","253.16","253.16","3,692,500","GS"
"6","Feb 09, 2018","249.62","251.67","239.29","249.30","249.30","5,978,600","GS"
"7","Feb 08, 2018","257.93","258.78","246.05","246.35","246.35","4,166,200","GS"
"8","Feb 07, 2018","255.90","261.95","255.66","257.10","257.10","4,125,000","GS"
"9","Feb 06, 2018","244.21","258.75","242.11","258.70","258.70","6,739,900","GS"
"10","Feb 05, 2018","257.51","263.30","241.50","249.11","249.11","6,528,500","GS"
"11","Feb 02, 2018","270.00","271.75","259.35","260.04","260.04","5,913,900","GS"
"12","Feb 01, 2018","266.15","272.59","266.00","272.23","272.23","3,388,200","GS"
"13","Jan 31, 2018","268.55","270.00","266.33","267.89","267.89","3,710,200","GS"
"14","Jan 30, 2018","270.39","272.00","267.11","268.94","268.94","3,970,400","GS"
"15","Jan 29, 2018","269.04","273.79","268.81","272.48","272.48","3,881,100","GS"
"16","Jan 26, 2018","267.49","269.00","266.05","268.14","268.14","3,535,400","GS"
"17","Jan 25, 2018","266.35","270.50","265.01","269.03","269.03","5,055,000","GS"
"18","Jan 24, 2018","260.74","265.78","260.30","265.68","265.68","4,314,000","GS"
"19","Jan 23, 2018","258.00","260.26","256.85","260.09","260.09","4,003,600","GS"
"20","Jan 22, 2018","255.45","262.87","255.19","261.52","261.52","5,264,700","GS"
"21","Jan 19, 2018","251.00","256.14","250.26","256.12","256.12","4,643,400","GS"
"22","Jan 18, 2018","254.49","254.54","250.60","250.97","250.97","4,984,500","GS"
"23","Jan 17, 2018","260.98","262.00","248.84","253.65","253.65","8,608,100","GS"
"24","Jan 16, 2018","259.25","261.77","256.40","258.46","258.46","4,445,500","GS"
"25","Jan 12, 2018","255.75","257.30","254.09","257.03","257.03","2,849,200","GS"
"26","Jan 11, 2018","255.75","255.89","252.97","255.13","255.13","2,422,400","GS"
"27","Jan 10, 2018","255.00","255.15","252.35","254.33","254.33","2,927,200","GS"
"28","Jan 09, 2018","252.80","255.60","252.62","253.94","253.94","2,637,300","GS"
"29","Jan 08, 2018","254.75","255.18","251.62","251.81","251.81","2,940,500","GS"
