"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","46.76","47.99","46.53","47.50","47.50","12,150,300","HAL"
"2","Feb 15, 2018","47.50","47.65","46.33","46.89","46.89","15,759,700","HAL"
"3","Feb 14, 2018","46.88","48.18","46.71","47.87","47.87","8,741,200","HAL"
"4","Feb 13, 2018","47.55","47.72","46.87","47.39","47.39","6,857,700","HAL"
"5","Feb 12, 2018","47.41","48.50","47.29","47.92","47.92","12,278,300","HAL"
"6","Feb 09, 2018","47.74","48.06","45.10","46.70","46.70","17,765,800","HAL"
"7","Feb 08, 2018","49.94","50.00","47.38","47.41","47.41","13,885,400","HAL"
"8","Feb 07, 2018","50.77","51.41","49.68","49.69","49.69","8,631,600","HAL"
"9","Feb 06, 2018","48.76","51.27","48.57","50.63","50.63","11,153,200","HAL"
"10","Feb 05, 2018","51.49","52.42","49.67","50.04","50.04","12,398,500","HAL"
"11","Feb 02, 2018","54.00","54.10","51.68","52.19","52.19","14,070,800","HAL"
"12","Feb 01, 2018","53.63","54.70","53.43","54.51","54.51","8,530,400","HAL"
"13","Jan 31, 2018","54.18","54.43","52.81","53.70","53.70","8,580,800","HAL"
"14","Jan 30, 2018","54.24","54.25","53.09","54.14","54.14","10,719,500","HAL"
"15","Jan 29, 2018","55.32","55.60","54.61","54.80","54.80","8,567,500","HAL"
"16","Jan 26, 2018","55.50","55.96","55.16","55.61","55.61","7,495,100","HAL"
"17","Jan 25, 2018","55.67","56.26","55.15","55.20","55.20","9,436,100","HAL"
"18","Jan 24, 2018","56.73","56.84","55.32","55.34","55.34","12,321,200","HAL"
"19","Jan 23, 2018","56.63","57.86","56.47","56.83","56.83","13,756,800","HAL"
"20","Jan 22, 2018","54.02","56.45","53.64","56.40","56.40","17,802,800","HAL"
"21","Jan 19, 2018","52.02","53.18","51.42","53.01","53.01","10,388,000","HAL"
"22","Jan 18, 2018","52.63","53.07","52.21","52.36","52.36","8,388,000","HAL"
"23","Jan 17, 2018","52.48","53.33","52.10","52.85","52.85","8,479,900","HAL"
"24","Jan 16, 2018","53.03","53.21","51.90","52.13","52.13","10,231,600","HAL"
"25","Jan 12, 2018","53.18","53.52","52.68","53.14","53.14","9,026,800","HAL"
"26","Jan 11, 2018","52.57","53.69","52.22","53.33","53.33","9,086,700","HAL"
"27","Jan 10, 2018","52.10","52.59","51.66","52.47","52.47","9,714,200","HAL"
