"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","185.06","187.99","184.86","186.97","186.97","7,565,800","HD"
"2","Feb 15, 2018","186.74","187.19","183.26","185.27","185.27","5,113,300","HD"
"3","Feb 14, 2018","181.88","185.06","181.05","184.69","184.69","6,767,000","HD"
"4","Feb 13, 2018","183.23","183.99","180.89","183.72","183.72","4,273,800","HD"
"5","Feb 12, 2018","186.55","187.01","183.41","184.06","184.06","6,783,700","HD"
"6","Feb 09, 2018","183.25","186.00","175.79","184.12","184.12","9,059,200","HD"
"7","Feb 08, 2018","191.14","191.14","180.93","181.22","181.22","7,241,800","HD"
"8","Feb 07, 2018","190.73","194.52","189.72","191.29","191.29","6,016,800","HD"
"9","Feb 06, 2018","178.62","191.96","175.42","191.04","191.04","11,682,700","HD"
"10","Feb 05, 2018","190.07","194.30","180.38","183.11","183.11","10,618,500","HD"
"11","Feb 02, 2018","199.25","199.30","193.44","193.97","193.97","6,179,000","HD"
"12","Feb 01, 2018","199.34","202.25","198.28","199.90","199.90","3,553,800","HD"
"13","Jan 31, 2018","203.22","205.08","200.23","200.90","200.90","4,547,300","HD"
"14","Jan 30, 2018","201.47","203.15","191.57","201.81","201.81","5,979,600","HD"
"15","Jan 29, 2018","207.23","207.61","204.71","204.92","204.92","3,632,900","HD"
"16","Jan 26, 2018","205.60","207.31","204.44","207.23","207.23","3,778,100","HD"
"17","Jan 25, 2018","206.80","206.83","203.84","205.37","205.37","3,537,700","HD"
"18","Jan 24, 2018","205.20","207.10","204.55","206.22","206.22","4,370,700","HD"
"19","Jan 23, 2018","204.89","206.35","204.15","204.90","204.90","3,621,700","HD"
"20","Jan 22, 2018","201.60","204.47","201.51","204.46","204.46","4,857,700","HD"
"21","Jan 19, 2018","199.81","201.33","199.13","201.33","201.33","5,809,600","HD"
"22","Jan 18, 2018","199.78","200.24","197.66","198.33","198.33","4,474,600","HD"
"23","Jan 17, 2018","197.50","199.82","196.84","199.82","199.82","3,996,100","HD"
"24","Jan 16, 2018","197.86","198.95","195.70","196.31","196.31","5,692,700","HD"
"25","Jan 12, 2018","195.50","199.42","194.82","196.42","196.42","6,748,400","HD"
"26","Jan 11, 2018","191.68","194.73","191.40","194.68","194.68","3,899,200","HD"
"27","Jan 10, 2018","192.76","193.22","191.65","191.80","191.80","3,119,500","HD"
"28","Jan 09, 2018","192.70","193.47","191.64","193.10","193.10","3,012,300","HD"
"29","Jan 08, 2018","191.72","193.72","191.60","192.04","192.04","3,508,500","HD"
"30","Jan 05, 2018","190.93","192.54","190.51","192.50","192.50","4,224,800","HD"
