"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","153.09","155.03","152.79","154.03","154.03","2,776,400","HON"
"2","Feb 15, 2018","151.58","153.86","150.79","153.42","153.42","3,635,300","HON"
"3","Feb 14, 2018","147.81","150.77","147.05","150.38","150.38","2,960,300","HON"
"4","Feb 13, 2018","148.86","149.45","148.10","148.50","148.50","2,815,300","HON"
"5","Feb 12, 2018","149.04","150.63","147.08","149.47","149.47","3,455,600","HON"
"6","Feb 09, 2018","147.02","149.31","143.85","147.90","147.90","5,405,900","HON"
"7","Feb 08, 2018","151.49","151.49","145.72","146.02","146.02","3,362,600","HON"
"8","Feb 07, 2018","151.39","154.53","151.01","151.19","151.19","3,171,900","HON"
"9","Feb 06, 2018","147.68","152.44","147.19","151.40","151.40","5,319,200","HON"
"10","Feb 05, 2018","155.45","157.52","146.99","150.17","150.17","5,772,200","HON"
"11","Feb 02, 2018","158.69","159.51","156.39","156.65","156.65","4,208,700","HON"
"12","Feb 01, 2018","159.00","160.81","158.42","159.65","159.65","2,753,500","HON"
"13","Jan 31, 2018","159.99","160.53","159.30","159.67","159.67","3,289,900","HON"
"14","Jan 30, 2018","160.35","161.00","158.01","158.97","158.97","3,888,200","HON"
"15","Jan 29, 2018","164.85","165.13","161.40","161.47","161.47","3,669,800","HON"
"16","Jan 26, 2018","162.71","165.10","161.00","164.99","164.99","5,019,800","HON"
"17","Jan 25, 2018","160.60","161.89","159.67","161.84","161.84","4,083,100","HON"
"18","Jan 24, 2018","160.23","160.62","159.13","159.97","159.97","2,654,800","HON"
"19","Jan 23, 2018","158.99","160.34","158.76","159.59","159.59","3,902,400","HON"
"20","Jan 22, 2018","158.70","158.97","158.01","158.54","158.54","3,269,300","HON"
"21","Jan 19, 2018","158.41","158.70","157.60","158.69","158.69","3,765,500","HON"
"22","Jan 18, 2018","158.90","159.65","157.77","157.78","157.78","2,655,800","HON"
"23","Jan 17, 2018","157.69","158.95","157.45","158.41","158.41","3,163,100","HON"
"24","Jan 16, 2018","159.14","159.85","157.28","157.89","157.89","3,422,400","HON"
"25","Jan 12, 2018","158.58","159.49","157.80","159.07","159.07","2,343,600","HON"
"26","Jan 11, 2018","157.12","158.00","157.01","157.92","157.92","2,329,400","HON"
"27","Jan 10, 2018","156.17","157.12","155.02","157.09","157.09","2,562,100","HON"
"28","Jan 09, 2018","155.01","156.77","154.81","156.01","156.01","3,391,800","HON"
"29","Jan 08, 2018","156.00","156.14","154.23","154.74","154.74","2,739,900","HON"
"30","Jan 05, 2018","154.98","156.25","154.51","155.58","155.58","2,479,000","HON"
"31","Jan 04, 2018","152.81","154.50","152.71","154.50","154.50","4,496,500","HON"
"32","Jan 03, 2018","152.90","153.60","151.80","152.44","152.44","6,337,600","HON"
"33","Jan 02, 2018","153.82","154.00","152.71","153.71","153.71","2,863,600","HON"
"34","Dec 29, 2017","154.37","154.72","153.36","153.36","153.36","1,669,300","HON"
"35","Dec 28, 2017","154.01","154.39","153.63","154.13","154.13","1,654,100","HON"
"36","Dec 27, 2017","154.03","154.10","153.32","153.95","153.95","1,764,100","HON"
"37","Dec 26, 2017","153.45","154.43","153.45","153.76","153.76","1,407,400","HON"
"38","Dec 22, 2017","154.21","154.29","153.13","153.49","153.49","2,152,000","HON"
"39","Dec 21, 2017","155.14","155.27","153.50","153.72","153.72","4,858,400","HON"
"40","Dec 20, 2017","154.94","155.19","154.10","154.73","154.73","3,582,700","HON"
"41","Dec 19, 2017","155.15","155.42","154.02","154.11","154.11","4,251,300","HON"
"42","Dec 18, 2017","155.00","155.31","154.00","154.59","154.59","3,574,800","HON"
