"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","155.71","157.79","155.69","156.18","156.18","4,239,600","IBM"
"2","Feb 15, 2018","155.50","156.86","153.70","156.01","156.01","5,623,600","IBM"
"3","Feb 14, 2018","150.19","155.00","150.00","154.76","154.76","5,479,000","IBM"
"4","Feb 13, 2018","150.90","151.18","149.64","150.75","150.75","4,891,000","IBM"
"5","Feb 12, 2018","150.90","152.40","150.30","151.40","151.40","5,881,400","IBM"
"6","Feb 09, 2018","148.60","150.54","144.40","149.51","149.51","7,828,300","IBM"
"7","Feb 08, 2018","152.48","153.16","147.50","147.59","147.59","6,779,100","IBM"
"8","Feb 08, 2018","1.5 Dividend","1.5 Dividend","1.5 Dividend","1.5 Dividend","1.5 Dividend","1.5 Dividend","IBM"
"9","Feb 07, 2018","154.17","155.34","153.28","153.85","152.35","6,149,200","IBM"
"10","Feb 06, 2018","150.29","155.49","149.11","155.34","153.83","9,867,700","IBM"
"11","Feb 05, 2018","157.89","158.50","150.00","152.53","151.04","8,746,600","IBM"
"12","Feb 02, 2018","161.70","162.00","158.87","159.03","157.48","5,251,900","IBM"
"13","Feb 01, 2018","163.19","164.13","161.90","162.40","160.82","4,434,200","IBM"
"14","Jan 31, 2018","163.75","164.99","162.76","163.70","162.10","4,072,800","IBM"
"15","Jan 30, 2018","166.21","166.77","163.16","163.62","162.02","4,902,300","IBM"
"16","Jan 29, 2018","167.45","168.39","166.01","166.80","165.17","3,517,000","IBM"
"17","Jan 26, 2018","166.12","167.41","165.79","167.34","165.71","3,787,900","IBM"
"18","Jan 25, 2018","165.91","166.78","165.19","165.47","163.86","3,302,500","IBM"
"19","Jan 24, 2018","166.75","168.72","164.82","165.37","163.76","5,645,000","IBM"
"20","Jan 23, 2018","162.82","166.26","162.51","166.25","164.63","7,466,200","IBM"
"21","Jan 22, 2018","161.51","163.98","161.11","162.60","161.01","8,480,800","IBM"
"22","Jan 19, 2018","164.46","165.40","161.30","162.37","160.79","21,172,500","IBM"
"23","Jan 18, 2018","170.00","171.13","168.15","169.12","167.47","14,259,300","IBM"
"24","Jan 17, 2018","168.01","169.13","167.26","168.65","167.01","11,710,000","IBM"
"25","Jan 16, 2018","165.10","165.29","163.35","163.85","162.25","7,794,200","IBM"
