"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","45.82","46.59","45.51","45.56","45.56","21,450,800","INTC"
"2","Feb 15, 2018","45.88","45.99","44.95","45.92","45.92","23,536,800","INTC"
"3","Feb 14, 2018","44.07","45.51","44.04","45.38","45.38","19,922,000","INTC"
"4","Feb 13, 2018","44.59","44.78","44.26","44.46","44.46","19,517,600","INTC"
"5","Feb 12, 2018","44.15","45.16","44.09","44.83","44.83","28,379,500","INTC"
"6","Feb 09, 2018","43.50","44.28","42.04","43.95","43.95","49,301,100","INTC"
"7","Feb 08, 2018","45.28","45.42","42.74","42.75","42.75","43,151,300","INTC"
"8","Feb 07, 2018","44.58","46.30","44.34","45.20","45.20","37,508,400","INTC"
"9","Feb 06, 2018","44.02","44.93","43.03","44.91","44.91","58,145,400","INTC"
"10","Feb 06, 2018","0.3 Dividend","0.3 Dividend","0.3 Dividend","0.3 Dividend","0.3 Dividend","0.3 Dividend","INTC"
"11","Feb 05, 2018","46.35","47.26","44.50","44.52","44.22","47,869,000","INTC"
"12","Feb 02, 2018","47.32","47.79","46.10","46.15","45.84","28,663,000","INTC"
"13","Feb 01, 2018","47.70","48.47","47.45","47.65","47.33","28,840,400","INTC"
"14","Jan 31, 2018","49.23","49.25","47.56","48.14","47.82","41,619,900","INTC"
"15","Jan 30, 2018","49.48","50.06","48.74","48.79","48.46","32,814,600","INTC"
"16","Jan 29, 2018","49.60","50.85","49.37","49.98","49.64","46,304,000","INTC"
"17","Jan 26, 2018","48.38","50.15","48.12","50.08","49.74","86,916,100","INTC"
"18","Jan 25, 2018","45.88","46.37","45.17","45.30","44.99","36,758,700","INTC"
"19","Jan 24, 2018","45.90","46.13","44.96","45.51","45.20","32,464,200","INTC"
"20","Jan 23, 2018","45.81","46.09","45.63","46.06","45.75","22,135,100","INTC"
"21","Jan 22, 2018","44.80","45.79","44.79","45.75","45.44","27,706,800","INTC"
"22","Jan 19, 2018","44.62","44.89","44.25","44.82","44.52","25,780,200","INTC"
"23","Jan 18, 2018","44.40","44.74","44.17","44.48","44.18","26,826,500","INTC"
"24","Jan 17, 2018","43.55","44.45","43.51","44.39","44.09","32,368,600","INTC"
"25","Jan 16, 2018","43.55","43.79","42.89","43.14","42.85","38,367,200","INTC"
"26","Jan 12, 2018","43.45","43.60","43.01","43.24","42.95","29,973,600","INTC"
"27","Jan 11, 2018","42.80","43.58","42.45","43.41","43.12","35,371,500","INTC"
"28","Jan 10, 2018","43.33","43.60","42.44","42.50","42.21","45,735,000","INTC"
"29","Jan 09, 2018","44.70","44.84","43.49","43.62","43.33","44,282,300","INTC"
"30","Jan 08, 2018","44.27","44.84","43.96","44.74","44.44","33,733,800","INTC"
"31","Jan 05, 2018","44.43","45.15","43.90","44.74","44.44","41,824,000","INTC"
"32","Jan 04, 2018","43.52","44.65","42.69","44.43","44.13","89,209,100","INTC"
"33","Jan 03, 2018","45.47","46.21","43.65","45.26","44.96","116,479,000","INTC"
"34","Jan 02, 2018","46.38","46.90","46.21","46.85","46.53","23,370,800","INTC"
"35","Dec 29, 2017","46.21","46.49","46.09","46.16","45.85","17,394,500","INTC"
"36","Dec 28, 2017","46.36","46.36","45.95","46.22","45.91","9,504,400","INTC"
"37","Dec 27, 2017","46.11","46.36","46.00","46.11","45.80","13,359,700","INTC"
"38","Dec 26, 2017","46.28","46.47","45.95","46.08","45.77","15,533,300","INTC"
"39","Dec 22, 2017","46.33","47.02","46.02","46.70","46.39","33,913,500","INTC"
"40","Dec 21, 2017","47.54","47.59","46.56","46.76","46.44","42,963,500","INTC"
"41","Dec 20, 2017","47.47","47.64","46.66","47.56","47.24","40,935,000","INTC"
"42","Dec 19, 2017","46.30","47.26","45.89","47.04","46.72","41,421,100","INTC"
"43","Dec 18, 2017","45.15","46.35","45.04","46.26","45.95","50,369,300","INTC"
"44","Dec 15, 2017","43.40","44.84","43.07","44.56","44.26","47,477,000","INTC"
"45","Dec 14, 2017","43.43","43.57","43.02","43.26","42.97","19,644,900","INTC"
"46","Dec 13, 2017","43.65","43.66","43.24","43.34","43.05","21,399,500","INTC"
"47","Dec 12, 2017","43.47","43.62","43.08","43.33","43.04","16,557,400","INTC"
"48","Dec 11, 2017","43.28","43.78","43.25","43.66","43.37","20,425,900","INTC"
"49","Dec 08, 2017","43.35","43.58","43.11","43.35","43.06","23,154,700","INTC"
"50","Dec 07, 2017","43.46","43.60","42.78","43.08","42.79","32,708,400","INTC"
"51","Dec 06, 2017","43.14","43.72","42.67","43.45","43.16","27,710,800","INTC"
"52","Dec 05, 2017","44.60","44.90","43.23","43.44","43.15","30,626,900","INTC"
"53","Dec 04, 2017","45.02","45.30","44.33","44.49","44.19","28,000,800","INTC"
"54","Dec 01, 2017","44.73","44.84","43.53","44.68","44.38","26,656,300","INTC"
"55","Nov 30, 2017","44.36","45.20","44.33","44.84","44.54","34,145,300","INTC"
"56","Nov 29, 2017","44.85","45.09","43.77","43.95","43.65","27,036,900","INTC"
"57","Nov 28, 2017","44.65","44.84","44.32","44.73","44.43","20,194,100","INTC"
"58","Nov 27, 2017","44.42","44.61","44.27","44.49","44.19","18,202,100","INTC"
"59","Nov 24, 2017","44.55","44.78","44.43","44.75","44.45","6,465,800","INTC"
"60","Nov 22, 2017","44.94","44.95","44.54","44.65","44.35","19,538,300","INTC"
"61","Nov 21, 2017","44.72","45.22","44.71","44.94","44.64","21,871,000","INTC"
"62","Nov 20, 2017","44.73","45.12","44.50","44.62","44.32","22,420,000","INTC"
"63","Nov 17, 2017","45.50","45.62","44.62","44.63","44.33","63,798,000","INTC"
"64","Nov 16, 2017","45.63","46.07","45.46","45.65","45.34","26,439,400","INTC"
"65","Nov 15, 2017","45.39","45.81","45.17","45.46","45.15","17,157,200","INTC"
"66","Nov 14, 2017","45.70","45.92","45.32","45.86","45.55","22,201,200","INTC"
"67","Nov 13, 2017","45.26","45.94","45.25","45.75","45.44","18,999,000","INTC"
"68","Nov 10, 2017","46.04","46.09","45.38","45.58","45.27","24,095,400","INTC"
"69","Nov 09, 2017","46.05","46.39","45.65","46.30","45.99","25,570,400","INTC"
"70","Nov 08, 2017","46.62","46.70","46.28","46.70","46.39","21,565,800","INTC"
"71","Nov 07, 2017","46.70","47.09","46.39","46.78","46.46","24,461,400","INTC"
"72","Nov 06, 2017","46.60","46.74","46.09","46.70","46.39","34,035,000","INTC"
"73","Nov 06, 2017","0.273 Dividend","0.273 Dividend","0.273 Dividend","0.273 Dividend","0.273 Dividend","0.273 Dividend","INTC"
"74","Nov 03, 2017","47.20","47.30","45.60","46.34","45.76","39,298,100","INTC"
"75","Nov 02, 2017","46.61","47.23","46.21","47.10","46.51","44,602,300","INTC"
"76","Nov 01, 2017","45.97","46.71","45.59","46.71","46.12","47,813,700","INTC"
"77","Oct 31, 2017","45.20","45.80","44.65","45.49","44.92","47,000,900","INTC"
"78","Oct 30, 2017","44.48","45.19","43.88","44.37","43.81","48,161,500","INTC"
"79","Oct 27, 2017","43.30","45.00","43.10","44.40","43.84","90,028,300","INTC"
"80","Oct 26, 2017","40.91","41.58","40.71","41.35","40.83","38,247,400","INTC"
"81","Oct 25, 2017","40.89","41.06","40.49","40.78","40.27","24,031,700","INTC"
"82","Oct 24, 2017","41.00","41.05","40.72","40.95","40.43","19,652,400","INTC"
"83","Oct 23, 2017","40.55","41.04","40.40","40.83","40.32","28,647,000","INTC"
"84","Oct 20, 2017","40.33","40.45","40.10","40.43","39.92","18,335,700","INTC"
"85","Oct 19, 2017","39.88","40.33","39.83","40.09","39.59","19,222,700","INTC"
