"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","130.96","134.45","130.84","133.15","133.15","7,917,300","JNJ"
"2","Feb 15, 2018","130.10","131.28","129.40","131.23","131.23","5,606,400","JNJ"
"3","Feb 14, 2018","129.44","130.01","128.39","129.67","129.67","6,259,700","JNJ"
"4","Feb 13, 2018","129.21","130.60","128.70","129.96","129.96","6,339,000","JNJ"
"5","Feb 12, 2018","130.00","131.32","127.68","130.27","130.27","9,963,900","JNJ"
"6","Feb 09, 2018","127.52","130.92","125.44","129.53","129.53","15,030,900","JNJ"
"7","Feb 08, 2018","130.91","131.25","126.11","126.36","126.36","11,680,200","JNJ"
"8","Feb 07, 2018","131.89","133.43","131.35","131.42","131.42","10,550,400","JNJ"
"9","Feb 06, 2018","130.01","132.99","128.00","131.83","131.83","19,193,500","JNJ"
"10","Feb 05, 2018","136.58","137.00","122.15","130.39","130.39","19,954,100","JNJ"
"11","Feb 02, 2018","139.02","140.36","137.38","137.68","137.68","9,262,500","JNJ"
"12","Feb 01, 2018","137.53","140.67","137.00","140.02","140.02","9,393,600","JNJ"
"13","Jan 31, 2018","142.57","142.57","138.10","138.19","138.19","13,137,400","JNJ"
"14","Jan 30, 2018","143.40","143.82","142.43","142.43","142.43","8,376,100","JNJ"
"15","Jan 29, 2018","144.85","144.94","143.53","143.68","143.68","8,013,400","JNJ"
"16","Jan 26, 2018","144.50","145.60","144.13","145.33","145.33","8,065,600","JNJ"
"17","Jan 25, 2018","142.31","144.66","142.21","144.40","144.40","7,938,800","JNJ"
"18","Jan 24, 2018","143.50","143.56","141.80","142.07","142.07","13,034,400","JNJ"
"19","Jan 23, 2018","146.96","147.44","141.62","141.83","141.83","17,473,600","JNJ"
"20","Jan 22, 2018","147.01","148.14","146.72","148.14","148.14","7,010,400","JNJ"
"21","Jan 19, 2018","147.46","147.65","146.42","147.36","147.36","8,738,800","JNJ"
"22","Jan 18, 2018","146.93","147.44","145.97","146.92","146.92","5,554,800","JNJ"
"23","Jan 17, 2018","147.84","148.32","145.48","146.98","146.98","10,619,700","JNJ"
"24","Jan 16, 2018","146.42","148.06","146.03","146.86","146.86","8,804,000","JNJ"
"25","Jan 12, 2018","144.99","146.42","144.90","145.76","145.76","5,450,600","JNJ"
"26","Jan 11, 2018","144.13","144.90","143.69","144.79","144.79","4,962,200","JNJ"
"27","Jan 10, 2018","143.55","144.16","143.32","143.97","143.97","6,558,600","JNJ"
"28","Jan 09, 2018","142.37","145.68","142.26","144.14","144.14","8,897,000","JNJ"
"29","Jan 08, 2018","141.70","142.00","140.92","141.89","141.89","5,129,800","JNJ"
"30","Jan 05, 2018","140.69","141.82","140.28","141.71","141.71","6,158,800","JNJ"
"31","Jan 04, 2018","140.45","141.14","140.22","140.55","140.55","4,837,600","JNJ"
"32","Jan 03, 2018","139.36","140.68","138.90","140.56","140.56","5,350,500","JNJ"
"33","Jan 02, 2018","139.66","139.95","138.72","139.23","139.23","6,842,100","JNJ"
"34","Dec 29, 2017","140.98","141.21","139.58","139.72","139.72","4,452,900","JNJ"
"35","Dec 28, 2017","140.70","141.00","140.33","140.56","140.56","2,485,000","JNJ"
"36","Dec 27, 2017","140.42","141.15","140.20","140.57","140.57","3,753,600","JNJ"
"37","Dec 26, 2017","140.46","140.54","139.68","140.09","140.09","3,271,100","JNJ"
"38","Dec 22, 2017","141.00","141.35","140.04","140.12","140.12","4,665,600","JNJ"
"39","Dec 21, 2017","141.59","142.17","141.02","141.06","141.06","6,284,700","JNJ"
"40","Dec 20, 2017","142.26","142.58","141.08","141.16","141.16","6,289,800","JNJ"
"41","Dec 19, 2017","141.89","142.38","141.36","141.78","141.78","6,580,100","JNJ"
"42","Dec 18, 2017","142.56","143.80","141.40","141.80","141.80","5,833,200","JNJ"
"43","Dec 15, 2017","142.48","143.14","141.78","142.46","142.46","12,517,000","JNJ"
"44","Dec 14, 2017","143.52","143.62","141.61","141.65","141.65","5,337,900","JNJ"
"45","Dec 13, 2017","142.50","143.43","142.21","142.89","142.89","6,118,400","JNJ"
"46","Dec 12, 2017","142.60","143.57","142.04","142.60","142.60","8,016,700","JNJ"
"47","Dec 11, 2017","140.90","141.17","139.83","141.14","141.14","4,358,600","JNJ"
"48","Dec 08, 2017","140.00","140.76","139.80","140.59","140.59","5,101,300","JNJ"
"49","Dec 07, 2017","140.01","141.50","139.26","140.01","140.01","4,713,100","JNJ"
"50","Dec 06, 2017","140.84","141.96","140.19","141.06","141.06","5,591,700","JNJ"
"51","Dec 05, 2017","139.79","140.81","139.20","139.67","139.67","6,745,300","JNJ"
"52","Dec 04, 2017","140.62","141.50","138.93","139.01","139.01","5,916,700","JNJ"
"53","Dec 01, 2017","139.57","140.53","138.60","139.98","139.98","5,990,500","JNJ"
"54","Nov 30, 2017","140.06","140.28","138.48","139.33","139.33","8,941,900","JNJ"
"55","Nov 29, 2017","140.22","140.63","138.95","139.81","139.81","5,851,400","JNJ"
"56","Nov 28, 2017","138.30","140.53","138.25","140.02","140.02","5,052,800","JNJ"
"57","Nov 27, 2017","137.51","138.31","137.48","138.10","138.10","3,933,100","JNJ"
"58","Nov 27, 2017","0.84 Dividend","0.84 Dividend","0.84 Dividend","0.84 Dividend","0.84 Dividend","0.84 Dividend","JNJ"
"59","Nov 24, 2017","137.50","138.38","137.31","138.01","137.17","2,606,800","JNJ"
"60","Nov 22, 2017","138.30","138.38","136.60","137.29","136.45","3,917,000","JNJ"
"61","Nov 21, 2017","138.45","139.26","138.19","138.34","137.50","5,660,600","JNJ"
"62","Nov 20, 2017","138.15","138.56","137.74","137.93","137.09","4,266,300","JNJ"
"63","Nov 17, 2017","138.30","138.86","137.89","138.00","137.16","4,247,400","JNJ"
"64","Nov 16, 2017","139.42","139.68","138.64","138.87","138.02","4,193,800","JNJ"
"65","Nov 15, 2017","139.23","139.83","138.75","139.10","138.25","4,811,500","JNJ"
"66","Nov 14, 2017","139.57","140.28","138.92","139.49","138.64","4,078,200","JNJ"
"67","Nov 13, 2017","139.01","140.02","138.42","139.76","138.91","4,322,300","JNJ"
"68","Nov 10, 2017","140.13","140.13","138.61","139.56","138.71","4,240,800","JNJ"
"69","Nov 09, 2017","140.86","141.41","139.80","140.35","139.50","3,517,100","JNJ"
"70","Nov 08, 2017","139.70","141.87","139.46","141.32","140.46","4,440,700","JNJ"
