"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","114.55","116.07","114.50","114.68","114.68","13,134,900","JPM"
"2","Feb 15, 2018","115.74","115.99","114.22","115.51","115.51","12,130,200","JPM"
"3","Feb 14, 2018","112.63","115.27","112.53","115.03","115.03","15,186,900","JPM"
"4","Feb 13, 2018","111.32","113.05","110.80","112.43","112.43","16,358,200","JPM"
"5","Feb 12, 2018","111.17","112.73","110.07","111.74","111.74","18,043,300","JPM"
"6","Feb 09, 2018","109.10","111.05","106.23","110.04","110.04","28,188,000","JPM"
"7","Feb 08, 2018","113.11","113.11","107.84","107.88","107.88","27,425,800","JPM"
"8","Feb 07, 2018","111.55","114.45","111.15","112.87","112.87","21,878,300","JPM"
"9","Feb 06, 2018","106.85","112.48","106.61","112.11","112.11","33,114,800","JPM"
"10","Feb 05, 2018","113.00","114.59","103.98","108.80","108.80","30,097,600","JPM"
"11","Feb 02, 2018","116.49","116.92","114.09","114.28","114.28","16,477,300","JPM"
"12","Feb 01, 2018","115.77","116.99","115.48","116.87","116.87","13,800,600","JPM"
"13","Jan 31, 2018","115.65","116.66","115.16","115.67","115.67","13,141,400","JPM"
"14","Jan 30, 2018","115.53","116.60","114.98","115.11","115.11","14,279,100","JPM"
"15","Jan 29, 2018","116.02","117.35","116.02","116.20","116.20","11,679,900","JPM"
"16","Jan 26, 2018","115.70","116.32","114.96","116.32","116.32","13,883,900","JPM"
"17","Jan 25, 2018","116.04","116.17","115.08","115.70","115.70","13,510,000","JPM"
"18","Jan 24, 2018","114.86","116.00","114.66","115.67","115.67","15,904,500","JPM"
"19","Jan 23, 2018","113.67","114.64","113.35","114.21","114.21","12,320,800","JPM"
"20","Jan 22, 2018","112.66","114.39","112.50","114.33","114.33","12,475,700","JPM"
"21","Jan 19, 2018","113.94","114.34","112.80","113.01","113.01","18,785,500","JPM"
"22","Jan 18, 2018","112.76","113.72","112.27","113.26","113.26","14,572,900","JPM"
"23","Jan 17, 2018","111.89","113.30","111.31","112.99","112.99","14,940,300","JPM"
"24","Jan 16, 2018","111.51","113.43","111.07","112.27","112.27","22,703,300","JPM"
"25","Jan 12, 2018","111.65","112.85","110.84","112.67","112.67","18,884,200","JPM"
"26","Jan 11, 2018","110.67","110.93","110.05","110.84","110.84","13,676,800","JPM"
