"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","69.94","71.25","67.65","70.80","70.80","14,988,800","KHC"
"2","Feb 15, 2018","72.19","72.78","70.65","72.71","72.71","7,410,900","KHC"
"3","Feb 14, 2018","71.34","72.04","70.70","71.92","71.92","5,503,100","KHC"
"4","Feb 13, 2018","71.52","71.99","70.68","71.71","71.71","4,043,600","KHC"
"5","Feb 12, 2018","71.52","72.63","71.45","71.81","71.81","4,372,900","KHC"
"6","Feb 09, 2018","72.00","72.66","70.25","71.38","71.38","6,871,000","KHC"
"7","Feb 08, 2018","73.60","74.04","71.25","71.58","71.58","8,210,800","KHC"
"8","Feb 07, 2018","73.84","74.71","73.52","73.55","73.55","6,753,700","KHC"
"9","Feb 06, 2018","73.84","74.32","72.05","74.31","74.31","7,556,400","KHC"
"10","Feb 05, 2018","77.29","77.94","74.18","74.26","74.26","5,372,900","KHC"
"11","Feb 02, 2018","78.12","78.34","76.65","77.19","77.19","5,239,700","KHC"
"12","Feb 01, 2018","78.12","78.95","77.60","78.57","78.57","3,119,800","KHC"
"13","Jan 31, 2018","78.62","78.88","77.85","78.39","78.39","4,855,700","KHC"
"14","Jan 30, 2018","78.64","79.66","78.43","78.50","78.50","3,334,300","KHC"
"15","Jan 29, 2018","79.17","79.88","78.39","78.42","78.42","3,280,500","KHC"
"16","Jan 26, 2018","79.90","80.00","78.40","79.39","79.39","4,772,400","KHC"
"17","Jan 25, 2018","80.00","80.44","79.38","79.67","79.67","2,927,300","KHC"
"18","Jan 24, 2018","80.50","80.59","79.71","79.86","79.86","3,119,600","KHC"
"19","Jan 23, 2018","79.76","80.53","79.56","80.27","80.27","2,833,000","KHC"
"20","Jan 22, 2018","79.82","80.45","79.76","80.17","80.17","3,988,300","KHC"
"21","Jan 19, 2018","79.53","79.96","79.10","79.66","79.66","3,749,400","KHC"
"22","Jan 18, 2018","80.16","80.60","79.02","79.27","79.27","3,447,200","KHC"
"23","Jan 17, 2018","79.11","80.67","78.79","80.07","80.07","6,547,600","KHC"
"24","Jan 16, 2018","77.97","78.92","77.56","78.64","78.64","5,327,800","KHC"
"25","Jan 12, 2018","77.35","77.57","76.60","77.35","77.35","4,223,500","KHC"
"26","Jan 11, 2018","78.02","78.20","77.02","77.13","77.13","3,493,700","KHC"
"27","Jan 10, 2018","78.65","78.65","77.40","77.89","77.89","3,823,700","KHC"
"28","Jan 09, 2018","78.54","78.72","78.05","78.62","78.62","3,436,500","KHC"
"29","Jan 08, 2018","77.82","78.58","77.82","78.48","78.48","3,126,900","KHC"
"30","Jan 05, 2018","78.04","78.33","77.23","77.84","77.84","4,152,500","KHC"
"31","Jan 04, 2018","77.23","78.22","77.06","77.91","77.91","3,608,500","KHC"
"32","Jan 03, 2018","77.33","77.59","76.90","77.01","77.01","3,369,300","KHC"
"33","Jan 02, 2018","78.22","78.31","76.88","77.02","77.02","4,009,000","KHC"
"34","Dec 29, 2017","77.70","78.68","77.69","77.76","77.76","2,443,700","KHC"
"35","Dec 28, 2017","78.22","78.29","77.72","77.92","77.92","1,883,800","KHC"
"36","Dec 27, 2017","78.24","78.60","77.95","77.98","77.98","1,757,300","KHC"
"37","Dec 26, 2017","78.12","78.47","78.00","78.11","78.11","2,532,000","KHC"
"38","Dec 22, 2017","78.14","78.60","77.88","78.24","78.24","3,091,400","KHC"
"39","Dec 21, 2017","77.84","78.17","77.07","77.88","77.88","4,562,400","KHC"
"40","Dec 20, 2017","78.81","78.89","77.32","77.38","77.38","3,802,400","KHC"
"41","Dec 19, 2017","79.52","79.82","78.39","78.52","78.52","2,889,900","KHC"
"42","Dec 18, 2017","79.98","80.36","79.29","79.37","79.37","2,721,100","KHC"
"43","Dec 15, 2017","79.80","79.83","79.01","79.54","79.54","6,684,900","KHC"
"44","Dec 14, 2017","79.28","79.70","78.87","78.98","78.98","3,321,300","KHC"
"45","Dec 13, 2017","79.25","79.60","78.77","79.28","79.28","3,028,300","KHC"
"46","Dec 12, 2017","78.33","79.09","78.12","78.95","78.95","3,140,800","KHC"
"47","Dec 11, 2017","78.18","78.39","77.19","78.37","78.37","3,988,400","KHC"
"48","Dec 08, 2017","79.60","79.71","77.93","78.48","78.48","5,332,600","KHC"
"49","Dec 07, 2017","80.17","80.50","79.31","79.36","79.36","2,532,300","KHC"
"50","Dec 06, 2017","80.75","81.14","80.24","80.49","80.49","2,582,100","KHC"
"51","Dec 05, 2017","82.05","82.48","80.51","80.64","80.64","3,248,000","KHC"
"52","Dec 04, 2017","81.32","82.29","81.17","81.92","81.92","2,908,100","KHC"
"53","Dec 01, 2017","80.95","81.60","80.29","81.21","81.21","3,360,800","KHC"
"54","Nov 30, 2017","81.44","82.18","80.50","81.37","81.37","4,409,700","KHC"
"55","Nov 29, 2017","78.95","81.56","78.83","81.09","81.09","4,067,400","KHC"
"56","Nov 28, 2017","79.70","79.86","78.71","78.98","78.98","3,165,500","KHC"
"57","Nov 27, 2017","79.76","80.04","79.45","79.61","79.61","4,605,000","KHC"
"58","Nov 24, 2017","80.25","80.35","79.54","79.76","79.76","1,144,800","KHC"
"59","Nov 22, 2017","80.04","80.20","79.59","79.82","79.82","2,923,900","KHC"
"60","Nov 21, 2017","80.12","80.29","79.76","80.01","80.01","2,455,600","KHC"
"61","Nov 20, 2017","79.70","80.96","79.63","79.93","79.93","3,736,700","KHC"
"62","Nov 17, 2017","79.63","80.07","79.28","79.63","79.63","4,263,200","KHC"
"63","Nov 16, 2017","78.72","80.16","78.51","79.68","79.68","3,028,900","KHC"
"64","Nov 16, 2017","0.625 Dividend","0.625 Dividend","0.625 Dividend","0.625 Dividend","0.625 Dividend","0.625 Dividend","KHC"
"65","Nov 15, 2017","79.49","79.89","78.57","78.78","78.15","3,277,400","KHC"
"66","Nov 14, 2017","79.54","79.88","79.03","79.38","78.75","2,839,200","KHC"
"67","Nov 13, 2017","79.66","80.37","79.60","79.85","79.22","3,237,500","KHC"
"68","Nov 10, 2017","78.97","79.88","78.97","79.72","79.09","3,403,000","KHC"
"69","Nov 09, 2017","79.26","79.94","79.02","79.41","78.78","3,431,600","KHC"
"70","Nov 08, 2017","78.64","80.09","78.22","79.58","78.95","4,058,700","KHC"
"71","Nov 07, 2017","76.93","78.64","76.49","78.18","77.56","3,421,700","KHC"
"72","Nov 06, 2017","78.09","78.22","76.51","77.00","76.39","4,682,000","KHC"
"73","Nov 03, 2017","77.87","78.19","77.57","78.00","77.38","4,077,600","KHC"
"74","Nov 02, 2017","76.84","78.19","75.51","78.03","77.41","6,533,400","KHC"
"75","Nov 01, 2017","77.71","77.86","77.08","77.70","77.08","4,052,600","KHC"
"76","Oct 31, 2017","76.18","77.40","76.02","77.33","76.72","4,836,100","KHC"
"77","Oct 30, 2017","77.20","77.22","75.21","75.27","74.67","5,216,300","KHC"
"78","Oct 27, 2017","76.82","77.47","76.24","77.30","76.69","3,751,800","KHC"
"79","Oct 26, 2017","77.59","77.94","77.15","77.30","76.69","2,849,600","KHC"
"80","Oct 25, 2017","76.73","77.42","76.23","77.33","76.72","3,927,100","KHC"
"81","Oct 24, 2017","77.12","77.42","76.93","77.22","76.61","3,061,500","KHC"
"82","Oct 23, 2017","76.88","77.10","76.45","77.06","76.45","4,240,900","KHC"
"83","Oct 20, 2017","76.77","77.10","76.12","76.71","76.10","4,761,200","KHC"
"84","Oct 19, 2017","77.00","77.09","76.31","76.47","75.86","3,965,000","KHC"
"85","Oct 18, 2017","77.41","77.46","76.67","77.10","76.49","3,279,400","KHC"
"86","Oct 17, 2017","77.73","78.01","77.34","77.54","76.92","4,373,400","KHC"
"87","Oct 16, 2017","77.79","78.10","77.48","77.65","77.03","3,432,300","KHC"
"88","Oct 13, 2017","78.55","78.60","77.66","77.74","77.12","3,707,800","KHC"
"89","Oct 12, 2017","78.35","78.65","78.04","78.15","77.53","2,485,400","KHC"
"90","Oct 11, 2017","78.06","78.66","77.92","78.19","77.57","2,327,700","KHC"
"91","Oct 10, 2017","77.75","78.25","77.66","78.14","77.52","2,984,700","KHC"
"92","Oct 09, 2017","78.29","78.62","77.19","77.33","76.72","2,673,700","KHC"
"93","Oct 06, 2017","78.84","78.94","77.99","78.18","77.56","2,355,900","KHC"
"94","Oct 05, 2017","77.95","78.49","77.70","78.25","77.63","2,845,300","KHC"
"95","Oct 04, 2017","77.23","78.15","76.76","77.77","77.15","3,681,100","KHC"
"96","Oct 03, 2017","77.95","78.14","77.29","77.82","77.20","2,372,900","KHC"
"97","Oct 02, 2017","77.55","78.27","76.89","77.85","77.23","3,635,900","KHC"
