"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","17.26","17.34","16.96","17.06","17.06","15,028,800","KMI"
"2","Feb 15, 2018","17.58","17.65","17.15","17.31","17.31","14,914,000","KMI"
"3","Feb 14, 2018","17.21","17.58","17.15","17.45","17.45","10,854,100","KMI"
"4","Feb 13, 2018","17.20","17.45","17.14","17.39","17.39","9,058,300","KMI"
"5","Feb 12, 2018","17.35","17.44","17.05","17.30","17.30","17,074,200","KMI"
"6","Feb 09, 2018","16.96","17.39","16.62","17.24","17.24","30,841,800","KMI"
"7","Feb 08, 2018","17.33","17.56","16.80","16.80","16.80","16,484,100","KMI"
"8","Feb 07, 2018","17.30","17.54","17.23","17.29","17.29","19,359,700","KMI"
"9","Feb 06, 2018","16.60","17.38","16.56","17.33","17.33","28,022,000","KMI"
"10","Feb 05, 2018","17.28","17.48","16.57","16.81","16.81","23,411,900","KMI"
"11","Feb 02, 2018","17.90","17.93","17.46","17.50","17.50","18,493,500","KMI"
"12","Feb 01, 2018","18.02","18.08","17.81","18.06","18.06","13,857,900","KMI"
"13","Jan 31, 2018","18.27","18.38","17.95","17.98","17.98","18,709,600","KMI"
"14","Jan 30, 2018","18.50","18.54","18.22","18.23","18.23","18,488,200","KMI"
"15","Jan 30, 2018","0.125 Dividend","0.125 Dividend","0.125 Dividend","0.125 Dividend","0.125 Dividend","0.125 Dividend","KMI"
"16","Jan 29, 2018","18.77","18.83","18.57","18.71","18.58","17,204,700","KMI"
"17","Jan 26, 2018","18.98","18.99","18.69","18.77","18.64","17,126,900","KMI"
"18","Jan 25, 2018","19.20","19.32","18.79","18.82","18.69","16,503,200","KMI"
"19","Jan 24, 2018","19.52","19.56","19.13","19.14","19.01","17,061,900","KMI"
"20","Jan 23, 2018","19.66","19.71","19.40","19.45","19.32","19,891,300","KMI"
"21","Jan 22, 2018","19.05","19.64","19.01","19.63","19.50","15,649,300","KMI"
"22","Jan 19, 2018","19.04","19.20","18.89","19.01","18.88","18,004,600","KMI"
"23","Jan 18, 2018","19.50","19.52","18.77","19.01","18.88","37,007,800","KMI"
"24","Jan 17, 2018","19.52","19.64","19.32","19.57","19.44","19,501,400","KMI"
"25","Jan 16, 2018","19.67","19.83","19.38","19.39","19.26","20,322,000","KMI"
"26","Jan 12, 2018","19.24","19.66","19.16","19.52","19.39","16,117,000","KMI"
