"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","45.57","45.64","44.72","44.98","44.98","17,171,200","KO"
"2","Feb 15, 2018","44.25","44.83","44.12","44.78","44.78","13,467,300","KO"
"3","Feb 14, 2018","44.02","44.19","43.63","44.10","44.10","13,457,900","KO"
"4","Feb 13, 2018","43.92","44.41","43.69","44.19","44.19","13,163,200","KO"
"5","Feb 12, 2018","43.56","44.23","43.37","43.97","43.97","14,689,000","KO"
"6","Feb 09, 2018","43.36","43.46","42.19","43.13","43.13","22,853,100","KO"
"7","Feb 08, 2018","44.62","44.62","43.07","43.10","43.10","23,295,300","KO"
"8","Feb 07, 2018","44.58","45.50","44.28","44.56","44.56","18,041,600","KO"
"9","Feb 06, 2018","43.87","44.74","43.44","44.67","44.67","25,184,300","KO"
"10","Feb 05, 2018","46.65","46.92","44.41","44.89","44.89","23,261,500","KO"
"11","Feb 02, 2018","47.35","47.41","46.63","46.73","46.73","12,912,300","KO"
"12","Feb 01, 2018","47.41","47.73","47.11","47.45","47.45","10,279,400","KO"
"13","Jan 31, 2018","47.45","47.90","47.37","47.59","47.59","10,960,100","KO"
"14","Jan 30, 2018","47.73","48.16","47.40","47.41","47.41","12,404,800","KO"
"15","Jan 29, 2018","48.21","48.46","47.58","47.70","47.70","11,662,600","KO"
"16","Jan 26, 2018","47.78","48.62","47.74","48.53","48.53","16,671,200","KO"
"17","Jan 25, 2018","47.70","48.00","47.70","47.84","47.84","11,755,000","KO"
"18","Jan 24, 2018","47.53","47.95","47.48","47.83","47.83","15,964,500","KO"
"19","Jan 23, 2018","47.21","47.70","47.13","47.45","47.45","11,463,700","KO"
"20","Jan 22, 2018","47.14","47.50","47.09","47.38","47.38","9,577,400","KO"
"21","Jan 19, 2018","46.99","47.25","46.87","47.16","47.16","16,187,400","KO"
"22","Jan 18, 2018","46.75","47.07","46.61","46.88","46.88","11,952,900","KO"
"23","Jan 17, 2018","46.58","47.00","46.55","46.82","46.82","12,143,100","KO"
"24","Jan 16, 2018","46.15","46.62","46.14","46.53","46.53","16,459,300","KO"
"25","Jan 12, 2018","46.28","46.39","46.03","46.15","46.15","14,570,100","KO"
"26","Jan 11, 2018","46.23","46.23","45.86","46.04","46.04","7,583,200","KO"
"27","Jan 10, 2018","46.23","46.26","45.93","46.07","46.07","10,700,700","KO"
"28","Jan 09, 2018","46.00","46.36","45.94","46.23","46.23","9,962,400","KO"
"29","Jan 08, 2018","45.95","46.10","45.88","46.00","46.00","7,068,600","KO"
"30","Jan 05, 2018","46.02","46.20","45.79","46.07","46.07","13,113,100","KO"
"31","Jan 04, 2018","45.56","46.22","45.45","46.08","46.08","12,709,400","KO"
"32","Jan 03, 2018","45.49","45.69","45.34","45.44","45.44","12,635,600","KO"
"33","Jan 02, 2018","45.91","45.94","45.51","45.54","45.54","10,872,200","KO"
"34","Dec 29, 2017","45.70","46.18","45.69","45.88","45.88","8,371,500","KO"
"35","Dec 28, 2017","45.91","45.99","45.64","45.72","45.72","6,538,900","KO"
"36","Dec 27, 2017","45.90","45.94","45.72","45.93","45.93","5,660,600","KO"
"37","Dec 26, 2017","45.70","45.86","45.61","45.81","45.81","6,100,400","KO"
"38","Dec 22, 2017","45.69","45.73","45.55","45.59","45.59","5,406,300","KO"
"39","Dec 21, 2017","46.14","46.22","45.56","45.60","45.60","9,657,100","KO"
"40","Dec 20, 2017","46.21","46.30","45.96","46.08","46.08","7,311,000","KO"
"41","Dec 19, 2017","46.04","46.38","45.91","46.13","46.13","8,253,200","KO"
"42","Dec 18, 2017","46.20","46.38","45.91","45.93","45.93","10,156,800","KO"
"43","Dec 15, 2017","46.29","46.42","46.04","46.19","46.19","21,181,600","KO"
"44","Dec 14, 2017","45.81","46.17","45.80","46.03","46.03","9,029,000","KO"
"45","Dec 13, 2017","45.45","46.05","45.40","45.90","45.90","12,418,700","KO"
"46","Dec 12, 2017","45.25","45.52","45.06","45.29","45.29","13,999,300","KO"
"47","Dec 11, 2017","45.31","45.41","44.92","45.33","45.33","9,698,700","KO"
"48","Dec 08, 2017","45.70","45.73","45.05","45.31","45.31","13,238,600","KO"
"49","Dec 07, 2017","46.29","46.32","45.72","45.78","45.78","9,106,500","KO"
"50","Dec 06, 2017","46.36","46.48","46.26","46.45","46.45","8,154,000","KO"
"51","Dec 05, 2017","46.25","46.44","46.06","46.26","46.26","13,670,800","KO"
"52","Dec 04, 2017","45.99","46.38","45.77","46.23","46.23","17,523,600","KO"
"53","Dec 01, 2017","45.80","46.02","45.21","45.97","45.97","12,468,800","KO"
"54","Nov 30, 2017","45.14","45.84","45.03","45.77","45.77","17,147,600","KO"
"55","Nov 30, 2017","0.37 Dividend","0.37 Dividend","0.37 Dividend","0.37 Dividend","0.37 Dividend","0.37 Dividend","KO"
"56","Nov 29, 2017","45.77","45.82","45.21","45.50","45.13","16,502,100","KO"
"57","Nov 28, 2017","45.99","46.15","45.78","45.83","45.46","8,432,800","KO"
"58","Nov 27, 2017","45.88","45.99","45.81","45.90","45.53","5,649,200","KO"
"59","Nov 24, 2017","45.89","46.05","45.86","45.88","45.51","2,996,300","KO"
