"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","77.95","79.65","77.91","78.97","78.97","4,632,600","LLY"
"2","Feb 15, 2018","77.75","78.15","77.03","78.02","78.02","4,810,700","LLY"
"3","Feb 14, 2018","75.41","77.19","75.34","77.03","77.03","4,361,100","LLY"
"4","Feb 14, 2018","0.563 Dividend","0.563 Dividend","0.563 Dividend","0.563 Dividend","0.563 Dividend","0.563 Dividend","LLY"
"5","Feb 13, 2018","76.02","76.59","75.75","76.21","75.65","4,041,200","LLY"
"6","Feb 12, 2018","76.68","77.10","75.20","76.25","75.69","6,454,200","LLY"
"7","Feb 09, 2018","75.06","76.82","73.69","76.23","75.67","8,939,700","LLY"
"8","Feb 08, 2018","77.19","77.65","74.19","74.21","73.66","8,059,600","LLY"
"9","Feb 07, 2018","77.76","78.56","76.71","76.72","76.15","8,240,300","LLY"
"10","Feb 06, 2018","76.56","79.11","75.71","77.99","77.41","10,558,800","LLY"
"11","Feb 05, 2018","80.89","81.61","76.55","77.49","76.92","8,145,200","LLY"
"12","Feb 02, 2018","81.88","83.03","81.12","81.18","80.58","5,152,500","LLY"
"13","Feb 01, 2018","81.54","82.87","81.29","82.41","81.80","8,410,700","LLY"
"14","Jan 31, 2018","86.50","86.73","81.27","81.45","80.85","10,558,500","LLY"
"15","Jan 30, 2018","86.64","86.94","85.21","86.09","85.45","5,388,400","LLY"
"16","Jan 29, 2018","86.77","88.33","86.65","87.60","86.95","5,324,500","LLY"
"17","Jan 26, 2018","84.76","87.47","84.76","87.08","86.44","6,394,100","LLY"
"18","Jan 25, 2018","84.81","85.40","84.56","85.01","84.38","5,201,600","LLY"
"19","Jan 24, 2018","84.86","85.16","84.28","84.30","83.68","5,977,700","LLY"
"20","Jan 23, 2018","85.18","85.92","84.24","84.42","83.80","5,728,100","LLY"
"21","Jan 22, 2018","83.25","85.57","82.40","85.44","84.81","6,374,000","LLY"
"22","Jan 19, 2018","86.17","86.28","85.32","85.49","84.86","5,826,900","LLY"
"23","Jan 18, 2018","86.04","86.14","85.27","85.82","85.19","4,445,800","LLY"
"24","Jan 17, 2018","85.80","86.36","85.47","86.21","85.57","4,083,300","LLY"
"25","Jan 16, 2018","85.93","86.59","85.15","85.29","84.66","4,878,300","LLY"
"26","Jan 12, 2018","86.52","87.41","86.03","86.98","86.34","2,728,900","LLY"
"27","Jan 11, 2018","86.17","86.59","85.87","86.39","85.75","2,647,500","LLY"
"28","Jan 10, 2018","85.61","86.17","85.49","86.10","85.46","1,674,600","LLY"
"29","Jan 09, 2018","86.20","86.42","85.74","86.06","85.42","2,426,000","LLY"
"30","Jan 08, 2018","86.69","86.71","85.40","86.13","85.49","3,251,400","LLY"
"31","Jan 05, 2018","86.09","86.75","85.93","86.57","85.93","2,946,300","LLY"
"32","Jan 04, 2018","85.28","85.80","84.74","85.52","84.89","2,462,500","LLY"
"33","Jan 03, 2018","84.74","85.42","84.27","85.14","84.51","3,078,400","LLY"
"34","Jan 02, 2018","84.46","85.00","84.06","84.68","84.05","3,456,700","LLY"
"35","Dec 29, 2017","85.12","85.44","84.46","84.46","83.84","2,563,800","LLY"
"36","Dec 28, 2017","85.30","85.44","84.89","85.05","84.42","1,731,700","LLY"
"37","Dec 27, 2017","85.19","85.46","84.98","85.14","84.51","1,332,800","LLY"
"38","Dec 26, 2017","85.29","85.43","84.96","84.99","84.36","1,099,900","LLY"
"39","Dec 22, 2017","85.60","85.78","84.75","85.07","84.44","1,834,800","LLY"
"40","Dec 21, 2017","86.03","86.18","85.44","85.61","84.98","2,024,300","LLY"
"41","Dec 20, 2017","86.68","86.94","85.64","85.74","85.11","3,016,900","LLY"
"42","Dec 19, 2017","86.04","86.77","85.85","86.71","86.07","4,027,600","LLY"
"43","Dec 18, 2017","86.76","87.45","85.99","86.08","85.44","3,796,000","LLY"
"44","Dec 15, 2017","86.89","87.61","86.27","86.54","85.90","7,346,400","LLY"
"45","Dec 14, 2017","88.22","88.33","86.12","86.50","85.86","4,388,400","LLY"
"46","Dec 13, 2017","86.41","89.09","86.34","87.89","87.24","5,786,800","LLY"
"47","Dec 12, 2017","86.49","86.90","85.99","86.71","86.07","4,252,500","LLY"
"48","Dec 11, 2017","86.61","86.84","86.07","86.67","86.03","3,336,800","LLY"
"49","Dec 08, 2017","85.66","86.46","85.47","86.45","85.81","3,777,100","LLY"
"50","Dec 07, 2017","85.21","85.87","84.65","85.87","85.24","4,344,900","LLY"
"51","Dec 06, 2017","86.04","86.39","84.53","85.32","84.69","3,130,900","LLY"
"52","Dec 05, 2017","85.59","86.58","85.21","86.06","85.42","3,876,800","LLY"
"53","Dec 04, 2017","85.49","86.78","85.36","85.58","84.95","4,228,300","LLY"
"54","Dec 01, 2017","84.98","85.41","84.18","85.32","84.69","2,736,300","LLY"
"55","Nov 30, 2017","85.25","85.48","84.32","84.64","84.01","5,002,100","LLY"
"56","Nov 29, 2017","84.79","85.24","84.45","84.96","84.33","2,316,000","LLY"
"57","Nov 28, 2017","85.07","85.36","84.74","85.05","84.42","2,659,400","LLY"
"58","Nov 27, 2017","84.15","85.25","84.03","84.81","84.18","2,980,900","LLY"
"59","Nov 24, 2017","83.87","84.17","83.58","84.03","83.41","817,600","LLY"
"60","Nov 22, 2017","83.67","84.26","83.48","83.68","83.06","2,230,900","LLY"
"61","Nov 21, 2017","83.65","84.53","83.37","83.51","82.89","3,529,900","LLY"
"62","Nov 20, 2017","83.09","83.32","82.82","83.18","82.57","2,205,900","LLY"
"63","Nov 17, 2017","83.00","83.48","82.80","82.89","82.28","4,097,800","LLY"
"64","Nov 16, 2017","82.41","83.63","81.84","83.44","82.82","2,599,700","LLY"
"65","Nov 15, 2017","82.51","83.14","81.42","82.19","81.58","1,838,100","LLY"
"66","Nov 14, 2017","82.69","83.11","82.21","82.49","81.88","2,684,800","LLY"
"67","Nov 14, 2017","0.52 Dividend","0.52 Dividend","0.52 Dividend","0.52 Dividend","0.52 Dividend","0.52 Dividend","LLY"
"68","Nov 13, 2017","83.33","83.33","82.53","82.86","81.73","2,478,700","LLY"
"69","Nov 10, 2017","83.67","83.87","82.57","83.29","82.16","2,692,500","LLY"
"70","Nov 09, 2017","83.82","84.26","83.63","83.99","82.85","2,098,600","LLY"
"71","Nov 08, 2017","83.00","84.39","83.00","84.01","82.87","2,328,700","LLY"
"72","Nov 07, 2017","83.04","83.42","82.77","83.28","82.15","2,851,900","LLY"
"73","Nov 06, 2017","83.29","83.43","82.92","82.94","81.81","1,861,700","LLY"
"74","Nov 03, 2017","82.71","83.59","82.66","83.51","82.37","1,534,800","LLY"
"75","Nov 02, 2017","82.55","83.92","82.31","83.13","82.00","2,716,100","LLY"
"76","Nov 01, 2017","82.17","83.82","82.00","82.89","81.76","3,309,300","LLY"
"77","Oct 31, 2017","82.76","83.10","81.72","81.94","80.82","3,853,300","LLY"
"78","Oct 30, 2017","83.76","83.76","82.43","82.65","81.52","4,667,200","LLY"
"79","Oct 27, 2017","84.07","84.81","83.59","83.86","82.72","2,892,900","LLY"
"80","Oct 26, 2017","84.67","85.11","83.83","84.16","83.01","3,820,700","LLY"
"81","Oct 25, 2017","85.91","86.37","84.68","84.85","83.69","3,916,000","LLY"
"82","Oct 24, 2017","87.42","88.33","83.75","85.17","84.01","8,696,100","LLY"
"83","Oct 23, 2017","87.47","88.19","87.12","87.18","85.99","4,909,800","LLY"
"84","Oct 20, 2017","86.52","87.38","86.33","87.23","86.04","3,223,200","LLY"
"85","Oct 19, 2017","85.69","86.38","85.51","86.36","85.18","3,233,400","LLY"
"86","Oct 18, 2017","86.33","86.56","85.52","85.73","84.56","4,002,200","LLY"
"87","Oct 17, 2017","85.94","86.50","85.42","86.06","84.89","3,643,700","LLY"
"88","Oct 16, 2017","86.48","86.74","85.78","85.95","84.78","3,800,700","LLY"
"89","Oct 13, 2017","86.40","86.70","85.71","86.55","85.37","3,026,500","LLY"
"90","Oct 12, 2017","86.10","86.45","85.91","86.43","85.25","1,941,100","LLY"
"91","Oct 11, 2017","86.35","86.66","85.45","86.06","84.89","3,433,200","LLY"
"92","Oct 10, 2017","85.38","86.70","85.25","86.16","84.99","4,943,700","LLY"
"93","Oct 09, 2017","87.14","87.28","86.46","87.05","85.86","1,701,400","LLY"
"94","Oct 06, 2017","87.31","87.49","86.64","87.08","85.89","2,297,200","LLY"
"95","Oct 05, 2017","86.77","89.09","86.39","87.65","86.46","5,221,000","LLY"
"96","Oct 04, 2017","86.50","87.16","86.28","86.96","85.78","2,317,700","LLY"
"97","Oct 03, 2017","86.24","86.56","85.93","86.45","85.27","2,128,800","LLY"
"98","Oct 02, 2017","85.78","86.68","85.74","86.35","85.17","3,071,100","LLY"
"99","Sep 29, 2017","85.17","85.61","84.39","85.54","84.38","3,506,100","LLY"
"100","Sep 28, 2017","84.59","85.58","84.15","85.00","83.84","2,841,000","LLY"
"101","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","LLY"
