"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","361.00","363.00","357.84","360.53","360.53","1,082,300","LMT"
"2","Feb 15, 2018","357.40","361.02","354.74","361.00","361.00","1,167,600","LMT"
"3","Feb 14, 2018","348.81","355.39","348.20","354.66","354.66","1,652,100","LMT"
"4","Feb 13, 2018","345.20","351.06","344.51","350.23","350.23","1,279,300","LMT"
"5","Feb 12, 2018","344.54","348.47","340.10","345.81","345.81","1,829,200","LMT"
"6","Feb 09, 2018","338.10","344.88","332.25","341.42","341.42","2,366,600","LMT"
"7","Feb 08, 2018","350.21","350.99","334.01","334.30","334.30","2,627,600","LMT"
"8","Feb 07, 2018","338.29","350.34","337.82","345.43","345.43","2,052,900","LMT"
"9","Feb 06, 2018","328.71","340.01","327.23","337.59","337.59","2,603,000","LMT"
"10","Feb 05, 2018","348.63","353.99","326.11","336.46","336.46","2,947,100","LMT"
"11","Feb 02, 2018","355.00","358.00","351.52","352.66","352.66","1,958,600","LMT"
"12","Feb 01, 2018","354.26","361.79","354.01","357.38","357.38","1,579,700","LMT"
"13","Jan 31, 2018","353.28","358.52","352.45","354.85","354.85","1,887,200","LMT"
"14","Jan 30, 2018","346.52","352.72","345.05","350.39","350.39","2,032,900","LMT"
"15","Jan 29, 2018","350.00","354.32","342.15","351.42","351.42","2,881,100","LMT"
"16","Jan 26, 2018","336.87","345.11","334.74","344.90","344.90","2,057,300","LMT"
"17","Jan 25, 2018","331.04","335.19","330.21","334.72","334.72","1,782,900","LMT"
"18","Jan 24, 2018","328.87","332.48","327.42","330.49","330.49","1,360,200","LMT"
"19","Jan 23, 2018","329.99","331.15","328.51","328.70","328.70","1,066,200","LMT"
"20","Jan 22, 2018","331.77","332.70","328.97","329.00","329.00","1,463,000","LMT"
"21","Jan 19, 2018","334.24","334.89","331.78","332.00","332.00","1,511,800","LMT"
"22","Jan 18, 2018","334.11","335.92","332.99","333.00","333.00","973,200","LMT"
"23","Jan 17, 2018","331.46","335.74","330.32","334.86","334.86","1,009,600","LMT"
"24","Jan 16, 2018","336.35","336.67","330.00","330.11","330.11","1,374,900","LMT"
"25","Jan 12, 2018","331.35","336.35","331.03","336.25","336.25","1,428,100","LMT"
"26","Jan 11, 2018","331.85","332.08","330.16","331.13","331.13","1,152,000","LMT"
"27","Jan 10, 2018","331.07","333.74","330.01","331.05","331.05","1,504,600","LMT"
"28","Jan 09, 2018","329.00","331.83","328.42","330.51","330.51","865,400","LMT"
"29","Jan 08, 2018","328.96","330.41","327.81","328.16","328.16","1,084,500","LMT"
"30","Jan 05, 2018","325.99","330.18","325.98","329.68","329.68","1,241,100","LMT"
"31","Jan 04, 2018","321.19","326.90","320.99","326.72","326.72","1,443,000","LMT"
"32","Jan 03, 2018","318.98","321.52","318.63","321.21","321.21","893,400","LMT"
"33","Jan 02, 2018","322.00","322.62","317.50","318.54","318.54","1,189,600","LMT"
"34","Dec 29, 2017","322.22","323.15","321.02","321.05","321.05","731,200","LMT"
"35","Dec 28, 2017","319.83","322.30","319.71","322.10","322.10","721,700","LMT"
"36","Dec 27, 2017","319.67","319.67","318.07","319.44","319.44","574,700","LMT"
"37","Dec 26, 2017","318.36","319.77","317.97","318.51","318.51","516,900","LMT"
"38","Dec 22, 2017","318.30","319.24","317.60","318.03","318.03","542,100","LMT"
"39","Dec 21, 2017","319.00","319.20","317.01","317.19","317.19","868,700","LMT"
"40","Dec 20, 2017","319.84","321.26","317.65","317.72","317.72","932,400","LMT"
"41","Dec 19, 2017","322.76","323.13","319.78","319.97","319.97","931,000","LMT"
"42","Dec 18, 2017","323.59","323.94","319.00","322.76","322.76","1,254,400","LMT"
"43","Dec 15, 2017","318.69","323.38","318.43","322.82","322.82","1,929,400","LMT"
"44","Dec 14, 2017","318.21","319.03","316.42","317.01","317.01","867,600","LMT"
"45","Dec 13, 2017","316.66","319.83","316.30","317.79","317.79","862,400","LMT"
"46","Dec 12, 2017","316.38","316.90","314.91","315.89","315.89","1,082,200","LMT"
"47","Dec 11, 2017","315.45","317.24","315.15","316.17","316.17","765,800","LMT"
"48","Dec 08, 2017","316.56","316.56","313.45","315.85","315.85","853,900","LMT"
"49","Dec 07, 2017","311.83","315.36","311.81","314.42","314.42","972,300","LMT"
"50","Dec 06, 2017","311.98","313.07","310.25","311.97","311.97","824,800","LMT"
"51","Dec 05, 2017","314.50","314.50","310.07","310.14","310.14","1,171,000","LMT"
"52","Dec 04, 2017","315.94","316.52","311.61","311.78","311.78","1,365,900","LMT"
"53","Dec 01, 2017","319.06","319.63","311.13","313.57","313.57","1,707,400","LMT"
"54","Nov 30, 2017","319.62","320.94","318.48","319.12","319.12","2,626,200","LMT"
"55","Nov 30, 2017","2 Dividend","2 Dividend","2 Dividend","2 Dividend","2 Dividend","2 Dividend","LMT"
"56","Nov 29, 2017","319.50","321.21","318.33","320.76","318.76","1,190,500","LMT"
"57","Nov 28, 2017","316.78","319.43","316.17","319.01","317.02","967,200","LMT"
"58","Nov 27, 2017","316.00","316.89","315.05","316.70","314.73","657,800","LMT"
"59","Nov 24, 2017","315.09","316.23","315.02","315.82","313.85","320,900","LMT"
"60","Nov 22, 2017","316.31","316.86","314.35","314.87","312.91","685,700","LMT"
"61","Nov 21, 2017","315.24","317.62","314.61","316.94","314.96","858,000","LMT"
"62","Nov 20, 2017","310.20","315.57","310.01","314.65","312.69","901,800","LMT"
"63","Nov 17, 2017","311.59","312.43","309.50","309.70","307.77","692,300","LMT"
"64","Nov 16, 2017","311.09","312.80","311.00","312.65","310.70","635,500","LMT"
"65","Nov 15, 2017","313.10","313.78","310.54","310.64","308.70","754,900","LMT"
"66","Nov 14, 2017","312.00","314.00","310.70","313.74","311.78","605,700","LMT"
"67","Nov 13, 2017","311.00","313.28","310.31","312.95","311.00","702,800","LMT"
"68","Nov 10, 2017","310.30","311.68","309.76","311.17","309.23","630,800","LMT"
"69","Nov 09, 2017","314.85","315.06","310.28","311.08","309.14","890,600","LMT"
"70","Nov 08, 2017","313.44","315.70","313.30","315.64","313.67","729,600","LMT"
"71","Nov 07, 2017","310.08","313.37","310.08","313.29","311.34","874,200","LMT"
"72","Nov 06, 2017","309.72","311.93","308.68","310.08","308.15","717,300","LMT"
"73","Nov 03, 2017","310.92","311.85","309.04","309.99","308.06","652,200","LMT"
"74","Nov 02, 2017","306.11","310.86","306.11","310.86","308.92","868,900","LMT"
"75","Nov 01, 2017","309.05","309.66","306.23","306.60","304.69","1,016,100","LMT"
"76","Oct 31, 2017","309.16","309.83","308.14","308.16","306.24","693,900","LMT"
"77","Oct 30, 2017","308.50","310.42","307.82","308.63","306.71","1,157,300","LMT"
"78","Oct 27, 2017","307.95","310.38","307.75","308.00","306.08","998,600","LMT"
"79","Oct 26, 2017","313.44","314.42","303.31","307.89","305.97","1,599,400","LMT"
"80","Oct 25, 2017","312.86","315.96","311.31","312.43","310.48","1,658,800","LMT"
"81","Oct 24, 2017","314.69","317.00","310.61","313.15","311.20","2,567,800","LMT"
"82","Oct 23, 2017","321.06","321.56","319.87","320.73","318.73","1,239,000","LMT"
"83","Oct 20, 2017","317.93","320.00","316.60","320.00","318.00","933,400","LMT"
"84","Oct 19, 2017","315.57","317.07","313.02","316.84","314.86","727,600","LMT"
"85","Oct 18, 2017","318.33","318.82","314.70","315.57","313.60","1,131,100","LMT"
"86","Oct 17, 2017","318.70","318.93","317.02","318.27","316.29","741,600","LMT"
"87","Oct 16, 2017","319.74","320.67","317.74","318.94","316.95","588,200","LMT"
"88","Oct 13, 2017","321.62","322.19","319.14","319.39","317.40","1,095,500","LMT"
"89","Oct 12, 2017","318.35","321.56","318.28","321.15","319.15","867,700","LMT"
"90","Oct 11, 2017","317.65","318.80","317.05","318.59","316.60","706,300","LMT"
"91","Oct 10, 2017","318.32","318.32","316.22","317.71","315.73","941,500","LMT"
"92","Oct 09, 2017","316.62","318.34","315.50","317.30","315.32","880,100","LMT"
"93","Oct 06, 2017","315.00","316.46","314.28","316.46","314.49","857,700","LMT"
"94","Oct 05, 2017","312.82","315.29","312.64","314.58","312.62","950,400","LMT"
"95","Oct 04, 2017","313.28","314.10","312.46","313.02","311.07","903,700","LMT"
"96","Oct 03, 2017","311.38","314.02","311.30","312.86","310.91","803,000","LMT"
