"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","96.48","97.67","95.79","96.31","96.31","5,313,000","LOW"
"2","Feb 15, 2018","98.18","98.19","95.62","96.51","96.51","5,729,300","LOW"
"3","Feb 14, 2018","95.09","97.40","94.40","96.93","96.93","8,395,800","LOW"
"4","Feb 13, 2018","96.96","97.61","94.87","96.06","96.06","5,541,700","LOW"
"5","Feb 12, 2018","98.25","99.00","97.17","97.78","97.78","8,067,600","LOW"
"6","Feb 09, 2018","96.19","98.16","92.51","97.17","97.17","9,667,800","LOW"
"7","Feb 08, 2018","99.92","100.11","94.89","95.01","95.01","7,673,100","LOW"
"8","Feb 07, 2018","100.00","102.32","99.75","99.92","99.92","5,257,300","LOW"
"9","Feb 06, 2018","95.29","100.92","94.81","100.22","100.22","9,031,200","LOW"
"10","Feb 05, 2018","101.38","103.11","97.04","97.58","97.58","8,339,800","LOW"
"11","Feb 02, 2018","103.85","103.86","101.15","101.50","101.50","6,247,900","LOW"
"12","Feb 01, 2018","103.84","105.08","103.25","103.86","103.86","4,922,900","LOW"
"13","Jan 31, 2018","105.67","106.20","104.54","104.73","104.73","7,082,200","LOW"
"14","Jan 30, 2018","105.71","106.14","104.63","105.18","105.18","6,360,800","LOW"
"15","Jan 29, 2018","108.00","108.38","106.68","106.84","106.84","3,787,300","LOW"
"16","Jan 26, 2018","106.64","107.40","105.53","107.40","107.40","4,017,200","LOW"
"17","Jan 25, 2018","108.94","108.98","106.11","106.38","106.38","4,864,800","LOW"
"18","Jan 24, 2018","107.39","107.64","105.90","106.72","106.72","4,127,500","LOW"
"19","Jan 23, 2018","107.00","108.31","106.15","107.11","107.11","6,118,200","LOW"
"20","Jan 23, 2018","0.41 Dividend","0.41 Dividend","0.41 Dividend","0.41 Dividend","0.41 Dividend","0.41 Dividend","LOW"
"21","Jan 22, 2018","107.00","107.38","105.35","107.11","106.70","7,084,300","LOW"
"22","Jan 19, 2018","104.28","105.35","102.47","104.95","104.55","9,558,300","LOW"
"23","Jan 18, 2018","102.02","102.13","100.81","101.36","100.97","5,956,600","LOW"
"24","Jan 17, 2018","101.26","102.29","100.56","101.68","101.29","5,296,100","LOW"
"25","Jan 16, 2018","101.50","105.60","100.09","100.97","100.58","13,570,400","LOW"
"26","Jan 12, 2018","96.01","102.28","95.63","100.86","100.47","14,247,600","LOW"
"27","Jan 11, 2018","94.54","95.78","94.01","95.74","95.37","3,172,600","LOW"
"28","Jan 10, 2018","94.46","94.83","93.85","94.17","93.81","2,778,000","LOW"
"29","Jan 09, 2018","94.32","94.92","93.56","94.55","94.19","4,112,200","LOW"
"30","Jan 08, 2018","94.38","95.13","93.67","93.71","93.35","6,191,600","LOW"
"31","Jan 05, 2018","94.00","94.80","93.76","94.74","94.38","5,524,200","LOW"
"32","Jan 04, 2018","92.19","92.82","91.58","92.74","92.39","3,542,800","LOW"
"33","Jan 03, 2018","91.75","92.09","91.17","92.02","91.67","4,572,000","LOW"
"34","Jan 02, 2018","93.02","93.46","91.52","91.62","91.27","6,572,600","LOW"
"35","Dec 29, 2017","93.41","93.55","92.91","92.94","92.58","3,372,000","LOW"
"36","Dec 28, 2017","92.54","92.94","92.17","92.86","92.50","3,563,800","LOW"
"37","Dec 27, 2017","91.96","92.40","91.89","92.11","91.76","2,761,200","LOW"
"38","Dec 26, 2017","91.30","92.08","91.11","91.89","91.54","2,757,600","LOW"
"39","Dec 22, 2017","90.91","91.25","90.19","91.19","90.84","3,620,900","LOW"
"40","Dec 21, 2017","89.96","91.03","89.90","90.73","90.38","5,826,400","LOW"
"41","Dec 20, 2017","89.23","90.94","88.93","90.19","89.84","6,527,400","LOW"
"42","Dec 19, 2017","87.85","89.33","87.23","88.86","88.52","5,659,300","LOW"
"43","Dec 18, 2017","87.12","88.09","87.04","87.44","87.11","7,188,500","LOW"
"44","Dec 15, 2017","85.98","87.14","85.97","86.69","86.36","7,933,000","LOW"
"45","Dec 14, 2017","86.04","86.35","85.38","85.58","85.25","3,908,500","LOW"
"46","Dec 13, 2017","85.35","85.79","85.11","85.60","85.27","5,956,700","LOW"
"47","Dec 12, 2017","85.53","85.71","84.88","84.99","84.66","7,125,600","LOW"
"48","Dec 11, 2017","85.58","86.10","85.21","85.54","85.21","6,775,400","LOW"
"49","Dec 08, 2017","83.85","85.73","83.85","85.60","85.27","7,696,300","LOW"
"50","Dec 07, 2017","82.41","83.74","82.23","83.63","83.31","10,391,100","LOW"
"51","Dec 06, 2017","83.50","86.09","82.37","82.40","82.08","12,291,000","LOW"
"52","Dec 05, 2017","88.03","88.55","86.28","86.31","85.98","9,666,000","LOW"
"53","Dec 04, 2017","84.94","88.48","84.71","88.04","87.70","13,046,100","LOW"
"54","Dec 01, 2017","83.24","84.42","82.12","84.23","83.91","4,935,300","LOW"
"55","Nov 30, 2017","83.45","84.68","83.10","83.37","83.05","9,110,000","LOW"
"56","Nov 29, 2017","81.75","84.36","81.60","83.30","82.98","10,573,500","LOW"
"57","Nov 28, 2017","79.69","81.74","79.69","81.68","81.37","7,636,900","LOW"
"58","Nov 27, 2017","79.95","80.78","79.54","79.83","79.52","6,651,100","LOW"
"59","Nov 24, 2017","79.93","79.95","79.11","79.24","78.94","2,842,000","LOW"
"60","Nov 22, 2017","80.84","81.18","79.55","79.56","79.26","7,001,400","LOW"
"61","Nov 21, 2017","79.70","82.22","79.50","80.59","80.28","13,081,200","LOW"
"62","Nov 20, 2017","81.28","81.90","80.38","81.46","81.15","7,507,100","LOW"
"63","Nov 17, 2017","79.51","80.50","79.17","80.22","79.91","6,966,500","LOW"
"64","Nov 16, 2017","78.70","79.55","78.23","79.47","79.17","5,529,000","LOW"
"65","Nov 15, 2017","79.00","79.04","78.27","78.37","78.07","5,200,400","LOW"
"66","Nov 14, 2017","77.17","79.26","77.14","79.23","78.93","6,499,200","LOW"
"67","Nov 13, 2017","77.50","77.88","77.19","77.53","77.23","6,964,100","LOW"
"68","Nov 10, 2017","77.93","78.02","77.28","77.49","77.19","7,451,900","LOW"
"69","Nov 09, 2017","77.90","78.31","77.39","78.08","77.78","4,536,400","LOW"
"70","Nov 08, 2017","77.50","78.52","77.19","78.09","77.79","4,745,700","LOW"
"71","Nov 07, 2017","77.71","78.32","77.22","77.63","77.33","4,611,900","LOW"
"72","Nov 06, 2017","78.31","78.37","77.27","77.41","77.11","3,870,900","LOW"
"73","Nov 03, 2017","76.99","78.11","76.62","77.92","77.62","5,412,000","LOW"
"74","Nov 02, 2017","79.20","79.30","75.36","76.65","76.36","11,445,200","LOW"
