"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","174.35","176.67","174.14","175.65","175.65","4,125,100","MA"
"2","Feb 15, 2018","173.95","174.70","171.36","174.69","174.69","3,915,000","MA"
"3","Feb 14, 2018","169.36","172.66","169.00","172.52","172.52","4,203,700","MA"
"4","Feb 13, 2018","167.33","170.77","167.01","170.12","170.12","3,471,000","MA"
"5","Feb 12, 2018","166.80","168.82","165.58","168.19","168.19","5,227,400","MA"
"6","Feb 09, 2018","161.67","166.49","158.57","165.20","165.20","6,303,000","MA"
"7","Feb 08, 2018","168.77","169.24","160.46","160.62","160.62","6,557,700","MA"
"8","Feb 07, 2018","169.00","172.61","167.45","168.73","168.73","4,364,800","MA"
"9","Feb 06, 2018","160.50","169.36","156.80","169.28","169.28","7,259,900","MA"
"10","Feb 05, 2018","167.37","171.96","164.01","164.59","164.59","7,196,000","MA"
"11","Feb 02, 2018","171.90","177.11","170.42","170.55","170.55","6,556,500","MA"
"12","Feb 01, 2018","172.51","176.72","171.00","172.93","172.93","6,848,400","MA"
"13","Jan 31, 2018","167.51","169.67","167.02","169.00","169.00","5,815,300","MA"
"14","Jan 30, 2018","167.41","168.00","166.30","167.19","167.19","4,227,100","MA"
"15","Jan 29, 2018","170.12","170.81","168.29","168.55","168.55","3,082,800","MA"
"16","Jan 26, 2018","169.01","170.36","168.79","170.34","170.34","2,191,600","MA"
"17","Jan 25, 2018","168.01","168.93","167.13","168.59","168.59","2,088,900","MA"
"18","Jan 24, 2018","167.94","168.10","165.95","167.01","167.01","3,912,400","MA"
"19","Jan 23, 2018","168.50","168.95","166.65","167.19","167.19","3,035,300","MA"
"20","Jan 22, 2018","166.58","168.33","166.29","168.28","168.28","2,275,900","MA"
"21","Jan 19, 2018","166.30","166.95","165.16","166.83","166.83","2,947,800","MA"
"22","Jan 18, 2018","164.83","165.98","164.11","165.48","165.48","4,150,600","MA"
"23","Jan 17, 2018","163.12","164.50","162.88","164.32","164.32","3,136,000","MA"
"24","Jan 16, 2018","163.64","163.94","161.31","162.29","162.29","4,673,400","MA"
"25","Jan 12, 2018","161.50","162.52","160.25","162.33","162.33","3,041,000","MA"
"26","Jan 11, 2018","160.10","161.13","159.44","160.92","160.92","2,804,000","MA"
"27","Jan 10, 2018","159.23","159.97","157.57","159.86","159.86","2,416,900","MA"
"28","Jan 09, 2018","159.65","160.11","158.54","159.50","159.50","2,573,900","MA"
"29","Jan 08, 2018","158.58","160.48","158.08","159.27","159.27","3,143,100","MA"
"30","Jan 08, 2018","0.25 Dividend","0.25 Dividend","0.25 Dividend","0.25 Dividend","0.25 Dividend","0.25 Dividend","MA"
"31","Jan 05, 2018","156.20","159.04","156.19","159.04","158.79","2,747,700","MA"
"32","Jan 04, 2018","154.54","157.40","154.32","155.81","155.57","3,247,200","MA"
"33","Jan 03, 2018","152.29","153.98","152.16","153.82","153.58","3,732,400","MA"
"34","Jan 02, 2018","152.01","153.41","151.12","151.91","151.67","3,168,900","MA"
"35","Dec 29, 2017","152.21","152.90","151.36","151.36","151.12","2,258,800","MA"
"36","Dec 28, 2017","151.86","152.62","151.20","151.77","151.53","1,570,600","MA"
"37","Dec 27, 2017","151.56","151.78","151.10","151.40","151.16","1,730,200","MA"
"38","Dec 26, 2017","150.58","151.34","149.89","151.28","151.04","1,200,700","MA"
"39","Dec 22, 2017","150.94","151.52","150.31","150.85","150.61","1,892,300","MA"
"40","Dec 21, 2017","151.45","152.23","150.43","150.53","150.29","2,789,000","MA"
"41","Dec 20, 2017","152.51","152.73","151.04","151.45","151.21","1,992,500","MA"
"42","Dec 19, 2017","152.96","153.16","151.43","151.68","151.44","2,712,700","MA"
"43","Dec 18, 2017","154.14","154.65","153.06","153.12","152.88","3,531,500","MA"
"44","Dec 15, 2017","152.65","153.62","150.86","153.40","153.16","5,067,300","MA"
"45","Dec 14, 2017","151.92","153.55","151.78","151.93","151.69","3,016,700","MA"
"46","Dec 13, 2017","152.50","153.44","151.66","151.69","151.45","3,618,700","MA"
"47","Dec 12, 2017","150.83","153.73","150.61","152.50","152.26","3,360,300","MA"
"48","Dec 11, 2017","150.22","151.25","150.10","150.88","150.64","3,394,800","MA"
"49","Dec 08, 2017","150.42","150.44","149.17","149.89","149.65","2,521,500","MA"
"50","Dec 07, 2017","147.51","150.41","147.51","149.45","149.22","3,417,900","MA"
"51","Dec 06, 2017","145.07","148.07","144.62","147.42","147.19","3,752,000","MA"
"52","Dec 05, 2017","143.70","146.32","140.61","145.13","144.90","6,807,100","MA"
"53","Dec 04, 2017","149.92","150.59","143.38","143.43","143.20","7,490,100","MA"
"54","Dec 01, 2017","150.40","150.99","147.35","149.69","149.45","3,933,000","MA"
"55","Nov 30, 2017","149.32","151.17","148.21","150.47","150.23","6,943,700","MA"
"56","Nov 29, 2017","154.35","154.47","145.28","148.35","148.12","7,217,000","MA"
"57","Nov 28, 2017","153.51","154.65","153.36","154.19","153.95","3,874,500","MA"
"58","Nov 27, 2017","153.07","153.94","152.72","152.97","152.73","3,260,200","MA"
"59","Nov 24, 2017","151.40","153.00","151.20","152.74","152.50","1,577,500","MA"
"60","Nov 22, 2017","152.41","152.55","150.95","151.25","151.01","2,658,600","MA"
"61","Nov 21, 2017","149.97","152.63","149.93","152.51","152.27","3,999,000","MA"
"62","Nov 20, 2017","149.36","150.29","149.23","149.56","149.32","2,048,700","MA"
"63","Nov 17, 2017","149.33","149.52","148.28","149.02","148.79","3,186,400","MA"
"64","Nov 16, 2017","149.00","150.54","148.60","150.33","150.09","2,715,400","MA"
"65","Nov 15, 2017","149.37","149.51","148.10","148.33","148.10","3,058,100","MA"
"66","Nov 14, 2017","149.28","150.49","149.05","149.95","149.71","3,062,300","MA"
"67","Nov 13, 2017","148.76","150.20","148.74","149.69","149.45","1,750,500","MA"
"68","Nov 10, 2017","149.00","149.76","148.71","149.54","149.30","1,795,900","MA"
"69","Nov 09, 2017","149.27","149.87","147.59","149.29","149.06","2,716,400","MA"
"70","Nov 08, 2017","149.47","150.24","148.20","149.97","149.73","3,786,800","MA"
"71","Nov 07, 2017","150.31","150.48","148.92","149.97","149.73","2,683,400","MA"
"72","Nov 06, 2017","149.21","150.46","148.96","150.09","149.85","3,142,900","MA"
"73","Nov 03, 2017","148.41","149.36","147.71","149.29","149.06","2,338,700","MA"
"74","Nov 02, 2017","148.33","149.21","147.47","148.25","148.02","3,883,600","MA"
"75","Nov 01, 2017","149.95","151.49","148.78","148.89","148.66","4,531,700","MA"
"76","Oct 31, 2017","150.63","152.00","146.15","148.77","148.54","7,613,700","MA"
"77","Oct 30, 2017","151.30","151.48","148.58","148.95","148.72","6,555,700","MA"
"78","Oct 27, 2017","146.83","148.52","146.06","148.52","148.29","3,491,900","MA"
"79","Oct 26, 2017","147.00","147.37","146.35","146.59","146.36","2,574,900","MA"
"80","Oct 25, 2017","146.50","146.98","145.21","146.24","146.01","3,439,700","MA"
"81","Oct 24, 2017","146.19","146.49","145.35","145.80","145.57","2,918,400","MA"
"82","Oct 23, 2017","146.00","146.50","145.30","145.56","145.33","2,514,500","MA"
"83","Oct 20, 2017","145.63","145.73","144.57","145.38","145.15","3,547,300","MA"
"84","Oct 19, 2017","145.39","146.12","144.66","144.98","144.75","4,169,900","MA"
"85","Oct 18, 2017","145.83","146.77","145.60","146.19","145.96","2,525,900","MA"
"86","Oct 17, 2017","146.33","146.46","145.53","145.93","145.70","3,002,400","MA"
"87","Oct 16, 2017","148.04","148.04","145.16","146.22","145.99","2,590,100","MA"
"88","Oct 13, 2017","147.51","148.45","147.29","147.34","147.11","2,337,300","MA"
"89","Oct 12, 2017","146.83","148.16","146.44","146.74","146.51","3,226,200","MA"
"90","Oct 11, 2017","145.60","147.12","145.60","146.85","146.62","3,341,900","MA"
"91","Oct 10, 2017","144.78","146.37","144.78","145.65","145.42","2,593,400","MA"
"92","Oct 09, 2017","143.48","145.18","142.90","144.55","144.32","2,557,700","MA"
"93","Oct 06, 2017","143.50","143.78","142.77","143.52","143.29","3,067,400","MA"
"94","Oct 05, 2017","142.56","143.78","142.43","143.75","143.52","2,723,000","MA"
"95","Oct 05, 2017","0.22 Dividend","0.22 Dividend","0.22 Dividend","0.22 Dividend","0.22 Dividend","0.22 Dividend","MA"
"96","Oct 04, 2017","142.73","143.00","141.32","142.09","141.65","3,245,700","MA"
"97","Oct 03, 2017","141.99","143.18","141.70","143.02","142.57","2,514,500","MA"
"98","Oct 02, 2017","141.90","142.93","141.47","141.82","141.38","2,300,700","MA"
"99","Sep 29, 2017","140.83","141.74","140.42","141.20","140.76","2,603,200","MA"
"100","Sep 28, 2017","139.44","140.21","138.84","140.20","139.76","2,732,000","MA"
"101","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","MA"
