"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","159.47","159.90","157.76","157.79","157.79","7,148,500","MCD"
"2","Feb 15, 2018","161.14","161.52","158.81","160.78","160.78","5,012,100","MCD"
"3","Feb 14, 2018","161.44","162.02","159.68","159.99","159.99","5,865,600","MCD"
"4","Feb 13, 2018","163.00","163.83","161.72","162.40","162.40","5,406,000","MCD"
"5","Feb 12, 2018","162.37","165.89","161.50","163.90","163.90","5,255,900","MCD"
"6","Feb 09, 2018","159.98","161.98","155.23","160.80","160.80","7,187,100","MCD"
"7","Feb 08, 2018","165.69","165.73","158.76","158.97","158.97","5,656,000","MCD"
"8","Feb 07, 2018","164.86","168.26","164.52","165.71","165.71","4,974,000","MCD"
"9","Feb 06, 2018","158.35","166.05","158.25","165.18","165.18","7,020,000","MCD"
"10","Feb 05, 2018","168.61","169.46","153.86","163.85","163.85","7,309,300","MCD"
"11","Feb 02, 2018","170.80","172.73","168.99","169.38","169.38","4,604,500","MCD"
"12","Feb 01, 2018","170.27","173.54","168.89","171.90","171.90","4,751,300","MCD"
"13","Jan 31, 2018","173.60","174.30","170.27","171.14","171.14","7,004,200","MCD"
"14","Jan 30, 2018","177.10","177.67","170.85","172.48","172.48","9,613,000","MCD"
"15","Jan 29, 2018","178.30","178.70","177.24","177.77","177.77","6,091,900","MCD"
"16","Jan 26, 2018","175.67","178.40","175.01","178.36","178.36","3,957,700","MCD"
"17","Jan 25, 2018","176.40","176.62","174.66","175.66","175.66","2,815,800","MCD"
"18","Jan 24, 2018","177.30","177.30","175.25","176.12","176.12","2,810,800","MCD"
"19","Jan 23, 2018","175.57","177.75","174.85","176.81","176.81","3,197,600","MCD"
"20","Jan 22, 2018","175.97","176.83","175.61","176.21","176.21","3,217,900","MCD"
"21","Jan 19, 2018","174.99","176.64","174.38","176.12","176.12","3,746,300","MCD"
"22","Jan 18, 2018","175.19","175.45","173.90","174.57","174.57","2,154,800","MCD"
"23","Jan 17, 2018","174.35","175.69","173.88","174.98","174.98","4,129,600","MCD"
"24","Jan 16, 2018","173.62","174.41","172.88","173.68","173.68","3,662,600","MCD"
"25","Jan 12, 2018","173.36","173.79","172.88","173.57","173.57","2,901,600","MCD"
"26","Jan 11, 2018","173.56","174.55","172.10","173.39","173.39","3,078,000","MCD"
"27","Jan 10, 2018","173.50","174.00","172.47","173.51","173.51","2,172,500","MCD"
"28","Jan 09, 2018","174.23","174.23","173.01","173.54","173.54","2,674,300","MCD"
"29","Jan 08, 2018","173.74","174.21","172.93","173.93","173.93","2,060,800","MCD"
"30","Jan 05, 2018","174.00","175.00","173.40","174.05","174.05","3,737,700","MCD"
