"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","44.05","44.29","43.71","44.14","44.14","6,796,500","MDLZ"
"2","Feb 15, 2018","43.17","44.09","42.78","44.08","44.08","8,637,800","MDLZ"
"3","Feb 14, 2018","42.66","43.31","42.04","42.96","42.96","10,233,100","MDLZ"
"4","Feb 13, 2018","42.26","43.02","42.00","42.80","42.80","9,240,100","MDLZ"
"5","Feb 12, 2018","42.37","42.88","42.10","42.53","42.53","15,788,600","MDLZ"
"6","Feb 09, 2018","42.83","43.13","41.82","42.14","42.14","13,993,500","MDLZ"
"7","Feb 08, 2018","44.17","44.34","42.67","42.68","42.68","13,672,600","MDLZ"
"8","Feb 07, 2018","44.29","44.78","43.85","44.05","44.05","8,322,200","MDLZ"
"9","Feb 06, 2018","43.64","44.57","43.27","44.55","44.55","12,196,800","MDLZ"
"10","Feb 05, 2018","45.32","46.20","43.94","43.94","43.94","14,324,200","MDLZ"
"11","Feb 02, 2018","45.84","46.13","45.44","45.50","45.50","10,937,100","MDLZ"
"12","Feb 01, 2018","44.36","46.54","44.29","45.87","45.87","20,120,900","MDLZ"
"13","Jan 31, 2018","44.33","44.77","44.17","44.40","44.40","14,784,000","MDLZ"
"14","Jan 30, 2018","44.58","45.06","44.25","44.34","44.34","7,110,700","MDLZ"
"15","Jan 29, 2018","44.96","45.01","44.31","44.54","44.54","10,451,700","MDLZ"
"16","Jan 26, 2018","44.61","44.61","44.12","44.42","44.42","5,733,000","MDLZ"
"17","Jan 25, 2018","44.72","45.00","44.20","44.47","44.47","7,402,900","MDLZ"
"18","Jan 24, 2018","44.59","44.76","44.46","44.59","44.59","6,794,200","MDLZ"
"19","Jan 23, 2018","44.07","44.59","43.93","44.50","44.50","6,831,600","MDLZ"
"20","Jan 22, 2018","43.69","44.41","43.69","44.28","44.28","6,940,100","MDLZ"
"21","Jan 19, 2018","43.68","44.18","43.67","44.14","44.14","8,893,300","MDLZ"
"22","Jan 18, 2018","43.78","44.05","43.24","43.68","43.68","6,824,600","MDLZ"
"23","Jan 17, 2018","43.27","44.18","43.13","43.86","43.86","11,557,700","MDLZ"
"24","Jan 16, 2018","42.52","43.20","42.50","42.99","42.99","8,659,500","MDLZ"
"25","Jan 12, 2018","42.65","42.70","42.34","42.47","42.47","7,179,400","MDLZ"
"26","Jan 11, 2018","42.68","42.80","42.29","42.51","42.51","6,526,500","MDLZ"
"27","Jan 10, 2018","42.76","43.05","42.46","42.63","42.63","6,494,700","MDLZ"
"28","Jan 09, 2018","43.14","43.14","42.89","42.99","42.99","5,805,300","MDLZ"
"29","Jan 08, 2018","43.10","43.46","42.98","43.01","43.01","8,140,300","MDLZ"
"30","Jan 05, 2018","42.82","43.37","42.70","43.23","43.23","10,811,500","MDLZ"
"31","Jan 04, 2018","42.72","43.05","42.48","42.68","42.68","8,718,800","MDLZ"
"32","Jan 03, 2018","42.50","42.77","42.36","42.58","42.58","8,633,800","MDLZ"
"33","Jan 02, 2018","43.22","43.22","42.40","42.41","42.41","6,516,100","MDLZ"
"34","Dec 29, 2017","42.96","43.24","42.77","42.80","42.80","19,611,400","MDLZ"
"35","Dec 28, 2017","43.13","43.27","42.90","43.06","43.06","5,011,600","MDLZ"
"36","Dec 28, 2017","0.22 Dividend","0.22 Dividend","0.22 Dividend","0.22 Dividend","0.22 Dividend","0.22 Dividend","MDLZ"
"37","Dec 27, 2017","43.38","43.59","43.15","43.25","43.03","5,565,600","MDLZ"
"38","Dec 26, 2017","43.42","43.73","43.25","43.42","43.20","6,874,000","MDLZ"
"39","Dec 22, 2017","43.20","43.47","43.14","43.36","43.14","8,862,600","MDLZ"
"40","Dec 21, 2017","43.12","43.29","42.97","43.10","42.88","6,411,100","MDLZ"
"41","Dec 20, 2017","43.38","43.47","42.89","42.95","42.73","7,022,400","MDLZ"
"42","Dec 19, 2017","43.32","43.65","43.15","43.25","43.03","6,997,800","MDLZ"
"43","Dec 18, 2017","43.44","43.98","42.84","43.11","42.89","11,083,700","MDLZ"
"44","Dec 15, 2017","42.89","43.52","42.52","43.38","43.16","15,777,800","MDLZ"
"45","Dec 14, 2017","42.89","42.99","42.74","42.77","42.55","9,710,300","MDLZ"
"46","Dec 13, 2017","42.88","43.13","42.68","42.94","42.72","9,000,700","MDLZ"
"47","Dec 12, 2017","42.77","42.98","42.68","42.88","42.66","14,930,600","MDLZ"
"48","Dec 11, 2017","42.53","42.88","42.37","42.87","42.65","10,830,400","MDLZ"
"49","Dec 08, 2017","42.89","42.92","42.53","42.65","42.43","5,979,600","MDLZ"
"50","Dec 07, 2017","43.24","43.30","42.67","42.68","42.46","6,837,200","MDLZ"
"51","Dec 06, 2017","43.19","43.42","42.97","43.33","43.11","8,191,800","MDLZ"
"52","Dec 05, 2017","43.17","43.43","42.72","42.99","42.77","7,055,100","MDLZ"
"53","Dec 04, 2017","42.50","43.37","42.50","43.11","42.89","9,146,300","MDLZ"
"54","Dec 01, 2017","42.68","43.16","42.42","42.92","42.70","8,957,800","MDLZ"
"55","Nov 30, 2017","43.00","43.34","42.76","42.94","42.72","9,419,200","MDLZ"
"56","Nov 29, 2017","42.64","43.43","42.59","42.94","42.72","8,954,800","MDLZ"
"57","Nov 28, 2017","42.59","42.76","42.41","42.61","42.39","5,770,800","MDLZ"
"58","Nov 27, 2017","42.23","42.63","42.22","42.47","42.25","6,480,100","MDLZ"
"59","Nov 24, 2017","42.26","42.53","42.10","42.15","41.94","3,455,200","MDLZ"
"60","Nov 22, 2017","42.45","42.45","42.09","42.33","42.11","5,872,500","MDLZ"
"61","Nov 21, 2017","42.30","42.34","42.04","42.32","42.10","6,330,500","MDLZ"
"62","Nov 20, 2017","42.30","42.62","41.98","42.11","41.90","6,252,500","MDLZ"
"63","Nov 17, 2017","42.25","42.77","42.15","42.30","42.08","9,176,600","MDLZ"
"64","Nov 16, 2017","41.95","42.51","41.90","42.19","41.98","6,832,300","MDLZ"
"65","Nov 15, 2017","42.47","42.64","41.88","41.95","41.74","8,702,700","MDLZ"
"66","Nov 14, 2017","41.98","42.63","41.77","42.53","42.31","8,426,300","MDLZ"
"67","Nov 13, 2017","41.83","42.19","41.83","42.05","41.84","6,886,700","MDLZ"
"68","Nov 10, 2017","41.12","42.08","41.03","41.95","41.74","10,149,400","MDLZ"
"69","Nov 09, 2017","41.31","41.63","41.22","41.35","41.14","6,748,500","MDLZ"
"70","Nov 08, 2017","40.97","41.77","40.97","41.60","41.39","11,386,400","MDLZ"
"71","Nov 07, 2017","40.52","41.27","40.36","41.21","41.00","7,540,400","MDLZ"
"72","Nov 06, 2017","40.94","40.95","40.20","40.42","40.21","5,571,000","MDLZ"
"73","Nov 03, 2017","41.16","41.35","40.90","40.97","40.76","5,149,800","MDLZ"
"74","Nov 02, 2017","41.26","41.46","40.89","41.16","40.95","6,897,100","MDLZ"
"75","Nov 01, 2017","41.85","41.88","41.22","41.27","41.06","7,619,900","MDLZ"
"76","Oct 31, 2017","42.33","42.49","41.33","41.43","41.22","16,672,500","MDLZ"
"77","Oct 30, 2017","40.46","40.67","39.19","39.30","39.10","13,981,600","MDLZ"
"78","Oct 27, 2017","40.38","40.89","40.36","40.68","40.47","9,946,900","MDLZ"
"79","Oct 26, 2017","41.30","41.35","40.89","40.91","40.70","6,209,100","MDLZ"
"80","Oct 25, 2017","40.92","41.11","40.54","41.08","40.87","5,941,300","MDLZ"
"81","Oct 24, 2017","41.05","41.42","40.94","41.09","40.88","8,816,600","MDLZ"
"82","Oct 23, 2017","41.14","41.28","40.88","41.04","40.83","5,457,500","MDLZ"
"83","Oct 20, 2017","40.67","41.06","40.67","41.02","40.81","7,610,900","MDLZ"
"84","Oct 19, 2017","40.84","40.91","40.62","40.73","40.52","6,209,800","MDLZ"
"85","Oct 18, 2017","40.81","41.13","40.72","40.81","40.60","5,691,600","MDLZ"
"86","Oct 17, 2017","41.39","41.45","40.98","41.13","40.92","6,209,800","MDLZ"
"87","Oct 16, 2017","41.64","41.76","41.44","41.55","41.34","4,496,800","MDLZ"
"88","Oct 13, 2017","42.00","42.00","41.62","41.68","41.47","7,051,300","MDLZ"
"89","Oct 12, 2017","41.76","41.90","41.52","41.81","41.60","5,110,200","MDLZ"
"90","Oct 11, 2017","41.45","41.81","41.40","41.71","41.50","6,807,000","MDLZ"
"91","Oct 10, 2017","40.89","41.63","40.83","41.45","41.24","10,650,000","MDLZ"
"92","Oct 09, 2017","41.41","41.42","40.71","40.81","40.60","4,700,500","MDLZ"
"93","Oct 06, 2017","41.15","41.26","41.03","41.13","40.92","5,047,100","MDLZ"
"94","Oct 05, 2017","41.08","41.23","40.95","41.10","40.89","6,758,500","MDLZ"
"95","Oct 04, 2017","41.05","41.24","40.90","41.02","40.81","5,735,800","MDLZ"
"96","Oct 03, 2017","41.29","41.29","40.83","40.94","40.73","8,036,200","MDLZ"
"97","Oct 02, 2017","40.60","41.41","40.56","41.10","40.89","18,913,500","MDLZ"
