"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","82.80","83.76","82.12","83.31","83.31","6,821,100","MDT"
"2","Feb 15, 2018","82.41","82.98","81.95","82.94","82.94","4,002,000","MDT"
"3","Feb 14, 2018","79.72","82.06","79.63","81.86","81.86","5,000,000","MDT"
"4","Feb 13, 2018","79.85","80.59","79.35","80.22","80.22","4,574,600","MDT"
"5","Feb 12, 2018","79.71","80.75","79.25","80.24","80.24","4,314,100","MDT"
"6","Feb 09, 2018","78.88","80.08","77.56","79.48","79.48","6,061,800","MDT"
"7","Feb 08, 2018","81.33","81.51","78.35","78.38","78.38","7,346,100","MDT"
"8","Feb 07, 2018","81.40","82.96","81.29","81.35","81.35","5,929,900","MDT"
"9","Feb 06, 2018","80.06","82.06","79.09","81.67","81.67","10,190,000","MDT"
"10","Feb 05, 2018","84.07","84.58","80.92","81.42","81.42","7,237,200","MDT"
"11","Feb 02, 2018","84.67","85.25","84.36","84.45","84.45","5,564,500","MDT"
"12","Feb 01, 2018","85.38","85.68","84.63","84.98","84.98","4,201,600","MDT"
"13","Jan 31, 2018","86.33","86.50","85.62","85.89","85.89","5,258,300","MDT"
"14","Jan 30, 2018","85.93","86.72","85.75","85.96","85.96","3,881,700","MDT"
"15","Jan 29, 2018","86.85","87.30","86.32","86.72","86.72","3,804,900","MDT"
"16","Jan 26, 2018","86.86","87.18","86.36","87.12","87.12","3,815,100","MDT"
"17","Jan 25, 2018","85.99","86.98","85.66","86.82","86.82","3,947,800","MDT"
"18","Jan 24, 2018","85.83","86.13","85.16","85.76","85.76","5,680,200","MDT"
"19","Jan 23, 2018","86.22","86.22","84.98","85.23","85.23","4,962,300","MDT"
"20","Jan 22, 2018","86.42","86.57","85.40","86.05","86.05","5,926,900","MDT"
"21","Jan 19, 2018","87.58","87.90","86.03","86.68","86.68","7,314,800","MDT"
"22","Jan 18, 2018","86.16","87.93","85.95","87.26","87.26","7,328,600","MDT"
"23","Jan 17, 2018","85.88","86.45","85.44","86.11","86.11","5,449,000","MDT"
"24","Jan 16, 2018","85.58","86.13","84.87","85.32","85.32","5,428,200","MDT"
"25","Jan 12, 2018","85.85","85.99","85.30","85.45","85.45","5,085,900","MDT"
"26","Jan 11, 2018","85.94","85.94","85.08","85.73","85.73","3,930,300","MDT"
"27","Jan 10, 2018","85.55","85.99","84.52","85.49","85.49","3,575,300","MDT"
"28","Jan 09, 2018","85.86","86.75","85.66","85.88","85.88","6,099,900","MDT"
"29","Jan 08, 2018","85.50","85.69","85.21","85.51","85.51","6,117,600","MDT"
"30","Jan 05, 2018","84.53","85.74","84.01","85.54","85.54","7,428,500","MDT"
"31","Jan 04, 2018","84.45","84.90","83.14","84.12","84.12","5,943,200","MDT"
"32","Jan 03, 2018","82.20","84.82","82.17","83.92","83.92","6,879,100","MDT"
"33","Jan 02, 2018","82.16","82.69","81.95","82.21","82.21","4,783,500","MDT"
"34","Dec 29, 2017","81.58","81.80","80.73","80.75","80.75","3,259,900","MDT"
"35","Dec 28, 2017","81.33","81.58","81.08","81.34","81.34","2,859,800","MDT"
