"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","46.42","47.05","46.23","46.64","46.64","7,670,400","MET"
"2","Feb 15, 2018","47.06","47.28","46.10","46.73","46.73","7,152,500","MET"
"3","Feb 14, 2018","45.60","46.90","45.26","46.70","46.70","9,649,300","MET"
"4","Feb 13, 2018","44.45","45.25","44.18","45.20","45.20","8,187,400","MET"
"5","Feb 12, 2018","44.99","45.21","44.13","44.62","44.62","9,935,400","MET"
"6","Feb 09, 2018","45.00","45.02","43.38","44.61","44.61","9,965,800","MET"
"7","Feb 08, 2018","46.31","46.42","44.26","44.28","44.28","9,043,800","MET"
"8","Feb 07, 2018","45.95","46.93","45.83","46.26","46.26","9,027,900","MET"
"9","Feb 06, 2018","45.06","46.38","44.58","46.20","46.20","13,696,700","MET"
"10","Feb 05, 2018","47.00","47.46","45.55","45.89","45.89","12,513,000","MET"
"11","Feb 02, 2018","47.89","48.23","47.42","47.56","47.56","9,583,800","MET"
"12","Feb 02, 2018","0.4 Dividend","0.4 Dividend","0.4 Dividend","0.4 Dividend","0.4 Dividend","0.4 Dividend","MET"
"13","Feb 01, 2018","48.01","48.67","47.72","48.39","47.99","15,853,300","MET"
"14","Jan 31, 2018","48.47","49.50","48.01","48.07","47.67","28,761,700","MET"
"15","Jan 30, 2018","50.25","50.82","49.00","49.73","49.32","29,493,000","MET"
"16","Jan 29, 2018","54.63","55.21","54.37","54.40","53.95","5,624,100","MET"
"17","Jan 26, 2018","54.25","54.77","54.02","54.77","54.32","3,660,700","MET"
"18","Jan 25, 2018","54.25","54.25","53.81","54.00","53.55","4,389,800","MET"
"19","Jan 24, 2018","54.12","54.24","53.72","54.10","53.65","3,996,700","MET"
"20","Jan 23, 2018","53.75","53.90","53.19","53.61","53.17","4,139,400","MET"
"21","Jan 22, 2018","53.51","53.91","53.19","53.85","53.40","4,481,700","MET"
"22","Jan 19, 2018","52.93","53.54","52.62","53.40","52.96","6,660,000","MET"
"23","Jan 18, 2018","52.70","53.58","52.55","52.95","52.51","5,429,000","MET"
"24","Jan 17, 2018","52.15","52.71","52.06","52.55","52.12","5,947,000","MET"
"25","Jan 16, 2018","53.34","53.55","51.62","51.85","51.42","9,410,800","MET"
"26","Jan 12, 2018","53.71","53.89","53.01","53.33","52.89","5,480,400","MET"
"27","Jan 11, 2018","53.28","53.79","53.28","53.49","53.05","3,583,100","MET"
"28","Jan 10, 2018","52.49","53.68","52.39","53.03","52.59","5,025,800","MET"
"29","Jan 09, 2018","52.21","52.94","52.16","52.36","51.93","4,536,300","MET"
"30","Jan 08, 2018","51.72","52.20","51.45","51.98","51.55","4,216,000","MET"
"31","Jan 05, 2018","51.53","51.88","51.22","51.84","51.41","3,419,000","MET"
"32","Jan 04, 2018","50.84","51.63","50.75","51.36","50.94","4,373,900","MET"
"33","Jan 03, 2018","50.08","50.85","50.05","50.50","50.08","4,124,300","MET"
"34","Jan 02, 2018","50.81","50.86","49.65","50.18","49.77","5,424,500","MET"
"35","Dec 29, 2017","51.09","51.14","50.55","50.56","50.14","3,424,400","MET"
"36","Dec 28, 2017","50.75","51.01","50.69","50.87","50.45","2,931,400","MET"
"37","Dec 27, 2017","50.70","50.90","50.56","50.75","50.33","2,825,400","MET"
"38","Dec 26, 2017","50.82","51.12","50.61","50.67","50.25","3,074,900","MET"
"39","Dec 22, 2017","51.27","51.27","50.51","50.76","50.34","4,236,800","MET"
"40","Dec 21, 2017","51.33","51.58","50.92","51.03","50.61","5,034,200","MET"
"41","Dec 20, 2017","51.00","51.27","50.79","51.01","50.59","4,923,200","MET"
"42","Dec 19, 2017","51.26","51.56","50.77","50.79","50.37","5,710,400","MET"
"43","Dec 18, 2017","51.73","51.81","50.66","50.93","50.51","7,867,500","MET"
"44","Dec 15, 2017","51.51","51.94","50.89","51.41","50.99","15,455,500","MET"
"45","Dec 14, 2017","53.00","53.27","52.36","52.49","52.06","4,281,800","MET"
"46","Dec 13, 2017","53.50","53.61","52.76","52.84","52.40","4,944,400","MET"
"47","Dec 12, 2017","53.70","54.06","53.36","53.67","53.23","4,704,500","MET"
"48","Dec 11, 2017","53.89","54.19","53.48","53.64","53.20","3,558,100","MET"
"49","Dec 08, 2017","53.94","53.94","53.42","53.76","53.32","3,690,500","MET"
"50","Dec 07, 2017","52.89","53.88","52.88","53.62","53.18","3,808,900","MET"
"51","Dec 06, 2017","53.05","53.30","52.69","53.00","52.56","3,500,400","MET"
"52","Dec 05, 2017","53.79","53.87","52.88","53.04","52.60","4,131,300","MET"
"53","Dec 04, 2017","54.29","54.45","53.60","53.62","53.18","4,118,600","MET"
