"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","234.97","238.44","233.39","236.67","236.67","2,207,700","MMM"
"2","Feb 15, 2018","233.31","234.90","230.88","234.87","234.87","2,127,500","MMM"
"3","Feb 15, 2018","1.36 Dividend","1.36 Dividend","1.36 Dividend","1.36 Dividend","1.36 Dividend","1.36 Dividend","MMM"
"4","Feb 14, 2018","229.45","232.87","228.47","232.00","230.64","2,337,800","MMM"
"5","Feb 13, 2018","229.71","231.97","228.93","231.36","230.00","2,523,600","MMM"
"6","Feb 12, 2018","227.49","230.38","226.10","229.19","227.85","3,290,400","MMM"
"7","Feb 09, 2018","224.61","226.96","218.18","225.21","223.89","4,518,600","MMM"
"8","Feb 08, 2018","233.16","233.31","222.65","222.89","221.58","3,751,300","MMM"
"9","Feb 07, 2018","233.19","237.52","232.82","233.19","231.82","2,885,600","MMM"
"10","Feb 06, 2018","227.51","234.57","226.81","233.63","232.26","5,108,100","MMM"
"11","Feb 05, 2018","243.50","244.40","226.01","231.44","230.08","6,590,500","MMM"
"12","Feb 02, 2018","246.43","248.75","244.88","245.17","243.73","3,925,700","MMM"
"13","Feb 01, 2018","247.44","250.09","246.18","247.94","246.49","2,665,500","MMM"
"14","Jan 31, 2018","251.49","253.13","249.60","250.50","249.03","3,136,400","MMM"
"15","Jan 30, 2018","255.60","255.69","251.41","251.54","250.07","2,412,600","MMM"
"16","Jan 29, 2018","258.51","259.34","255.97","256.01","254.51","2,306,300","MMM"
"17","Jan 26, 2018","253.43","259.77","253.39","258.63","257.11","3,730,600","MMM"
"18","Jan 25, 2018","250.00","254.80","247.10","252.36","250.88","3,507,900","MMM"
"19","Jan 24, 2018","247.99","248.54","246.25","247.69","246.24","3,471,000","MMM"
"20","Jan 23, 2018","246.91","247.26","245.12","246.31","244.87","1,822,700","MMM"
"21","Jan 22, 2018","247.13","247.89","245.08","247.30","245.85","1,660,500","MMM"
"22","Jan 19, 2018","246.63","248.50","245.60","248.18","246.73","2,013,500","MMM"
"23","Jan 18, 2018","248.13","249.00","244.92","245.91","244.47","2,233,500","MMM"
"24","Jan 17, 2018","246.85","248.53","245.80","248.11","246.66","2,519,000","MMM"
"25","Jan 16, 2018","245.30","247.19","243.83","244.74","243.31","2,411,100","MMM"
"26","Jan 12, 2018","243.07","246.00","242.50","244.47","243.04","1,974,300","MMM"
"27","Jan 11, 2018","240.74","242.34","239.75","242.31","240.89","1,487,700","MMM"
"28","Jan 10, 2018","241.00","242.57","240.03","241.14","239.73","1,640,900","MMM"
"29","Jan 09, 2018","239.60","241.78","239.34","241.28","239.87","1,695,100","MMM"
"30","Jan 08, 2018","239.38","240.94","239.18","239.79","238.38","1,869,000","MMM"
"31","Jan 05, 2018","238.65","240.90","237.74","240.57","239.16","1,835,900","MMM"
"32","Jan 04, 2018","237.00","239.44","236.47","238.71","237.31","2,243,100","MMM"
"33","Jan 03, 2018","235.07","235.73","233.29","235.63","234.25","2,193,700","MMM"
"34","Jan 02, 2018","235.78","237.07","232.81","235.64","234.26","2,931,000","MMM"
"35","Dec 29, 2017","236.48","237.31","235.37","235.37","233.99","1,343,900","MMM"
"36","Dec 28, 2017","236.94","237.08","235.28","235.72","234.34","1,189,700","MMM"
"37","Dec 27, 2017","235.52","236.54","234.84","236.20","234.82","970,500","MMM"
"38","Dec 26, 2017","235.08","236.28","235.03","235.45","234.07","789,100","MMM"
"39","Dec 22, 2017","235.36","236.08","234.28","234.73","233.35","1,280,600","MMM"
"40","Dec 21, 2017","236.00","237.25","234.41","234.78","233.40","2,241,600","MMM"
"41","Dec 20, 2017","238.20","238.47","236.49","236.92","235.53","1,621,600","MMM"
