"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","65.35","66.05","64.85","65.46","65.46","6,195,700","MO"
"2","Feb 15, 2018","65.35","65.48","64.60","65.32","65.32","5,366,500","MO"
"3","Feb 14, 2018","65.38","65.86","64.92","65.18","65.18","5,532,500","MO"
"4","Feb 13, 2018","65.00","65.82","64.73","65.64","65.64","5,226,300","MO"
"5","Feb 12, 2018","64.47","65.80","64.34","65.35","65.35","6,739,900","MO"
"6","Feb 09, 2018","64.53","64.68","62.83","64.03","64.03","10,713,100","MO"
"7","Feb 08, 2018","66.66","67.27","64.00","64.05","64.05","13,457,400","MO"
"8","Feb 07, 2018","66.45","68.21","66.27","66.79","66.79","8,352,900","MO"
"9","Feb 06, 2018","64.79","66.67","63.46","66.53","66.53","16,146,400","MO"
"10","Feb 05, 2018","68.44","68.87","65.88","66.04","66.04","12,619,800","MO"
"11","Feb 02, 2018","69.90","70.66","69.16","69.40","69.40","8,652,400","MO"
"12","Feb 01, 2018","69.90","70.49","68.46","69.93","69.93","14,240,400","MO"
"13","Jan 31, 2018","69.87","70.65","69.78","70.34","70.34","9,800,300","MO"
"14","Jan 30, 2018","69.82","70.21","69.32","69.82","69.82","6,365,200","MO"
"15","Jan 29, 2018","70.68","70.82","69.80","69.83","69.83","5,387,900","MO"
"16","Jan 26, 2018","70.04","71.24","69.99","71.02","71.02","6,819,100","MO"
"17","Jan 25, 2018","71.51","71.69","67.65","69.91","69.91","12,691,800","MO"
"18","Jan 24, 2018","71.47","71.86","71.20","71.56","71.56","6,121,800","MO"
"19","Jan 23, 2018","71.36","71.61","70.94","71.45","71.45","4,596,400","MO"
"20","Jan 22, 2018","71.10","71.57","70.90","71.28","71.28","4,987,800","MO"
"21","Jan 19, 2018","70.84","71.68","70.63","71.12","71.12","8,714,000","MO"
"22","Jan 18, 2018","69.99","70.42","69.57","70.03","70.03","8,605,000","MO"
"23","Jan 17, 2018","69.12","70.52","68.98","70.15","70.15","7,724,500","MO"
"24","Jan 16, 2018","69.84","69.92","68.24","68.92","68.92","10,521,000","MO"
"25","Jan 12, 2018","70.21","70.46","69.53","69.61","69.61","7,413,600","MO"
"26","Jan 11, 2018","70.31","71.04","70.03","70.29","70.29","7,486,300","MO"
"27","Jan 10, 2018","69.82","70.42","68.87","70.29","70.29","6,709,900","MO"
"28","Jan 09, 2018","70.59","70.77","69.40","69.57","69.57","6,269,300","MO"
"29","Jan 08, 2018","70.20","70.54","69.82","70.31","70.31","6,054,800","MO"
"30","Jan 05, 2018","70.33","70.55","69.86","70.40","70.40","6,383,400","MO"
"31","Jan 04, 2018","70.60","70.80","70.13","70.20","70.20","6,177,300","MO"
"32","Jan 03, 2018","70.66","70.95","70.27","70.48","70.48","6,036,400","MO"
"33","Jan 02, 2018","71.51","71.82","70.03","70.74","70.74","5,917,300","MO"
"34","Dec 29, 2017","71.29","72.15","71.12","71.41","71.41","5,504,400","MO"
"35","Dec 28, 2017","72.41","72.45","71.02","71.27","71.27","13,351,300","MO"
