"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","120.72","121.33","120.31","120.79","120.79","1,731,300","MON"
"2","Feb 15, 2018","120.66","121.00","120.17","121.00","121.00","1,487,600","MON"
"3","Feb 14, 2018","119.75","120.50","119.75","120.18","120.18","1,879,500","MON"
"4","Feb 13, 2018","120.00","120.81","119.98","120.11","120.11","1,740,000","MON"
"5","Feb 12, 2018","119.00","121.30","119.00","120.44","120.44","3,684,800","MON"
"6","Feb 09, 2018","119.47","119.75","118.10","118.64","118.64","4,856,300","MON"
"7","Feb 08, 2018","120.47","120.67","119.08","119.08","119.08","3,277,800","MON"
"8","Feb 07, 2018","119.00","121.50","118.96","120.41","120.41","3,940,000","MON"
"9","Feb 06, 2018","118.63","120.14","118.50","119.29","119.29","5,796,500","MON"
"10","Feb 05, 2018","121.00","121.83","119.03","119.18","119.18","3,593,600","MON"
"11","Feb 02, 2018","121.25","122.28","121.00","121.00","121.00","2,926,000","MON"
"12","Feb 01, 2018","121.80","122.38","121.45","121.89","121.89","2,930,600","MON"
"13","Jan 31, 2018","122.00","122.50","121.71","121.80","121.80","2,813,400","MON"
"14","Jan 30, 2018","121.70","122.42","121.00","122.25","122.25","2,835,100","MON"
"15","Jan 29, 2018","122.10","122.34","121.75","121.77","121.77","1,879,400","MON"
"16","Jan 26, 2018","122.75","122.81","122.25","122.41","122.41","1,843,900","MON"
"17","Jan 25, 2018","122.40","123.15","121.60","122.39","122.39","3,285,900","MON"
"18","Jan 24, 2018","121.34","122.53","120.99","122.18","122.18","3,400,400","MON"
"19","Jan 23, 2018","120.37","122.20","120.20","121.55","121.55","3,930,000","MON"
"20","Jan 22, 2018","120.50","121.06","120.30","120.99","120.99","1,927,300","MON"
"21","Jan 19, 2018","119.15","121.25","118.93","120.66","120.66","6,986,500","MON"
"22","Jan 18, 2018","118.61","119.19","118.50","118.86","118.86","3,617,100","MON"
"23","Jan 17, 2018","119.69","120.10","118.75","118.81","118.81","3,494,500","MON"
"24","Jan 16, 2018","119.78","120.11","119.03","119.72","119.72","4,182,400","MON"
"25","Jan 12, 2018","119.54","119.74","119.05","119.70","119.70","2,201,000","MON"
"26","Jan 11, 2018","118.99","119.73","118.76","119.54","119.54","2,864,100","MON"
"27","Jan 10, 2018","119.16","119.29","118.64","118.83","118.83","3,171,900","MON"
"28","Jan 09, 2018","119.15","119.61","118.79","119.32","119.32","1,739,300","MON"
"29","Jan 08, 2018","118.61","119.12","118.45","119.10","119.10","1,321,800","MON"
"30","Jan 05, 2018","118.46","118.69","117.71","118.60","118.60","4,292,200","MON"
"31","Jan 04, 2018","118.00","118.25","117.53","117.93","117.93","3,545,900","MON"
"32","Jan 04, 2018","0.54 Dividend","0.54 Dividend","0.54 Dividend","0.54 Dividend","0.54 Dividend","0.54 Dividend","MON"
"33","Jan 03, 2018","117.51","118.00","117.44","118.00","117.46","2,803,800","MON"
"34","Jan 02, 2018","117.05","117.52","116.90","117.52","116.98","11,010,900","MON"
"35","Dec 29, 2017","116.50","117.10","116.40","116.78","116.25","2,988,400","MON"
"36","Dec 28, 2017","116.35","116.60","116.19","116.27","115.74","2,341,000","MON"
"37","Dec 27, 2017","116.16","116.65","116.10","116.36","115.83","1,142,100","MON"
"38","Dec 26, 2017","116.25","116.70","115.95","116.02","115.49","854,100","MON"
"39","Dec 22, 2017","115.47","116.38","115.26","116.28","115.75","1,347,000","MON"
"40","Dec 21, 2017","115.61","115.63","114.85","115.47","114.94","1,895,100","MON"
"41","Dec 20, 2017","116.10","116.21","114.98","115.00","114.47","3,753,100","MON"
"42","Dec 19, 2017","115.72","117.10","115.65","116.00","115.47","6,143,300","MON"
"43","Dec 18, 2017","117.50","117.93","117.42","117.57","117.03","2,709,400","MON"
"44","Dec 15, 2017","117.61","117.83","117.01","117.35","116.81","5,499,500","MON"
"45","Dec 14, 2017","118.05","118.09","117.85","117.85","117.31","1,385,700","MON"
"46","Dec 13, 2017","117.80","118.10","117.50","118.09","117.55","2,878,300","MON"
"47","Dec 12, 2017","117.91","118.00","117.56","117.66","117.12","2,870,100","MON"
"48","Dec 11, 2017","117.50","117.90","117.00","117.73","117.19","2,088,600","MON"
"49","Dec 08, 2017","118.05","118.20","114.19","117.30","116.76","5,241,800","MON"
"50","Dec 07, 2017","118.34","118.34","117.88","118.00","117.46","1,360,100","MON"
"51","Dec 06, 2017","118.00","118.35","117.85","118.08","117.54","1,376,600","MON"
"52","Dec 05, 2017","118.79","119.21","118.17","118.26","117.72","1,982,000","MON"
"53","Dec 04, 2017","119.03","119.44","118.61","118.61","118.07","2,152,300","MON"
"54","Dec 01, 2017","119.00","119.59","118.62","118.93","118.39","3,812,500","MON"
"55","Nov 30, 2017","118.00","118.36","117.51","118.34","117.80","4,788,800","MON"
"56","Nov 29, 2017","118.63","118.85","117.52","117.71","117.17","3,351,700","MON"
"57","Nov 28, 2017","118.50","118.83","118.37","118.68","118.14","1,780,300","MON"
"58","Nov 27, 2017","118.25","118.63","118.15","118.37","117.83","1,440,500","MON"
"59","Nov 24, 2017","118.20","118.36","117.90","118.13","117.59","1,054,300","MON"
"60","Nov 22, 2017","118.38","118.61","118.21","118.22","117.68","1,847,200","MON"
"61","Nov 21, 2017","118.52","118.93","118.16","118.48","117.94","3,263,400","MON"
"62","Nov 20, 2017","118.33","118.53","118.00","118.09","117.55","1,328,800","MON"
"63","Nov 17, 2017","118.33","118.59","118.15","118.33","117.79","1,156,800","MON"
"64","Nov 16, 2017","117.52","118.69","117.51","118.60","118.06","2,238,500","MON"
"65","Nov 15, 2017","117.88","118.01","117.25","117.26","116.72","2,597,900","MON"
"66","Nov 14, 2017","118.02","118.63","117.62","118.05","117.51","2,124,600","MON"
"67","Nov 13, 2017","118.08","118.30","117.87","118.15","117.61","1,797,100","MON"
"68","Nov 10, 2017","117.02","118.39","117.02","118.30","117.76","2,329,800","MON"
"69","Nov 09, 2017","117.80","118.18","116.98","117.34","116.80","3,607,900","MON"
"70","Nov 08, 2017","119.36","119.60","117.15","117.38","116.84","5,154,600","MON"
"71","Nov 07, 2017","119.40","119.71","119.36","119.54","118.99","3,029,300","MON"
"72","Nov 06, 2017","120.00","120.10","119.50","119.53","118.98","1,408,500","MON"
"73","Nov 03, 2017","120.00","120.40","119.46","119.87","119.32","2,332,700","MON"
"74","Nov 02, 2017","121.00","121.16","120.08","120.43","119.88","3,706,800","MON"
"75","Nov 01, 2017","121.15","121.49","120.98","121.14","120.59","2,434,300","MON"
"76","Oct 31, 2017","121.38","121.50","120.63","121.10","120.55","1,915,600","MON"
"77","Oct 30, 2017","121.30","121.42","121.19","121.19","120.64","1,663,400","MON"
"78","Oct 27, 2017","121.19","121.54","121.18","121.52","120.96","1,809,600","MON"
"79","Oct 26, 2017","121.39","122.02","121.37","121.45","120.89","4,154,500","MON"
"80","Oct 25, 2017","121.78","121.98","121.44","121.55","120.99","2,712,400","MON"
"81","Oct 24, 2017","122.00","122.10","121.85","121.86","121.30","1,784,100","MON"
"82","Oct 23, 2017","122.08","122.23","121.94","122.00","121.44","1,308,800","MON"
"83","Oct 20, 2017","122.24","122.25","121.90","122.15","121.59","1,551,300","MON"
"84","Oct 19, 2017","122.00","122.08","121.75","122.03","121.47","1,992,000","MON"
"85","Oct 18, 2017","122.00","122.28","122.00","122.08","121.52","2,644,700","MON"
"86","Oct 17, 2017","122.25","122.45","122.00","122.15","121.59","2,635,700","MON"
"87","Oct 16, 2017","122.20","122.57","122.09","122.42","121.86","2,813,100","MON"
"88","Oct 13, 2017","122.66","122.80","122.20","122.30","121.74","6,619,800","MON"
"89","Oct 12, 2017","119.75","120.03","119.55","119.91","119.36","1,218,500","MON"
