"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","55.97","56.99","55.92","56.29","56.29","11,607,600","MRK"
"2","Feb 15, 2018","55.43","55.99","54.83","55.99","55.99","10,099,900","MRK"
"3","Feb 14, 2018","54.31","55.10","54.22","54.90","54.90","11,446,700","MRK"
"4","Feb 13, 2018","55.23","55.37","54.77","54.90","54.90","17,039,400","MRK"
"5","Feb 12, 2018","55.35","55.89","54.96","55.43","55.43","12,652,200","MRK"
"6","Feb 09, 2018","55.15","55.41","53.36","54.87","54.87","18,580,500","MRK"
"7","Feb 08, 2018","56.04","56.46","54.71","54.73","54.73","20,870,000","MRK"
"8","Feb 07, 2018","55.17","56.71","55.09","55.88","55.88","13,692,500","MRK"
"9","Feb 06, 2018","55.14","56.77","54.33","55.46","55.46","31,006,200","MRK"
"10","Feb 05, 2018","58.27","58.95","55.82","56.40","56.40","19,605,700","MRK"
"11","Feb 02, 2018","59.41","59.97","58.28","58.56","58.56","12,264,100","MRK"
"12","Feb 01, 2018","59.17","60.34","59.07","59.86","59.86","13,368,000","MRK"
"13","Jan 31, 2018","60.77","60.80","58.90","59.25","59.25","14,869,000","MRK"
"14","Jan 30, 2018","60.79","61.25","60.44","60.65","60.65","13,040,700","MRK"
"15","Jan 29, 2018","61.95","62.14","61.56","61.63","61.63","8,776,900","MRK"
"16","Jan 26, 2018","61.49","62.08","61.34","62.04","62.04","10,553,700","MRK"
"17","Jan 25, 2018","61.30","61.38","60.95","61.30","61.30","9,402,300","MRK"
"18","Jan 24, 2018","62.01","62.11","60.96","61.18","61.18","13,482,100","MRK"
"19","Jan 23, 2018","61.03","62.13","60.87","61.70","61.70","11,181,500","MRK"
"20","Jan 22, 2018","60.95","61.44","60.72","61.25","61.25","12,247,500","MRK"
"21","Jan 19, 2018","61.48","61.48","60.64","61.28","61.28","12,161,900","MRK"
"22","Jan 18, 2018","62.00","62.12","60.63","61.13","61.13","19,905,800","MRK"
"23","Jan 17, 2018","62.29","62.59","61.89","62.03","62.03","21,889,900","MRK"
"24","Jan 16, 2018","61.75","63.78","61.25","62.07","62.07","48,091,300","MRK"
"25","Jan 12, 2018","57.95","58.81","57.89","58.66","58.66","12,343,100","MRK"
"26","Jan 11, 2018","57.30","57.61","57.16","57.60","57.60","7,106,300","MRK"
"27","Jan 10, 2018","56.55","57.37","56.46","57.30","57.30","9,062,400","MRK"
"28","Jan 09, 2018","56.81","57.10","56.57","56.80","56.80","10,631,700","MRK"
"29","Jan 08, 2018","57.21","57.25","56.50","56.66","56.66","11,109,300","MRK"
"30","Jan 05, 2018","57.39","57.39","56.59","56.99","56.99","9,499,100","MRK"
"31","Jan 04, 2018","56.44","57.42","56.38","57.05","57.05","15,030,200","MRK"
"32","Jan 03, 2018","56.23","56.26","55.96","56.14","56.14","10,582,500","MRK"
