"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","55.30","55.57","54.95","55.14","55.14","7,416,100","MS"
"2","Feb 15, 2018","55.48","55.60","54.58","55.40","55.40","7,769,900","MS"
"3","Feb 14, 2018","53.27","55.10","53.26","55.05","55.05","10,536,300","MS"
"4","Feb 13, 2018","53.03","53.88","52.86","53.39","53.39","8,659,500","MS"
"5","Feb 12, 2018","52.80","54.14","52.62","53.43","53.43","11,712,900","MS"
"6","Feb 09, 2018","52.56","52.91","50.02","52.14","52.14","15,736,400","MS"
"7","Feb 08, 2018","54.54","54.65","51.79","51.79","51.79","14,073,100","MS"
"8","Feb 07, 2018","53.92","55.71","53.89","54.55","54.55","11,541,700","MS"
"9","Feb 06, 2018","51.20","54.36","50.90","54.33","54.33","17,628,700","MS"
"10","Feb 05, 2018","54.64","55.63","51.92","52.55","52.55","13,439,000","MS"
"11","Feb 02, 2018","57.03","57.29","55.39","55.48","55.48","9,783,700","MS"
"12","Feb 01, 2018","56.50","57.46","56.37","57.45","57.45","7,474,400","MS"
"13","Jan 31, 2018","56.71","57.08","56.33","56.55","56.55","7,193,100","MS"
"14","Jan 30, 2018","56.67","57.29","56.55","56.60","56.60","7,321,200","MS"
"15","Jan 30, 2018","0.25 Dividend","0.25 Dividend","0.25 Dividend","0.25 Dividend","0.25 Dividend","0.25 Dividend","MS"
"16","Jan 29, 2018","57.49","58.05","57.41","57.45","57.20","7,493,500","MS"
"17","Jan 26, 2018","57.09","57.62","56.75","57.60","57.35","8,382,200","MS"
"18","Jan 25, 2018","57.36","57.37","56.61","56.81","56.56","9,463,800","MS"
"19","Jan 24, 2018","57.21","57.73","56.90","57.24","56.99","8,403,600","MS"
"20","Jan 23, 2018","57.14","57.31","56.65","56.91","56.66","9,372,200","MS"
"21","Jan 22, 2018","56.47","57.48","56.13","57.36","57.11","16,858,300","MS"
"22","Jan 19, 2018","55.69","57.50","55.69","57.46","57.21","15,124,200","MS"
"23","Jan 18, 2018","55.90","55.99","55.09","55.84","55.60","13,953,900","MS"
"24","Jan 17, 2018","54.78","55.41","53.86","55.35","55.11","11,905,200","MS"
"25","Jan 16, 2018","55.65","55.98","54.20","54.60","54.36","11,168,500","MS"
"26","Jan 12, 2018","54.57","55.14","54.52","55.12","54.88","8,998,000","MS"
"27","Jan 11, 2018","54.14","54.34","53.82","54.20","53.96","8,310,000","MS"
"28","Jan 10, 2018","53.94","54.48","53.61","53.93","53.70","11,028,800","MS"
"29","Jan 09, 2018","53.06","53.52","53.02","53.30","53.07","6,622,700","MS"
"30","Jan 08, 2018","52.93","53.17","52.69","52.89","52.66","6,681,400","MS"
"31","Jan 05, 2018","53.20","53.24","52.74","53.11","52.88","6,476,000","MS"
"32","Jan 04, 2018","52.80","53.53","52.51","53.13","52.90","8,678,800","MS"
"33","Jan 03, 2018","52.30","52.55","51.92","52.33","52.10","6,955,500","MS"
"34","Jan 02, 2018","52.76","52.79","52.17","52.19","51.96","6,644,600","MS"
"35","Dec 29, 2017","52.76","52.82","52.37","52.47","52.24","5,804,600","MS"
"36","Dec 28, 2017","52.76","52.77","52.43","52.65","52.42","3,736,700","MS"
"37","Dec 27, 2017","52.33","52.59","52.11","52.57","52.34","5,786,800","MS"
"38","Dec 26, 2017","52.54","52.76","52.09","52.47","52.24","3,313,800","MS"
"39","Dec 22, 2017","53.03","53.11","52.25","52.72","52.49","6,153,800","MS"
