"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","92.45","93.50","91.80","92.00","92.00","30,557,400","MSFT"
"2","Feb 15, 2018","91.21","92.72","90.62","92.66","92.66","27,823,900","MSFT"
"3","Feb 14, 2018","88.51","90.99","88.41","90.81","90.81","34,960,900","MSFT"
"4","Feb 14, 2018","0.42 Dividend","0.42 Dividend","0.42 Dividend","0.42 Dividend","0.42 Dividend","0.42 Dividend","MSFT"
"5","Feb 13, 2018","88.93","90.00","87.80","89.83","89.41","26,407,700","MSFT"
"6","Feb 12, 2018","88.74","89.78","87.93","89.13","88.71","35,720,300","MSFT"
"7","Feb 09, 2018","86.30","88.93","83.83","88.18","87.77","63,499,100","MSFT"
"8","Feb 08, 2018","89.71","89.88","84.76","85.01","84.61","55,628,700","MSFT"
"9","Feb 07, 2018","90.49","91.77","89.20","89.61","89.19","41,107,600","MSFT"
"10","Feb 06, 2018","86.89","91.48","85.25","91.33","90.90","67,998,600","MSFT"
"11","Feb 05, 2018","90.56","93.24","88.00","88.00","87.59","51,031,500","MSFT"
"12","Feb 02, 2018","93.64","93.97","91.50","91.78","91.35","47,867,800","MSFT"
"13","Feb 01, 2018","94.79","96.07","93.58","94.26","93.82","47,227,900","MSFT"
"14","Jan 31, 2018","93.75","95.40","93.51","95.01","94.57","48,756,300","MSFT"
"15","Jan 30, 2018","93.30","93.66","92.10","92.74","92.31","38,635,100","MSFT"
"16","Jan 29, 2018","95.14","95.45","93.72","93.92","93.48","31,569,900","MSFT"
"17","Jan 26, 2018","93.12","94.06","92.58","94.06","93.62","29,172,200","MSFT"
"18","Jan 25, 2018","92.47","93.24","91.93","92.33","91.90","26,383,200","MSFT"
"19","Jan 24, 2018","92.55","93.43","91.58","91.82","91.39","33,277,500","MSFT"
"20","Jan 23, 2018","91.90","92.30","91.54","91.90","91.47","23,412,800","MSFT"
"21","Jan 22, 2018","90.00","91.62","89.74","91.61","91.18","23,601,600","MSFT"
"22","Jan 19, 2018","90.14","90.61","89.66","90.00","89.58","36,875,000","MSFT"
"23","Jan 18, 2018","89.80","90.67","89.66","90.10","89.68","24,159,700","MSFT"
"24","Jan 17, 2018","89.08","90.28","88.75","90.14","89.72","25,621,200","MSFT"
"25","Jan 16, 2018","90.10","90.79","88.01","88.35","87.94","36,599,700","MSFT"
"26","Jan 12, 2018","88.67","89.78","88.45","89.60","89.18","24,271,500","MSFT"
"27","Jan 11, 2018","88.13","88.13","87.24","88.08","87.67","17,808,900","MSFT"
"28","Jan 10, 2018","87.86","88.19","87.41","87.82","87.41","18,652,200","MSFT"
"29","Jan 09, 2018","88.65","88.73","87.86","88.22","87.81","19,484,300","MSFT"
"30","Jan 08, 2018","88.20","88.58","87.60","88.28","87.87","22,113,000","MSFT"
"31","Jan 05, 2018","87.66","88.41","87.43","88.19","87.78","23,407,100","MSFT"
"32","Jan 04, 2018","86.59","87.66","86.57","87.11","86.70","21,912,000","MSFT"
"33","Jan 03, 2018","86.06","86.51","85.97","86.35","85.95","26,061,400","MSFT"
"34","Jan 02, 2018","86.13","86.31","85.50","85.95","85.55","22,483,800","MSFT"
"35","Dec 29, 2017","85.63","86.05","85.50","85.54","85.14","18,717,400","MSFT"
"36","Dec 28, 2017","85.90","85.93","85.55","85.72","85.32","10,594,300","MSFT"
"37","Dec 27, 2017","85.65","85.98","85.22","85.71","85.31","14,678,000","MSFT"
"38","Dec 26, 2017","85.31","85.53","85.03","85.40","85.00","9,891,200","MSFT"
"39","Dec 22, 2017","85.40","85.63","84.92","85.51","85.11","14,145,800","MSFT"
"40","Dec 21, 2017","86.05","86.10","85.40","85.50","85.10","17,990,700","MSFT"
"41","Dec 20, 2017","86.20","86.30","84.71","85.52","85.12","23,674,900","MSFT"
"42","Dec 19, 2017","86.35","86.35","85.27","85.83","85.43","23,524,800","MSFT"
"43","Dec 18, 2017","87.12","87.50","86.23","86.38","85.98","22,283,800","MSFT"
"44","Dec 15, 2017","85.26","87.09","84.88","86.85","86.44","53,936,700","MSFT"
"45","Dec 14, 2017","85.43","85.87","84.53","84.69","84.29","19,306,000","MSFT"
"46","Dec 13, 2017","85.74","86.00","85.17","85.35","84.95","22,062,700","MSFT"
"47","Dec 12, 2017","85.31","86.05","85.08","85.58","85.18","23,924,100","MSFT"
"48","Dec 11, 2017","84.29","85.37","84.12","85.23","84.83","22,857,900","MSFT"
"49","Dec 08, 2017","83.63","84.58","83.33","84.16","83.77","24,489,100","MSFT"
"50","Dec 07, 2017","82.54","82.80","82.00","82.49","82.10","23,184,500","MSFT"
"51","Dec 06, 2017","81.55","83.14","81.43","82.78","82.39","26,162,100","MSFT"
"52","Dec 05, 2017","81.34","82.68","80.98","81.59","81.21","26,152,300","MSFT"
"53","Dec 04, 2017","84.42","84.43","80.70","81.08","80.70","39,094,900","MSFT"
"54","Dec 01, 2017","83.60","84.81","83.22","84.26","83.87","29,532,100","MSFT"
"55","Nov 30, 2017","83.51","84.52","83.34","84.17","83.78","33,054,600","MSFT"
"56","Nov 29, 2017","84.71","84.92","83.18","83.34","82.95","27,381,100","MSFT"
"57","Nov 28, 2017","84.07","85.06","84.02","84.88","84.48","21,926,000","MSFT"
"58","Nov 27, 2017","83.31","83.98","83.30","83.87","83.48","18,265,200","MSFT"
"59","Nov 24, 2017","83.01","83.43","82.78","83.26","82.87","7,425,600","MSFT"
"60","Nov 22, 2017","83.83","83.90","83.04","83.11","82.72","20,553,100","MSFT"
"61","Nov 21, 2017","82.74","83.84","82.74","83.72","83.33","21,237,500","MSFT"
"62","Nov 20, 2017","82.40","82.59","82.25","82.53","82.14","16,315,000","MSFT"
"63","Nov 17, 2017","83.12","83.12","82.24","82.40","82.01","22,079,000","MSFT"
"64","Nov 16, 2017","83.10","83.42","82.94","83.20","82.81","20,962,800","MSFT"
"65","Nov 15, 2017","83.47","83.69","82.69","82.98","82.59","19,383,100","MSFT"
"66","Nov 15, 2017","0.42 Dividend","0.42 Dividend","0.42 Dividend","0.42 Dividend","0.42 Dividend","0.42 Dividend","MSFT"
"67","Nov 14, 2017","83.50","84.10","82.98","84.05","83.24","18,801,300","MSFT"
"68","Nov 13, 2017","83.66","83.94","83.46","83.93","83.12","14,196,900","MSFT"
"69","Nov 10, 2017","83.79","84.10","83.23","83.87","83.06","19,397,800","MSFT"
"70","Nov 09, 2017","84.11","84.27","82.90","84.09","83.28","21,178,400","MSFT"
"71","Nov 08, 2017","84.14","84.61","83.83","84.56","83.74","18,034,200","MSFT"
"72","Nov 07, 2017","84.77","84.90","83.93","84.27","83.46","17,939,700","MSFT"
"73","Nov 06, 2017","84.20","84.70","84.08","84.47","83.65","19,860,900","MSFT"
