"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","154.67","156.56","153.58","156.05","156.05","1,633,000","NEE"
"2","Feb 15, 2018","150.23","154.44","149.84","154.43","154.43","2,185,500","NEE"
"3","Feb 14, 2018","150.08","151.53","148.79","150.08","150.08","1,609,200","NEE"
"4","Feb 13, 2018","149.78","151.82","148.25","151.07","151.07","1,578,100","NEE"
"5","Feb 12, 2018","148.22","151.15","146.86","150.00","150.00","2,030,800","NEE"
"6","Feb 09, 2018","145.98","149.15","145.10","148.10","148.10","2,272,700","NEE"
"7","Feb 08, 2018","147.68","149.11","145.27","145.29","145.29","2,420,900","NEE"
"8","Feb 07, 2018","149.61","150.68","147.89","148.09","148.09","2,878,700","NEE"
"9","Feb 06, 2018","151.83","153.36","147.15","149.56","149.56","4,235,300","NEE"
"10","Feb 05, 2018","156.04","158.28","153.85","154.29","154.29","3,653,100","NEE"
"11","Feb 02, 2018","155.48","157.42","155.08","155.92","155.92","2,322,800","NEE"
"12","Feb 01, 2018","158.61","159.64","155.67","156.34","156.34","2,212,000","NEE"
"13","Jan 31, 2018","155.23","158.78","154.62","158.42","158.42","3,232,700","NEE"
"14","Jan 30, 2018","155.50","156.48","154.29","155.10","155.10","1,955,800","NEE"
"15","Jan 29, 2018","157.20","157.30","155.49","155.68","155.68","2,514,300","NEE"
"16","Jan 26, 2018","154.86","159.23","154.70","157.69","157.69","3,646,800","NEE"
"17","Jan 25, 2018","150.83","153.35","150.00","153.09","153.09","2,461,300","NEE"
"18","Jan 24, 2018","151.93","152.23","150.08","150.85","150.85","1,968,600","NEE"
"19","Jan 23, 2018","150.00","153.10","150.00","152.72","152.72","2,648,100","NEE"
"20","Jan 22, 2018","150.46","151.30","149.60","150.02","150.02","1,859,700","NEE"
"21","Jan 19, 2018","151.08","151.27","149.94","150.16","150.16","2,247,000","NEE"
"22","Jan 18, 2018","152.06","152.06","150.22","150.78","150.78","1,987,800","NEE"
"23","Jan 17, 2018","150.95","152.75","150.58","151.88","151.88","2,326,100","NEE"
"24","Jan 16, 2018","150.44","151.08","149.07","150.54","150.54","1,867,900","NEE"
"25","Jan 12, 2018","150.13","151.47","149.26","150.32","150.32","1,596,600","NEE"
"26","Jan 11, 2018","150.50","151.10","149.77","150.50","150.50","1,887,600","NEE"
"27","Jan 10, 2018","150.89","151.61","150.16","150.59","150.59","1,760,700","NEE"
"28","Jan 09, 2018","153.55","153.55","151.31","151.84","151.84","1,631,900","NEE"
"29","Jan 08, 2018","151.71","153.24","151.51","152.96","152.96","1,806,300","NEE"
"30","Jan 05, 2018","151.38","151.94","150.60","151.71","151.71","2,579,500","NEE"
"31","Jan 04, 2018","151.51","153.03","150.63","151.02","151.02","3,407,300","NEE"
"32","Jan 03, 2018","154.09","155.83","151.78","151.80","151.80","2,752,000","NEE"
"33","Jan 02, 2018","156.43","156.67","154.42","155.09","155.09","1,191,600","NEE"
"34","Dec 29, 2017","156.85","157.28","156.01","156.19","156.19","1,186,600","NEE"
"35","Dec 28, 2017","155.20","156.42","155.15","156.35","156.35","856,700","NEE"
"36","Dec 27, 2017","154.63","155.35","154.12","155.29","155.29","1,076,300","NEE"
"37","Dec 26, 2017","154.70","155.35","153.99","154.00","154.00","723,500","NEE"
"38","Dec 22, 2017","154.91","155.37","154.30","154.54","154.54","1,078,800","NEE"
"39","Dec 21, 2017","153.83","155.27","152.68","154.48","154.48","1,787,200","NEE"
"40","Dec 20, 2017","154.10","155.34","153.49","153.64","153.64","2,209,700","NEE"
"41","Dec 19, 2017","156.50","156.99","154.04","154.10","154.10","1,565,000","NEE"
"42","Dec 18, 2017","158.62","159.17","156.11","156.35","156.35","1,940,800","NEE"
"43","Dec 15, 2017","158.68","159.04","157.23","158.43","158.43","3,493,000","NEE"
"44","Dec 14, 2017","156.73","159.24","155.57","157.98","157.98","2,227,000","NEE"
"45","Dec 13, 2017","157.63","158.04","155.80","156.47","156.47","3,603,000","NEE"
"46","Dec 12, 2017","158.84","159.40","156.82","157.07","157.07","1,988,400","NEE"
"47","Dec 11, 2017","158.99","159.35","157.44","159.25","159.25","1,608,900","NEE"
"48","Dec 08, 2017","158.48","159.03","157.39","159.03","159.03","1,312,000","NEE"
"49","Dec 07, 2017","157.73","158.18","157.01","158.18","158.18","1,452,100","NEE"
"50","Dec 06, 2017","156.52","158.37","155.79","157.78","157.78","1,983,900","NEE"
"51","Dec 05, 2017","156.43","156.83","154.45","155.64","155.64","1,702,500","NEE"
"52","Dec 04, 2017","157.65","157.96","155.52","155.97","155.97","1,400,900","NEE"
"53","Dec 01, 2017","158.39","159.19","156.43","157.47","157.47","1,428,100","NEE"
"54","Nov 30, 2017","158.09","158.88","157.37","158.04","158.04","3,403,700","NEE"
"55","Nov 29, 2017","157.30","158.29","156.50","157.77","157.77","2,088,600","NEE"
"56","Nov 28, 2017","157.50","158.40","157.07","157.79","157.79","1,237,300","NEE"
"57","Nov 27, 2017","156.25","157.56","155.91","157.00","157.00","1,517,700","NEE"
"58","Nov 24, 2017","155.60","156.40","155.48","156.03","156.03","636,100","NEE"
"59","Nov 22, 2017","155.23","155.95","154.56","155.18","155.18","1,943,400","NEE"
"60","Nov 22, 2017","0.983 Dividend","0.983 Dividend","0.983 Dividend","0.983 Dividend","0.983 Dividend","0.983 Dividend","NEE"
"61","Nov 21, 2017","156.49","156.89","155.76","156.21","155.23","1,331,300","NEE"
"62","Nov 20, 2017","156.21","156.67","155.31","155.92","154.94","1,446,900","NEE"
"63","Nov 17, 2017","157.00","157.29","155.89","156.04","155.06","1,078,000","NEE"
"64","Nov 16, 2017","157.40","157.71","156.35","157.29","156.30","1,364,700","NEE"
"65","Nov 15, 2017","158.85","159.28","157.03","157.36","156.37","1,330,000","NEE"
"66","Nov 14, 2017","156.51","158.55","156.25","158.40","157.40","1,513,800","NEE"
"67","Nov 13, 2017","155.34","157.00","154.84","156.78","155.79","1,000,000","NEE"
"68","Nov 10, 2017","154.58","155.42","153.85","155.16","154.18","1,285,800","NEE"
"69","Nov 09, 2017","154.34","155.61","154.10","155.25","154.27","1,194,900","NEE"
"70","Nov 08, 2017","154.99","155.74","153.91","154.92","153.95","1,992,700","NEE"
"71","Nov 07, 2017","152.33","155.82","151.92","155.49","154.51","1,968,000","NEE"
"72","Nov 06, 2017","152.90","153.13","151.65","151.86","150.90","1,407,900","NEE"
"73","Nov 03, 2017","149.74","153.15","149.50","152.65","151.69","3,084,400","NEE"
"74","Nov 02, 2017","153.49","154.75","148.37","149.86","148.92","3,979,300","NEE"
"75","Nov 01, 2017","155.67","155.72","153.09","153.38","152.41","1,436,900","NEE"
"76","Oct 31, 2017","155.09","155.56","154.31","155.07","154.09","1,327,700","NEE"
"77","Oct 30, 2017","155.31","156.19","154.89","155.36","154.38","1,353,400","NEE"
"78","Oct 27, 2017","153.39","156.80","153.38","155.84","154.86","1,451,800","NEE"
"79","Oct 26, 2017","154.80","156.00","153.36","153.39","152.42","1,473,500","NEE"
"80","Oct 25, 2017","153.94","154.19","151.36","153.86","152.89","1,877,300","NEE"
"81","Oct 24, 2017","154.12","154.40","153.19","154.22","153.25","1,429,600","NEE"
"82","Oct 23, 2017","153.98","154.70","153.33","154.38","153.41","1,218,300","NEE"
"83","Oct 20, 2017","153.74","154.24","152.98","154.16","153.19","1,437,700","NEE"
"84","Oct 19, 2017","152.67","153.95","152.20","153.87","152.90","1,312,400","NEE"
"85","Oct 18, 2017","152.23","152.78","151.67","152.54","151.58","1,074,700","NEE"
"86","Oct 17, 2017","151.50","152.86","151.03","152.67","151.71","1,291,100","NEE"
"87","Oct 16, 2017","151.24","151.80","149.90","151.52","150.57","1,349,100","NEE"
"88","Oct 13, 2017","151.39","152.27","150.44","150.55","149.60","1,115,300","NEE"
"89","Oct 12, 2017","150.11","150.94","149.40","150.70","149.75","1,305,400","NEE"
"90","Oct 11, 2017","148.63","150.75","148.63","149.87","148.93","1,329,900","NEE"
"91","Oct 10, 2017","147.90","149.14","147.44","149.03","148.09","878,000","NEE"
"92","Oct 09, 2017","147.96","148.39","147.69","147.90","146.97","1,099,100","NEE"
"93","Oct 06, 2017","147.20","147.67","146.27","147.47","146.54","1,277,700","NEE"
"94","Oct 05, 2017","148.54","148.57","147.06","147.76","146.83","1,704,400","NEE"
"95","Oct 04, 2017","147.00","148.61","146.60","148.57","147.64","1,097,600","NEE"
"96","Oct 03, 2017","146.37","146.97","145.62","146.89","145.97","1,002,100","NEE"
"97","Oct 02, 2017","147.37","147.68","146.35","146.74","145.82","1,145,300","NEE"
"98","Sep 29, 2017","146.95","147.24","146.33","146.55","145.63","1,316,800","NEE"
"99","Sep 28, 2017","145.49","147.38","144.70","146.99","146.07","1,348,900","NEE"
"100","Sep 27, 2017","146.85","147.40","145.71","146.25","145.33","1,722,200","NEE"
"101","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.","NEE"
