"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","67.90","69.00","67.74","68.30","68.30","6,812,900","NKE"
"2","Feb 15, 2018","68.39","68.76","67.25","68.29","68.29","7,390,200","NKE"
"3","Feb 14, 2018","65.72","68.03","65.55","67.96","67.96","8,662,600","NKE"
"4","Feb 13, 2018","65.85","66.23","65.43","65.87","65.87","9,538,400","NKE"
"5","Feb 12, 2018","65.94","66.82","65.68","65.98","65.98","9,792,200","NKE"
"6","Feb 09, 2018","63.76","66.05","62.84","65.49","65.49","13,733,300","NKE"
"7","Feb 08, 2018","65.53","65.71","62.46","62.49","62.49","14,121,800","NKE"
"8","Feb 07, 2018","65.15","66.84","65.10","65.63","65.63","8,845,700","NKE"
"9","Feb 06, 2018","62.48","65.42","62.09","65.22","65.22","13,356,700","NKE"
"10","Feb 05, 2018","66.63","67.21","64.39","64.39","64.39","12,549,500","NKE"
"11","Feb 02, 2018","67.22","67.79","67.00","67.22","67.22","9,348,300","NKE"
"12","Feb 01, 2018","67.67","67.97","66.70","67.65","67.65","5,790,500","NKE"
"13","Jan 31, 2018","67.50","68.83","67.47","68.22","68.22","11,036,400","NKE"
"14","Jan 30, 2018","67.50","68.31","67.16","67.33","67.33","6,350,500","NKE"
"15","Jan 29, 2018","67.82","68.14","67.42","67.58","67.58","5,067,300","NKE"
"16","Jan 26, 2018","68.20","68.64","67.92","68.04","68.04","6,290,500","NKE"
"17","Jan 25, 2018","68.13","68.64","67.45","67.71","67.71","5,707,600","NKE"
"18","Jan 24, 2018","67.34","68.18","67.07","68.00","68.00","7,421,800","NKE"
"19","Jan 23, 2018","66.53","67.33","66.44","67.14","67.14","6,412,000","NKE"
"20","Jan 22, 2018","66.55","66.83","65.76","66.39","66.39","8,491,800","NKE"
"21","Jan 19, 2018","65.31","67.24","65.12","67.21","67.21","12,896,100","NKE"
"22","Jan 18, 2018","64.00","64.21","63.54","64.11","64.11","5,656,900","NKE"
"23","Jan 17, 2018","63.67","64.01","63.08","63.81","63.81","7,422,600","NKE"
"24","Jan 16, 2018","64.78","65.36","63.37","63.42","63.42","9,117,000","NKE"
"25","Jan 12, 2018","64.50","64.72","64.32","64.67","64.67","5,135,700","NKE"
"26","Jan 11, 2018","64.03","64.31","63.78","64.29","64.29","5,103,500","NKE"
"27","Jan 10, 2018","63.88","64.23","63.44","64.22","64.22","5,010,600","NKE"
"28","Jan 09, 2018","64.23","64.72","63.47","64.09","64.09","8,771,300","NKE"
"29","Jan 08, 2018","64.15","64.71","63.98","64.55","64.55","11,905,700","NKE"
"30","Jan 05, 2018","63.70","64.30","63.47","63.98","63.98","11,632,300","NKE"
"31","Jan 04, 2018","63.40","63.55","62.55","63.44","63.44","5,780,500","NKE"
"32","Jan 03, 2018","63.48","63.66","62.76","63.48","63.48","6,091,100","NKE"
"33","Jan 02, 2018","62.85","63.49","62.85","63.49","63.49","6,511,000","NKE"
"34","Dec 29, 2017","63.21","63.37","62.55","62.55","62.55","5,222,100","NKE"
"35","Dec 28, 2017","63.00","63.32","62.85","62.95","62.95","3,987,200","NKE"
"36","Dec 27, 2017","63.56","63.60","62.77","62.95","62.95","8,959,700","NKE"
"37","Dec 26, 2017","62.90","63.89","62.81","63.65","63.65","4,563,500","NKE"
"38","Dec 22, 2017","61.20","63.54","60.13","63.29","63.29","20,414,200","NKE"
"39","Dec 21, 2017","64.29","64.98","63.30","64.77","64.77","14,352,300","NKE"
"40","Dec 20, 2017","64.39","64.50","63.58","63.59","63.59","12,468,600","NKE"
"41","Dec 19, 2017","65.15","65.19","64.18","64.24","64.24","8,212,500","NKE"
"42","Dec 18, 2017","64.93","65.08","64.39","64.81","64.81","12,652,000","NKE"
"43","Dec 15, 2017","64.89","65.07","64.15","64.79","64.79","15,659,300","NKE"
"44","Dec 14, 2017","64.43","64.85","64.05","64.53","64.53","13,055,100","NKE"
"45","Dec 13, 2017","62.22","64.46","62.02","64.30","64.30","16,072,600","NKE"
"46","Dec 12, 2017","61.81","62.53","61.65","62.17","62.17","7,358,000","NKE"
"47","Dec 11, 2017","61.37","62.22","61.30","61.91","61.91","9,017,800","NKE"
"48","Dec 08, 2017","60.50","61.37","60.29","61.30","61.30","6,065,200","NKE"
