"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","50.55","51.14","50.49","50.71","50.71","11,075,200","ORCL"
"2","Feb 15, 2018","49.70","50.69","49.43","50.64","50.64","14,132,500","ORCL"
"3","Feb 14, 2018","48.19","49.52","48.14","49.45","49.45","14,271,400","ORCL"
"4","Feb 13, 2018","48.01","48.68","47.77","48.49","48.49","12,633,100","ORCL"
"5","Feb 12, 2018","48.22","48.49","47.72","48.15","48.15","16,261,600","ORCL"
"6","Feb 09, 2018","47.58","48.15","45.92","47.73","47.73","23,191,000","ORCL"
"7","Feb 08, 2018","49.09","49.12","46.81","46.84","46.84","21,255,400","ORCL"
"8","Feb 07, 2018","49.20","49.85","48.82","48.87","48.87","15,138,000","ORCL"
"9","Feb 06, 2018","47.33","49.51","46.81","49.40","49.40","25,921,200","ORCL"
"10","Feb 05, 2018","50.04","50.70","48.06","48.09","48.09","19,725,800","ORCL"
"11","Feb 02, 2018","51.25","51.41","50.04","50.13","50.13","17,562,200","ORCL"
"12","Feb 01, 2018","51.36","51.98","51.26","51.63","51.63","11,674,100","ORCL"
"13","Jan 31, 2018","50.86","51.85","50.86","51.59","51.59","16,806,800","ORCL"
"14","Jan 30, 2018","51.74","51.99","50.75","50.96","50.96","16,863,500","ORCL"
"15","Jan 29, 2018","52.67","52.79","51.88","51.94","51.94","12,234,900","ORCL"
"16","Jan 26, 2018","51.86","52.75","51.76","52.75","52.75","14,909,200","ORCL"
"17","Jan 25, 2018","51.54","52.05","51.54","51.60","51.60","13,904,300","ORCL"
"18","Jan 24, 2018","51.36","52.00","51.21","51.45","51.45","17,205,600","ORCL"
"19","Jan 23, 2018","50.75","51.27","50.57","51.12","51.12","14,141,400","ORCL"
"20","Jan 22, 2018","50.43","50.74","50.27","50.71","50.71","16,840,000","ORCL"
"21","Jan 19, 2018","50.50","50.60","50.27","50.58","50.58","14,011,500","ORCL"
"22","Jan 18, 2018","50.19","50.68","50.10","50.23","50.23","17,119,200","ORCL"
"23","Jan 17, 2018","49.91","50.29","49.85","50.27","50.27","23,183,100","ORCL"
"24","Jan 16, 2018","49.85","50.06","49.44","49.59","49.59","17,152,600","ORCL"
"25","Jan 12, 2018","49.18","49.83","49.06","49.51","49.51","15,978,200","ORCL"
"26","Jan 11, 2018","48.87","49.02","48.44","48.95","48.95","11,687,800","ORCL"
"27","Jan 10, 2018","48.86","49.27","48.58","48.80","48.80","13,476,600","ORCL"
"28","Jan 09, 2018","49.25","49.36","48.92","49.06","49.06","14,153,700","ORCL"
"29","Jan 09, 2018","0.19 Dividend","0.19 Dividend","0.19 Dividend","0.19 Dividend","0.19 Dividend","0.19 Dividend","ORCL"
"30","Jan 08, 2018","48.30","49.07","47.94","48.98","48.79","15,075,000","ORCL"
"31","Jan 05, 2018","48.42","48.63","48.28","48.47","48.28","14,496,400","ORCL"
"32","Jan 04, 2018","47.99","48.19","47.72","48.18","47.99","19,815,100","ORCL"
"33","Jan 03, 2018","47.53","48.07","47.44","47.71","47.52","24,165,000","ORCL"
"34","Jan 02, 2018","47.57","47.80","46.17","46.63","46.45","25,380,000","ORCL"
"35","Dec 29, 2017","47.53","47.88","47.28","47.28","47.10","9,750,000","ORCL"
"36","Dec 28, 2017","47.30","47.55","47.30","47.52","47.34","7,777,600","ORCL"
"37","Dec 27, 2017","47.25","47.47","47.15","47.38","47.20","8,132,200","ORCL"
"38","Dec 26, 2017","47.37","47.58","47.25","47.43","47.25","7,650,200","ORCL"
"39","Dec 22, 2017","47.17","47.40","47.10","47.36","47.18","11,197,300","ORCL"
"40","Dec 21, 2017","48.11","48.11","47.23","47.28","47.10","18,396,800","ORCL"
"41","Dec 20, 2017","47.88","48.05","47.79","47.90","47.71","11,432,200","ORCL"
"42","Dec 19, 2017","47.96","48.35","47.74","47.82","47.63","28,664,300","ORCL"
"43","Dec 18, 2017","48.43","48.85","47.68","47.71","47.52","25,156,800","ORCL"
"44","Dec 15, 2017","48.48","48.48","47.00","48.30","48.11","75,176,000","ORCL"
"45","Dec 14, 2017","50.14","50.40","49.94","50.19","50.00","22,259,300","ORCL"
"46","Dec 13, 2017","50.33","50.51","50.01","50.05","49.86","17,196,900","ORCL"
"47","Dec 12, 2017","50.00","50.71","49.95","50.39","50.19","17,464,000","ORCL"
"48","Dec 11, 2017","49.61","50.50","49.56","50.47","50.27","15,852,800","ORCL"
"49","Dec 08, 2017","48.90","49.69","48.70","49.60","49.41","14,732,300","ORCL"
"50","Dec 07, 2017","48.62","48.81","48.30","48.52","48.33","13,482,800","ORCL"
"51","Dec 06, 2017","48.26","48.59","47.63","48.42","48.23","12,974,500","ORCL"
"52","Dec 05, 2017","48.44","48.65","47.97","47.99","47.80","17,858,900","ORCL"
"53","Dec 04, 2017","49.82","49.82","48.36","48.40","48.21","13,473,900","ORCL"
"54","Dec 01, 2017","49.05","50.00","48.90","49.61","49.42","15,899,500","ORCL"
"55","Nov 30, 2017","48.89","49.33","48.89","49.06","48.87","24,701,100","ORCL"
"56","Nov 29, 2017","48.85","48.86","48.20","48.52","48.33","14,377,600","ORCL"
"57","Nov 28, 2017","48.88","49.20","48.85","49.01","48.82","13,930,600","ORCL"
