"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","69.21","69.41","68.07","68.16","68.16","5,586,400","OXY"
"2","Feb 15, 2018","69.95","70.05","67.69","69.43","69.43","5,020,800","OXY"
"3","Feb 14, 2018","66.62","70.20","66.60","69.85","69.85","8,007,800","OXY"
"4","Feb 13, 2018","69.21","70.17","69.12","69.72","69.72","4,519,800","OXY"
"5","Feb 12, 2018","68.89","70.53","68.89","69.87","69.87","3,951,700","OXY"
"6","Feb 09, 2018","69.04","69.41","65.71","68.18","68.18","5,440,300","OXY"
"7","Feb 08, 2018","69.99","70.16","68.47","68.47","68.47","7,126,300","OXY"
"8","Feb 07, 2018","71.48","72.20","69.85","69.87","69.87","5,630,300","OXY"
"9","Feb 06, 2018","69.77","71.66","69.40","71.22","71.22","5,616,400","OXY"
"10","Feb 05, 2018","72.99","73.87","70.05","70.91","70.91","5,786,800","OXY"
"11","Feb 02, 2018","75.20","75.20","73.35","73.58","73.58","5,505,000","OXY"
"12","Feb 01, 2018","75.02","76.28","74.99","76.10","76.10","3,165,300","OXY"
"13","Jan 31, 2018","74.86","75.25","74.22","74.97","74.97","4,626,100","OXY"
"14","Jan 30, 2018","75.48","76.04","74.68","74.76","74.76","4,415,200","OXY"
"15","Jan 29, 2018","76.88","77.19","76.08","76.24","76.24","3,014,800","OXY"
"16","Jan 26, 2018","76.80","77.30","76.49","77.18","77.18","2,345,900","OXY"
"17","Jan 25, 2018","77.58","77.77","76.68","76.74","76.74","2,468,700","OXY"
"18","Jan 24, 2018","77.76","78.09","77.07","77.56","77.56","3,356,100","OXY"
"19","Jan 23, 2018","77.45","77.90","77.22","77.42","77.42","3,314,000","OXY"
"20","Jan 22, 2018","75.74","77.63","75.74","77.63","77.63","4,309,400","OXY"
"21","Jan 19, 2018","75.45","75.63","75.10","75.55","75.55","3,224,800","OXY"
"22","Jan 18, 2018","75.81","76.10","75.37","75.39","75.39","3,012,400","OXY"
"23","Jan 17, 2018","75.57","76.19","74.96","75.86","75.86","3,109,900","OXY"
"24","Jan 16, 2018","76.78","76.79","75.27","75.27","75.27","4,333,100","OXY"
