"","Date","Open","High","Low","Close.","Adj.Close.","Volume","company"
"1","Feb 16, 2018","1,874.62","1,926.87","1,868.68","1,885.00","1,885.00","559,100","PCLN"
"2","Feb 15, 2018","1,850.86","1,875.82","1,836.09","1,870.25","1,870.25","491,300","PCLN"
"3","Feb 14, 2018","1,784.22","1,825.83","1,773.02","1,818.41","1,818.41","452,400","PCLN"
"4","Feb 13, 2018","1,779.23","1,804.83","1,762.00","1,797.86","1,797.86","375,200","PCLN"
"5","Feb 12, 2018","1,773.99","1,801.69","1,732.35","1,790.00","1,790.00","682,300","PCLN"
"6","Feb 09, 2018","1,767.98","1,824.00","1,714.07","1,765.00","1,765.00","1,137,500","PCLN"
"7","Feb 08, 2018","1,884.21","1,889.28","1,803.01","1,806.06","1,806.06","677,100","PCLN"
"8","Feb 07, 2018","1,847.39","1,900.37","1,836.68","1,882.68","1,882.68","491,200","PCLN"
"9","Feb 06, 2018","1,800.01","1,864.00","1,800.01","1,858.66","1,858.66","564,500","PCLN"
"10","Feb 05, 2018","1,841.30","1,872.61","1,816.50","1,825.93","1,825.93","548,200","PCLN"
"11","Feb 02, 2018","1,890.13","1,900.00","1,856.57","1,859.10","1,859.10","513,800","PCLN"
"12","Feb 01, 2018","1,903.99","1,928.84","1,893.39","1,903.69","1,903.69","360,000","PCLN"
"13","Jan 31, 2018","1,928.01","1,934.97","1,896.00","1,912.05","1,912.05","452,800","PCLN"
"14","Jan 30, 2018","1,907.12","1,933.13","1,900.33","1,921.53","1,921.53","382,300","PCLN"
"15","Jan 29, 2018","1,942.67","1,960.46","1,921.25","1,929.23","1,929.23","448,800","PCLN"
"16","Jan 26, 2018","1,960.99","1,964.96","1,944.96","1,950.48","1,950.48","380,500","PCLN"
"17","Jan 25, 2018","1,966.88","1,976.60","1,945.47","1,949.67","1,949.67","329,900","PCLN"
"18","Jan 24, 2018","1,977.91","1,984.94","1,942.65","1,955.24","1,955.24","405,300","PCLN"
"19","Jan 23, 2018","1,927.55","1,969.36","1,924.99","1,962.94","1,962.94","472,000","PCLN"
"20","Jan 22, 2018","1,910.00","1,926.69","1,901.00","1,915.77","1,915.77","398,200","PCLN"
"21","Jan 19, 2018","1,931.48","1,933.80","1,901.03","1,910.21","1,910.21","634,500","PCLN"
"22","Jan 18, 2018","1,948.65","1,957.49","1,925.97","1,926.71","1,926.71","398,600","PCLN"
"23","Jan 17, 2018","1,927.55","1,958.96","1,918.68","1,949.90","1,949.90","515,700","PCLN"
"24","Jan 16, 2018","1,930.71","1,949.83","1,914.96","1,919.47","1,919.47","604,900","PCLN"
"25","Jan 12, 2018","1,898.04","1,925.98","1,890.01","1,919.40","1,919.40","555,300","PCLN"
"26","Jan 11, 2018","1,880.00","1,900.86","1,877.88","1,893.10","1,893.10","385,900","PCLN"
"27","Jan 10, 2018","1,855.52","1,873.55","1,855.42","1,872.91","1,872.91","274,200","PCLN"
"28","Jan 09, 2018","1,863.20","1,876.73","1,857.50","1,865.29","1,865.29","368,800","PCLN"
"29","Jan 08, 2018","1,827.49","1,874.95","1,825.19","1,851.81","1,851.81","555,600","PCLN"
"30","Jan 05, 2018","1,820.18","1,825.50","1,805.80","1,823.54","1,823.54","358,600","PCLN"
"31","Jan 04, 2018","1,838.54","1,848.90","1,802.03","1,807.25","1,807.25","592,600","PCLN"
"32","Jan 03, 2018","1,790.23","1,829.02","1,785.00","1,824.16","1,824.16","525,000","PCLN"
"33","Jan 02, 2018","1,750.09","1,790.66","1,744.50","1,784.75","1,784.75","475,500","PCLN"
"34","Dec 29, 2017","1,765.44","1,769.99","1,737.41","1,737.74","1,737.74","298,000","PCLN"
"35","Dec 28, 2017","1,758.40","1,764.99","1,754.37","1,764.09","1,764.09","168,900","PCLN"
"36","Dec 27, 2017","1,754.24","1,761.82","1,748.87","1,757.88","1,757.88","222,600","PCLN"
"37","Dec 26, 2017","1,772.32","1,775.26","1,752.65","1,755.32","1,755.32","231,900","PCLN"
"38","Dec 22, 2017","1,778.37","1,786.23","1,773.09","1,775.26","1,775.26","215,300","PCLN"
"39","Dec 21, 2017","1,775.14","1,788.95","1,773.03","1,778.79","1,778.79","246,600","PCLN"
"40","Dec 20, 2017","1,782.90","1,786.54","1,770.65","1,774.00","1,774.00","406,300","PCLN"
"41","Dec 19, 2017","1,783.11","1,793.57","1,768.96","1,780.62","1,780.62","381,700","PCLN"
"42","Dec 18, 2017","1,776.87","1,786.75","1,767.60","1,781.35","1,781.35","392,800","PCLN"
"43","Dec 15, 2017","1,770.05","1,775.73","1,758.38","1,760.00","1,760.00","610,700","PCLN"
"44","Dec 14, 2017","1,744.99","1,768.53","1,742.67","1,760.92","1,760.92","458,800","PCLN"
"45","Dec 13, 2017","1,732.00","1,746.11","1,725.17","1,742.61","1,742.61","386,000","PCLN"
"46","Dec 12, 2017","1,715.00","1,733.40","1,713.54","1,723.72","1,723.72","457,200","PCLN"
"47","Dec 11, 2017","1,720.71","1,733.00","1,712.74","1,715.52","1,715.52","325,700","PCLN"
"48","Dec 08, 2017","1,729.60","1,739.78","1,715.83","1,719.84","1,719.84","385,800","PCLN"
"49","Dec 07, 2017","1,705.89","1,722.29","1,690.34","1,719.62","1,719.62","504,200","PCLN"
"50","Dec 06, 2017","1,716.71","1,727.38","1,701.90","1,719.04","1,719.04","397,600","PCLN"
"51","Dec 05, 2017","1,725.82","1,741.07","1,721.44","1,724.88","1,724.88","380,300","PCLN"
"52","Dec 04, 2017","1,740.00","1,749.82","1,721.30","1,723.24","1,723.24","502,800","PCLN"
"53","Dec 01, 2017","1,726.80","1,736.49","1,704.12","1,735.30","1,735.30","397,700","PCLN"
"54","Nov 30, 2017","1,740.95","1,750.22","1,729.51","1,739.71","1,739.71","443,700","PCLN"
"55","Nov 29, 2017","1,753.13","1,753.13","1,717.97","1,734.45","1,734.45","540,400","PCLN"
"56","Nov 28, 2017","1,763.32","1,767.36","1,750.11","1,752.02","1,752.02","352,500","PCLN"
"57","Nov 27, 2017","1,760.15","1,777.08","1,746.39","1,763.40","1,763.40","443,200","PCLN"
"58","Nov 24, 2017","1,758.17","1,765.75","1,754.38","1,758.42","1,758.42","186,600","PCLN"
"59","Nov 22, 2017","1,771.59","1,774.85","1,756.03","1,759.19","1,759.19","369,300","PCLN"
"60","Nov 21, 2017","1,766.51","1,771.41","1,758.00","1,766.67","1,766.67","539,400","PCLN"
"61","Nov 20, 2017","1,750.99","1,773.08","1,747.88","1,754.02","1,754.02","513,200","PCLN"
"62","Nov 17, 2017","1,731.00","1,749.60","1,727.34","1,747.22","1,747.22","504,400","PCLN"
"63","Nov 16, 2017","1,735.54","1,741.92","1,727.46","1,731.65","1,731.65","522,000","PCLN"
"64","Nov 15, 2017","1,715.78","1,730.03","1,706.03","1,726.78","1,726.78","525,400","PCLN"
"65","Nov 14, 2017","1,710.02","1,728.26","1,709.98","1,719.50","1,719.50","525,400","PCLN"
"66","Nov 13, 2017","1,688.40","1,722.35","1,683.28","1,722.15","1,722.15","506,800","PCLN"
"67","Nov 10, 2017","1,700.00","1,709.52","1,682.69","1,697.25","1,697.25","725,500","PCLN"
"68","Nov 09, 2017","1,656.93","1,707.22","1,640.18","1,703.14","1,703.14","1,241,800","PCLN"
"69","Nov 08, 2017","1,650.00","1,669.98","1,630.56","1,661.11","1,661.11","1,332,400","PCLN"
"70","Nov 07, 2017","1,746.70","1,748.00","1,638.10","1,645.72","1,645.72","3,325,100","PCLN"
"71","Nov 06, 2017","1,885.55","1,904.98","1,875.56","1,903.00","1,903.00","1,021,800","PCLN"
"72","Nov 03, 2017","1,914.01","1,916.80","1,893.57","1,894.49","1,894.49","485,000","PCLN"
"73","Nov 02, 2017","1,910.83","1,917.52","1,903.69","1,911.14","1,911.14","293,800","PCLN"
"74","Nov 01, 2017","1,918.47","1,927.73","1,910.94","1,913.06","1,913.06","379,000","PCLN"
"75","Oct 31, 2017","1,884.94","1,913.52","1,870.00","1,911.96","1,911.96","420,000","PCLN"
"76","Oct 30, 2017","1,885.15","1,891.82","1,863.73","1,879.73","1,879.73","476,600","PCLN"
"77","Oct 27, 2017","1,885.00","1,902.52","1,869.00","1,890.92","1,890.92","903,400","PCLN"
"78","Oct 26, 2017","1,937.35","1,945.00","1,931.01","1,939.29","1,939.29","378,100","PCLN"
"79","Oct 25, 2017","1,927.58","1,935.71","1,913.01","1,928.81","1,928.81","248,000","PCLN"
"80","Oct 24, 2017","1,938.39","1,946.68","1,927.59","1,932.29","1,932.29","342,500","PCLN"
"81","Oct 23, 2017","1,950.00","1,959.99","1,931.28","1,934.55","1,934.55","360,800","PCLN"
"82","Oct 20, 2017","1,941.78","1,946.89","1,937.46","1,942.11","1,942.11","307,000","PCLN"
"83","Oct 19, 2017","1,934.02","1,943.49","1,923.00","1,927.86","1,927.86","365,500","PCLN"
"84","Oct 18, 2017","1,935.69","1,961.45","1,933.99","1,941.87","1,941.87","412,800","PCLN"
"85","Oct 17, 2017","1,929.01","1,938.55","1,926.41","1,934.53","1,934.53","284,400","PCLN"
"86","Oct 16, 2017","1,940.00","1,944.99","1,922.50","1,935.55","1,935.55","224,500","PCLN"
"87","Oct 13, 2017","1,932.77","1,938.43","1,920.02","1,929.06","1,929.06","343,700","PCLN"
"88","Oct 12, 2017","1,920.20","1,924.36","1,913.46","1,918.95","1,918.95","235,300","PCLN"
